time,open,high,low,close,volume,ticker
2023-01-03,61880,61880,60650,61880,7400,DRL
2023-01-04,61880,61880,61500,61500,1400,DRL
2023-01-05,61500,61880,61500,61700,800,DRL
2023-01-06,61880,62450,61880,62170,1700,DRL
2023-01-09,60750,60750,60750,60750,1200,DRL
2023-01-10,61030,61030,61030,61030,400,DRL
2023-01-12,61030,61030,61030,61030,100,DRL
2023-01-13,61220,61320,61220,61320,300,DRL
2023-01-16,61320,61700,61320,61700,200,DRL
2023-01-17,61780,61780,61700,61700,1400,DRL
2023-01-18,61320,61320,61320,61320,200,DRL
2023-01-19,61500,61600,61500,61600,500,DRL
2023-01-27,61600,62930,61600,62930,1400,DRL
2023-01-31,62450,62450,62450,62450,700,DRL
2023-02-01,61980,65099,61980,65099,1300,DRL
2023-02-02,61700,61700,61700,61700,100,DRL
2023-02-06,62080,62450,62080,62450,1600,DRL
2023-02-07,64819,64819,64819,64819,100,DRL
2023-02-08,63870,63870,63870,63870,200,DRL
2023-02-09,63690,63690,63590,63590,200,DRL
2023-02-10,62450,62550,62450,62550,1400,DRL
2023-02-13,62550,62640,62550,62550,1500,DRL
2023-02-16,62550,64340,62550,64340,2600,DRL
2023-02-21,63870,63870,63870,63870,100,DRL
2023-02-23,64340,66430,64340,66430,1200,DRL
2023-02-24,65290,65290,65290,65290,200,DRL
2023-02-27,64340,64340,64340,64340,100,DRL
2023-02-28,63870,63870,63870,63870,100,DRL
2023-03-01,63870,63870,63590,63590,1100,DRL
2023-03-02,63870,63870,63110,63110,1900,DRL
2023-03-03,63110,63110,61700,61700,6100,DRL
2023-03-06,62450,64250,61880,63870,600,DRL
2023-03-07,61780,61780,61780,61780,300,DRL
2023-03-09,62450,62450,61700,61700,1000,DRL
2023-03-13,61780,63110,61780,62450,3300,DRL
2023-03-15,63590,63590,63590,63590,100,DRL
2023-03-16,61780,61780,60650,60650,500,DRL
2023-03-17,63310,63310,63310,63310,200,DRL
2023-03-20,63310,63310,63310,63310,100,DRL
2023-03-21,63310,63310,63310,63310,100,DRL
2023-03-24,60750,60750,60750,60750,100,DRL
2023-03-27,61500,61500,61500,61500,200,DRL
2023-03-28,62450,62450,62450,62450,600,DRL
2023-03-29,61500,61500,61500,61500,200,DRL
2023-03-30,61700,61700,61500,61500,300,DRL
2023-03-31,61030,61030,61030,61030,100,DRL
2023-04-03,62170,62170,62170,62170,300,DRL
2023-04-04,63490,63490,63490,63490,200,DRL
2023-04-05,60840,60840,60840,60840,100,DRL
2023-04-06,63970,63970,63770,63770,700,DRL
2023-04-07,62730,62730,62730,62730,100,DRL
2023-04-10,62830,62830,62830,62830,200,DRL
2023-04-11,62450,62450,62450,62450,200,DRL
2023-04-12,61980,61980,61980,61980,500,DRL
2023-04-13,61980,61980,61980,61980,100,DRL
2023-04-14,61980,61980,61980,61980,500,DRL
2023-04-18,62450,62450,62450,62450,800,DRL
2023-04-20,61600,61600,61600,61600,200,DRL
2023-04-21,61980,61980,61700,61700,2600,DRL
2023-04-24,61030,61030,61030,61030,1100,DRL
2023-04-25,61030,61320,60940,60940,2100,DRL
2023-04-26,60750,60750,60750,60750,700,DRL
2023-04-27,60560,60560,60560,60560,100,DRL
2023-04-28,62450,62450,62450,62450,400,DRL
2023-05-04,61500,62830,61500,62730,1300,DRL
2023-05-05,63210,63210,62930,62930,2800,DRL
2023-05-08,62450,62450,61500,61500,500,DRL
2023-05-09,62360,62450,61500,61500,5600,DRL
2023-05-10,61030,61030,60560,60560,7400,DRL
2023-05-11,60560,60560,60560,60560,1900,DRL
2023-05-12,61780,61780,61320,61320,300,DRL
2023-05-15,64720,64720,60560,62260,800,DRL
2023-05-16,62450,62450,61980,61980,2600,DRL
2023-05-17,61980,62170,60650,60650,1800,DRL
2023-05-18,62360,62360,61980,61980,400,DRL
2023-05-19,61980,61980,61980,61980,100,DRL
2023-05-22,62080,62080,61110,61110,1200,DRL
2023-05-23,62560,62560,62560,62560,200,DRL
2023-05-24,61110,62080,61110,62080,600,DRL
2023-05-25,62950,63050,62950,63050,400,DRL
2023-05-26,62080,62080,62080,62080,100,DRL
2023-05-29,58680,62750,58680,62750,2900,DRL
2023-05-30,62850,62850,62750,62850,2600,DRL
2023-06-01,60620,62080,60620,62080,700,DRL
2023-06-02,62080,62080,62080,62080,1600,DRL
2023-06-05,62080,62750,62080,62080,800,DRL
2023-06-06,62080,62080,62080,62080,1700,DRL
2023-06-07,62080,62080,61980,61980,200,DRL
2023-06-08,62080,62080,62080,62080,1400,DRL
2023-06-09,62080,62080,59170,59170,600,DRL
2023-06-12,60140,61110,60140,60620,1400,DRL
2023-06-13,61110,61110,61110,61110,500,DRL
2023-06-16,61110,62080,60620,62080,5600,DRL
2023-06-20,62270,62270,62080,62080,3300,DRL
2023-06-21,62080,62560,62080,62560,6200,DRL
2023-06-22,62170,62170,60140,60140,5500,DRL
2023-06-23,62080,62080,62080,62080,1800,DRL
2023-06-26,62080,62560,62080,62080,1100,DRL
2023-06-27,64019,64019,62080,62080,600,DRL
2023-06-28,62080,62080,62080,62080,300,DRL
2023-06-29,63050,63050,63050,63050,800,DRL
2023-07-03,63530,63530,63530,63530,100,DRL
2023-07-05,63530,63530,63430,63430,700,DRL
2023-07-06,61590,61590,61590,61590,500,DRL
2023-07-07,61880,62170,61780,62170,800,DRL
2023-07-10,63050,63140,63050,63140,1500,DRL
2023-07-11,63340,63530,63240,63240,3700,DRL
2023-07-12,62560,64019,62560,63920,2100,DRL
2023-07-13,64019,64110,64019,64110,1300,DRL
2023-07-14,64110,64980,64110,64790,3000,DRL
2023-07-18,63050,63050,63050,63050,600,DRL
2023-07-19,63140,63140,63140,63140,500,DRL
2023-07-20,63240,64690,63140,64690,1000,DRL
2023-07-21,63630,64690,63630,63820,400,DRL
2023-07-24,63920,64790,63820,63820,300,DRL
2023-07-25,63820,64019,63050,64019,3300,DRL
2023-07-26,64500,64500,64500,64500,500,DRL
2023-07-27,64500,64500,64500,64500,1000,DRL
2023-07-28,64500,64500,64500,64500,600,DRL
2023-07-31,64500,64500,63920,63920,800,DRL
2023-08-01,63920,64500,63920,64500,500,DRL
2023-08-02,64500,64500,64500,64500,600,DRL
2023-08-03,64980,65470,64980,65470,3200,DRL
2023-08-04,64980,64980,64980,64980,1100,DRL
2023-08-07,64980,65660,64980,65660,2900,DRL
2023-08-08,65660,65950,64980,64980,1500,DRL
2023-08-09,65470,65470,64980,64980,2700,DRL
2023-08-10,64980,65080,64980,64980,1300,DRL
2023-08-11,64980,64980,63050,63050,700,DRL
2023-08-14,64019,64019,64019,64019,1200,DRL
2023-08-15,64019,64500,64019,64400,600,DRL
2023-08-16,64310,64310,64310,64310,200,DRL
2023-08-18,64500,64500,64400,64500,1500,DRL
2023-08-21,64110,64690,64110,64500,1600,DRL
2023-08-22,66400,66400,65000,65000,1600,DRL
2023-08-23,64599,64900,64599,64900,400,DRL
2023-08-24,64500,64500,64099,64300,2800,DRL
2023-08-25,64000,64200,63500,64099,2700,DRL
2023-08-28,66000,66000,65000,65000,4100,DRL
2023-08-29,65000,65000,65000,65000,500,DRL
2023-08-31,65000,65000,63200,63200,1300,DRL
2023-09-05,63500,65099,58800,64200,4900,DRL
2023-09-06,65000,65000,63000,63100,11800,DRL
2023-09-07,64900,65000,64000,65000,1500,DRL
2023-09-08,65099,65099,64800,64800,3000,DRL
2023-09-11,64599,64599,64099,64200,5000,DRL
2023-09-12,64400,64400,64200,64200,2200,DRL
2023-09-13,64200,64200,64000,64000,1600,DRL
2023-09-14,64000,64000,63800,63900,700,DRL
2023-09-15,63900,64000,63800,63800,9900,DRL
2023-09-18,63800,64000,63800,64000,1700,DRL
2023-09-19,64500,64500,64000,64000,1200,DRL
