time,open,high,low,close,volume,ticker
2023-01-03,11200,11900,11000,11900,363600,DTD
2023-01-04,12000,13000,11900,12800,420900,DTD
2023-01-05,12500,13300,12500,12900,265000,DTD
2023-01-06,13000,13500,12400,12600,275900,DTD
2023-01-09,12500,13000,12200,12500,222200,DTD
2023-01-10,12600,12700,12100,12500,134100,DTD
2023-01-11,12400,13200,12200,12700,254100,DTD
2023-01-12,12700,13400,12500,13200,414400,DTD
2023-01-13,13300,13600,13000,13200,406200,DTD
2023-01-16,12900,13500,12900,13000,134700,DTD
2023-01-17,13000,13400,13000,13300,342100,DTD
2023-01-18,13300,13400,13000,13200,348000,DTD
2023-01-19,13500,14300,13500,14100,997900,DTD
2023-01-27,14100,14700,13900,14100,322800,DTD
2023-01-30,14100,14700,14000,14200,614500,DTD
2023-01-31,14300,14400,13900,14400,427900,DTD
2023-02-01,14600,14900,13500,13700,763100,DTD
2023-02-02,13600,14000,13100,13100,348700,DTD
2023-02-03,13100,14000,12900,13300,316200,DTD
2023-02-06,13300,13700,12900,13700,614100,DTD
2023-02-07,13700,13800,13100,13100,343000,DTD
2023-02-08,13100,13600,12600,12900,523300,DTD
2023-02-09,12600,13200,12500,12800,390800,DTD
2023-02-10,12800,12900,12400,12400,153300,DTD
2023-02-13,12000,12400,11500,11900,458000,DTD
2023-02-14,11900,12100,11600,12100,172700,DTD
2023-02-15,12100,12700,11900,12600,360700,DTD
2023-02-16,12900,12900,12500,12600,146500,DTD
2023-02-17,12700,13100,12600,12900,343900,DTD
2023-02-20,12800,13400,12800,13400,167900,DTD
2023-02-21,13400,13800,13200,13400,203600,DTD
2023-02-22,13800,13800,12500,12700,367500,DTD
2023-02-23,12500,12800,12200,12800,199500,DTD
2023-02-24,13000,13000,12300,12500,128000,DTD
2023-02-27,12600,12600,12200,12200,205400,DTD
2023-02-28,12100,12600,12100,12300,167200,DTD
2023-03-01,12300,12800,12000,12800,222400,DTD
2023-03-02,12800,12800,12500,12500,63900,DTD
2023-03-03,12700,12700,12500,12700,63400,DTD
2023-03-06,12400,13100,12300,12900,291300,DTD
2023-03-07,12900,12900,12700,12900,66100,DTD
2023-03-08,12800,13000,12700,13000,144100,DTD
2023-03-09,13100,13400,13100,13400,332100,DTD
2023-03-10,13300,13400,13100,13200,203600,DTD
2023-03-13,13000,13100,12900,13000,157100,DTD
2023-03-14,13000,13700,12600,13200,535600,DTD
2023-03-15,13400,14200,13300,14200,740900,DTD
2023-03-16,14200,14500,13900,14100,425800,DTD
2023-03-17,14100,14200,13800,13800,189800,DTD
2023-03-20,13900,14200,13600,13700,223700,DTD
2023-03-21,13700,13800,13400,13800,259300,DTD
2023-03-22,14000,14000,13700,14000,77300,DTD
2023-03-23,13600,15200,13600,15100,786800,DTD
2023-03-24,15200,15800,15000,15700,445600,DTD
2023-03-27,15500,16400,15500,15900,303600,DTD
2023-03-28,15900,16200,15600,15600,141600,DTD
2023-03-29,15500,16400,15400,16000,226500,DTD
2023-03-30,16800,17000,16400,16600,160200,DTD
2023-03-31,16600,16700,16200,16200,223300,DTD
2023-04-03,16400,17600,16400,17600,512800,DTD
2023-04-04,17900,17900,17200,17700,69400,DTD
2023-04-05,17700,17900,17200,17600,185200,DTD
2023-04-06,17400,17400,16700,16900,370300,DTD
2023-04-07,16800,16900,16200,16900,185500,DTD
2023-04-10,15000,17400,15000,16300,787300,DTD
2023-04-11,16000,16400,15700,16200,361400,DTD
2023-04-12,16300,16800,16200,16500,377900,DTD
2023-04-13,16500,17100,16300,16500,517600,DTD
2023-04-14,16600,16700,15900,15900,187900,DTD
2023-04-17,15800,16100,15500,15600,138100,DTD
2023-04-18,16000,17300,15600,17300,719600,DTD
2023-04-19,17300,17900,16800,17000,412600,DTD
2023-04-20,16700,17400,16700,17200,356300,DTD
2023-04-21,17000,17200,17000,17000,619900,DTD
2023-04-24,17000,17000,16300,16500,486400,DTD
2023-04-25,16300,16700,15400,15500,883200,DTD
2023-04-26,16000,16000,15600,16000,147400,DTD
2023-04-27,16600,17700,15700,16700,387500,DTD
2023-04-28,17200,18100,16400,18100,1204600,DTD
2023-05-04,19500,19900,19500,19900,677600,DTD
2023-05-05,21000,21400,20200,20500,893300,DTD
2023-05-08,20800,22600,20700,22500,1259900,DTD
2023-05-09,22900,24800,22900,24800,1378500,DTD
2023-05-10,25000,27200,25000,27200,1754800,DTD
2023-05-11,27500,29800,27500,27800,1183300,DTD
2023-05-12,27900,28000,25800,26800,1378200,DTD
2023-05-15,27000,29400,26500,28900,1332800,DTD
2023-05-16,28500,29800,28000,29500,1049800,DTD
2023-05-17,29600,30900,28600,30100,1191300,DTD
2023-05-18,30100,30500,28800,29200,1352700,DTD
2023-05-19,28600,28900,26600,27300,749700,DTD
2023-05-22,28400,29200,27400,28700,789900,DTD
2023-05-23,29500,30400,28600,29200,1076900,DTD
2023-05-24,29100,29900,28200,28200,701100,DTD
2023-05-25,28200,28900,28000,28200,528000,DTD
2023-05-26,28200,29700,28100,28300,542800,DTD
2023-05-29,28300,29900,28300,29100,756900,DTD
2023-05-30,29600,31900,29300,31900,1504600,DTD
2023-05-31,32000,33500,31000,31700,896900,DTD
2023-06-01,31700,32500,31200,31700,679000,DTD
2023-06-02,31700,32000,30000,30000,989700,DTD
2023-06-05,30000,30700,29100,29600,1045300,DTD
2023-06-06,29600,30800,29500,30700,928100,DTD
2023-06-07,31000,31000,30000,30300,694200,DTD
2023-06-08,30300,30600,28500,28500,1141500,DTD
2023-06-09,28600,29200,28100,29000,818100,DTD
2023-06-12,29000,31800,28900,31500,1221400,DTD
