time,open,high,low,close,volume,ticker
2023-02-13,7440,7440,7440,7440,54600,DTI
2023-02-14,7350,7350,6550,7350,18200,DTI
2023-02-16,7170,7170,7000,7000,2600,DTI
2023-02-17,8070,8070,8070,8070,1000,DTI
2023-02-23,8340,8340,8070,8070,300,DTI
2023-02-27,8160,8880,7800,8250,166500,DTI
2023-02-28,9330,9330,8520,8520,101000,DTI
2023-03-01,8880,9060,8520,9060,223000,DTI
2023-03-02,9150,9780,8880,9780,239300,DTI
2023-03-03,9420,10220,9420,9870,259500,DTI
2023-03-06,9780,10850,8160,10670,382700,DTI
2023-03-07,10670,10670,9420,10580,132200,DTI
2023-03-08,9960,10040,8610,9960,314300,DTI
2023-03-09,9780,9870,7980,8610,447700,DTI
2023-03-10,7710,10310,7710,9960,638100,DTI
2023-03-13,9420,10580,8070,9510,319000,DTI
2023-03-14,9510,9510,8340,8700,96500,DTI
2023-03-15,8790,8880,7620,8430,239700,DTI
2023-03-16,8430,8970,8250,8970,174300,DTI
2023-03-17,9240,9240,8160,8700,132100,DTI
2023-03-20,8070,8790,7800,8520,163400,DTI
2023-03-21,8070,8970,7800,8610,203800,DTI
2023-03-22,8250,8610,8070,8160,18900,DTI
2023-03-23,8520,8520,8070,8160,17300,DTI
2023-03-24,8250,8250,8160,8160,1600,DTI
2023-03-27,8070,8430,8070,8430,1300,DTI
2023-03-28,8070,8970,8070,8970,21500,DTI
2023-03-29,8700,8880,8700,8880,3700,DTI
2023-03-30,8790,8790,8790,8790,2600,DTI
2023-03-31,8880,9780,8790,9780,308900,DTI
2023-04-03,9420,9420,9420,9420,100,DTI
2023-04-04,10670,11660,10670,11570,7500,DTI
2023-04-05,10850,10850,10850,10850,1900,DTI
2023-04-06,10850,11390,10040,10130,18700,DTI
2023-04-07,10760,10760,8340,8430,134200,DTI
2023-04-10,9330,9330,8970,8970,21600,DTI
2023-04-11,8610,8970,7980,8520,32400,DTI
2023-04-12,8790,8790,8790,8790,100,DTI
2023-04-13,8520,8880,7620,8340,122700,DTI
2023-04-14,8790,8790,7620,7620,289000,DTI
2023-04-17,8340,8340,8340,8340,100,DTI
2023-04-18,8160,8160,7530,7530,50400,DTI
2023-04-19,8070,8070,7440,7440,35000,DTI
2023-04-20,7440,7530,6550,7090,128100,DTI
2023-04-21,7890,8430,7890,8070,59800,DTI
2023-04-24,8610,8610,7710,7890,78600,DTI
2023-04-25,7890,7890,7260,7800,129500,DTI
2023-04-26,7800,7800,7170,7260,20900,DTI
2023-04-27,7620,8070,7620,7980,60400,DTI
2023-04-28,7710,7800,6640,7440,785500,DTI
2023-05-04,7710,7710,7530,7530,500,DTI
2023-05-05,6910,7440,6730,6730,227900,DTI
2023-05-08,7000,7170,6910,7000,38200,DTI
2023-05-09,7260,7260,7260,7260,100,DTI
2023-05-10,7000,7000,6280,6370,76200,DTI
2023-05-11,6640,7350,5920,7260,325300,DTI
2023-05-12,7350,7710,6820,7170,463200,DTI
2023-05-15,7260,7530,6640,6730,210100,DTI
2023-05-16,6550,7090,6460,7090,351100,DTI
2023-05-17,7170,7170,6460,6820,410300,DTI
2023-05-18,7170,7350,6730,6820,352300,DTI
2023-05-19,7170,7170,6730,6730,91400,DTI
2023-05-22,6910,7000,6460,6730,280700,DTI
2023-05-23,6910,6910,6100,6190,552800,DTI
2023-05-24,6460,6460,6190,6460,54400,DTI
2023-05-25,6460,6730,6190,6460,432900,DTI
