time,open,high,low,close,volume,ticker
2023-01-03,77300,77300,77300,77300,100,DTP
2023-01-04,80270,80270,80270,80270,5400,DTP
2023-01-06,81270,81270,81270,81270,800,DTP
2023-01-09,87210,87210,84240,84240,800,DTP
2023-01-12,79280,79280,79280,79280,100,DTP
2023-01-19,89190,91180,89190,91180,3600,DTP
2023-02-01,85220,85720,85220,85720,400,DTP
2023-02-06,85520,85520,85520,85520,2400,DTP
2023-02-07,85520,85520,85520,85520,200,DTP
2023-02-10,86220,87110,86220,86220,1200,DTP
2023-02-13,86220,86220,86220,86220,200,DTP
2023-02-15,86220,86220,86220,86220,100,DTP
2023-02-16,86220,86220,86220,86220,500,DTP
2023-02-17,99000,99000,99000,99000,200,DTP
2023-02-21,86220,86220,86220,86220,400,DTP
2023-02-28,84240,86220,84240,86220,10900,DTP
2023-03-03,85220,85220,85220,85220,200,DTP
2023-03-06,85220,85220,85220,85220,100,DTP
2023-03-29,76310,76310,76310,76310,100,DTP
2023-03-31,71840,71840,71840,71840,100,DTP
2023-04-03,70860,82150,70860,82150,1400,DTP
2023-04-04,79280,79280,79280,79280,200,DTP
2023-04-05,84140,84140,84140,84140,200,DTP
2023-04-10,84730,84730,81070,81070,15900,DTP
2023-04-11,83150,83150,83150,83150,100,DTP
2023-04-14,80270,80270,80270,80270,200,DTP
2023-04-17,80270,80270,80270,80270,200,DTP
2023-04-18,87110,87110,84240,84240,400,DTP
2023-04-26,75310,75310,75310,75310,100,DTP
2023-04-27,74330,74330,74330,74330,2100,DTP
2023-04-28,86320,86320,86320,86320,100,DTP
2023-05-05,82050,82050,82050,82050,100,DTP
2023-05-08,83150,83150,80170,80270,7300,DTP
2023-05-11,81170,81270,81170,81270,1100,DTP
2023-05-15,77300,79280,77300,79280,200,DTP
2023-05-16,77400,77400,77400,77400,300,DTP
2023-05-18,81270,81270,81270,81270,1000,DTP
2023-05-22,80270,80270,80270,80270,1000,DTP
2023-05-29,78290,78290,78290,78290,600,DTP
2023-05-30,80770,81560,80770,81560,1400,DTP
2023-05-31,81270,93550,81270,81270,1400,DTP
2023-06-09,82250,82250,82250,82250,500,DTP
2023-06-20,82250,82250,82250,82250,500,DTP
2023-06-23,85740,85740,85740,85740,100,DTP
2023-06-28,81750,84740,81750,84740,1100,DTP
2023-06-29,81750,81750,81750,81750,1000,DTP
2023-07-03,81750,81750,81750,81750,1000,DTP
2023-07-04,81750,84650,79760,84650,1600,DTP
2023-07-11,82750,84740,82750,84740,600,DTP
2023-07-13,84450,84450,84450,84450,5700,DTP
2023-07-19,81750,81750,81750,81750,1300,DTP
2023-07-20,81750,81750,81750,81750,500,DTP
2023-07-21,93720,94020,93420,94020,7100,DTP
2023-07-24,99700,99700,93820,94220,14400,DTP
2023-07-25,94220,94220,94220,94220,1900,DTP
2023-07-26,94220,94220,94220,94220,2800,DTP
2023-07-27,99700,99700,97710,97710,1200,DTP
2023-07-31,94220,94220,94220,94220,500,DTP
2023-08-01,89730,94620,89730,94620,8500,DTP
2023-08-02,94620,94620,94620,94620,500,DTP
2023-08-03,89730,89730,88730,88730,200,DTP
2023-08-07,89730,89730,89730,89730,400,DTP
2023-08-09,93220,98700,91230,98700,26000,DTP
2023-08-14,95010,98600,95010,98600,600,DTP
2023-08-15,97710,98700,97710,98700,2400,DTP
2023-08-16,99500,99500,97710,97710,10600,DTP
2023-08-21,97710,98700,97710,98700,2400,DTP
2023-08-22,93920,93920,93920,93920,200,DTP
2023-08-28,97710,97710,97710,97710,100,DTP
2023-08-30,93820,93820,93820,93820,100,DTP
2023-08-31,79760,89730,79760,89730,400,DTP
2023-09-06,96710,97210,96710,97210,500,DTP
2023-09-14,94710,103690,94710,103690,200,DTP
2023-09-15,94620,94620,94620,94620,100,DTP
2023-09-20,94520,94520,94520,94520,400,DTP
2023-09-22,94710,94710,94710,94710,1000,DTP
2023-09-25,94710,94710,94710,94710,2600,DTP
2023-09-26,94810,94810,94810,94810,1000,DTP
2023-09-28,97610,97710,97610,97710,200,DTP
2023-09-29,97710,97710,97710,97710,400,DTP
2023-10-03,99600,99600,99600,99600,500,DTP
2023-10-04,92100,92100,92100,92100,100,DTP
2023-10-05,103400,103400,103400,103400,3700,DTP
2023-10-09,108000,108000,99000,99000,2600,DTP
2023-10-10,104000,104000,104000,104000,400,DTP
2023-10-11,90100,90100,90100,90100,100,DTP
2023-10-12,102900,102900,102900,102900,600,DTP
