time,open,high,low,close,volume,ticker
2023-01-31,11700,11700,11700,11700,200,DVC
2023-02-09,11700,11700,11700,11700,200,DVC
2023-03-02,12000,12000,11900,11900,400,DVC
2023-04-26,7300,7300,7300,7300,100,DVC
2023-05-09,7300,7300,7300,7300,100,DVC
2023-05-12,8300,8300,8300,8300,300,DVC
2023-05-15,9500,9500,9500,9500,100,DVC
2023-05-22,10900,10900,10900,10900,3000,DVC
2023-05-23,12500,12500,12500,12500,100,DVC
2023-06-02,10700,10700,10700,10700,100,DVC
2023-06-05,10000,11500,10000,11500,50000,DVC
2023-06-09,9200,9200,9200,9200,100,DVC
2023-06-16,10500,10500,10500,10500,100,DVC
2023-06-21,10500,12000,10500,12000,900,DVC
2023-06-23,13000,13000,13000,13000,100,DVC
2023-07-12,11200,11200,11200,11200,100,DVC
2023-07-14,11300,12800,9900,12800,400,DVC
2023-07-17,10000,10000,10000,10000,8100,DVC
2023-07-18,11500,11500,10600,10600,300,DVC
2023-07-24,9400,11800,9300,9300,1100,DVC
2023-07-26,9900,11200,9900,11200,1000,DVC
2023-07-27,9500,12700,9500,12700,1200,DVC
2023-07-28,12300,12300,10400,10400,300,DVC
2023-07-31,10500,12600,10500,11600,3700,DVC
2023-08-03,10000,12700,10000,12700,4500,DVC
2023-08-07,12000,12000,12000,12000,200,DVC
2023-08-08,12600,12600,12600,12600,100,DVC
2023-08-10,10800,10800,10800,10800,200,DVC
2023-08-11,12400,12400,10900,11400,1300,DVC
2023-08-14,12700,12700,12700,12700,200,DVC
2023-08-17,13000,14000,13000,14000,3100,DVC
2023-08-18,13500,13500,13500,13500,500,DVC
2023-08-22,13800,13800,13800,13800,1500,DVC
2023-08-24,13800,13800,13800,13800,100,DVC
2023-09-07,11800,11800,11800,11800,300,DVC
2023-09-08,12000,13500,12000,13500,2600,DVC
2023-09-11,11900,11900,11900,11900,500,DVC
2023-09-12,10500,10500,10500,10500,5000,DVC
2023-09-18,12000,12000,12000,12000,100,DVC
2023-09-20,10500,10500,10500,10500,1000,DVC
2023-09-21,9500,11800,9500,11800,5300,DVC
2023-09-25,10900,10900,10900,10900,100,DVC
2023-09-26,12500,12500,11000,11000,500,DVC
2023-09-27,11600,11600,11600,11600,100,DVC
2023-09-28,11600,11600,11600,11600,500,DVC
2023-09-29,13300,13300,10000,13300,1900,DVC
2023-10-02,13300,13300,10500,10500,200,DVC
2023-10-03,10500,13600,10500,13600,600,DVC
2023-10-04,11500,11500,11500,11500,30000,DVC
2023-10-05,12000,13200,9900,9900,1200,DVC
2023-10-06,13200,13200,13200,13200,100,DVC
2023-10-11,13500,13500,11400,11400,300,DVC
2023-10-13,11000,11000,11000,11000,5000,DVC
