time,open,high,low,close,volume,ticker
2023-01-03,7210,7610,7210,7610,99600,DXP
2023-01-04,7610,7610,7370,7450,26100,DXP
2023-01-05,7280,7700,7280,7700,114900,DXP
2023-01-06,7610,7700,7530,7700,32800,DXP
2023-01-09,7370,7700,7370,7700,48900,DXP
2023-01-10,7610,7700,7530,7700,20600,DXP
2023-01-11,7700,7850,7530,7770,52300,DXP
2023-01-12,7770,7770,7770,7770,22900,DXP
2023-01-13,7770,7850,7610,7700,11600,DXP
2023-01-16,7700,7770,7610,7770,28100,DXP
2023-01-17,7850,7940,7770,7850,125500,DXP
2023-01-18,7940,7940,7770,7850,27100,DXP
2023-01-19,7850,7940,7770,7940,53100,DXP
2023-01-27,7940,8100,7940,8100,37000,DXP
2023-01-30,8100,8430,8100,8430,134100,DXP
2023-01-31,8750,8750,8220,8750,77500,DXP
2023-02-01,8750,8840,8310,8650,97400,DXP
2023-02-02,8650,8650,8310,8650,71900,DXP
2023-02-03,8570,8920,8480,8920,64200,DXP
2023-02-06,8920,9010,8750,9010,40100,DXP
2023-02-07,9010,9100,8750,8840,22000,DXP
2023-02-08,8650,8840,8400,8840,86000,DXP
2023-02-09,8920,8920,8570,8570,9900,DXP
2023-02-10,8480,8840,8480,8750,23300,DXP
2023-02-13,8310,8750,8310,8650,91000,DXP
2023-02-14,8650,8650,8480,8480,11900,DXP
2023-02-15,8220,8650,8220,8480,9400,DXP
2023-02-16,8650,8650,8400,8570,12300,DXP
2023-02-17,8570,8570,8400,8570,4600,DXP
2023-02-20,8570,8650,8480,8650,21700,DXP
2023-02-21,8650,8920,8650,8920,137700,DXP
2023-02-22,8840,9010,8840,8920,18200,DXP
2023-02-23,8840,8840,8140,8570,53800,DXP
2023-02-24,8570,8570,8310,8570,22900,DXP
2023-02-27,8310,8750,8310,8650,70100,DXP
2023-02-28,8650,8650,8400,8650,48600,DXP
2023-03-01,8650,8650,8570,8570,17100,DXP
2023-03-02,8750,8750,8140,8140,37700,DXP
2023-03-03,8400,8480,8310,8400,8000,DXP
2023-03-06,8400,8570,8400,8400,34100,DXP
2023-03-07,8480,8480,8480,8480,11400,DXP
2023-03-08,8480,8570,8220,8570,21700,DXP
2023-03-09,8570,8570,8310,8570,44000,DXP
2023-03-10,8570,8570,8400,8480,11600,DXP
2023-03-13,8310,8480,8310,8480,15700,DXP
2023-03-14,8480,8480,8310,8480,20700,DXP
2023-03-15,8570,8570,8480,8480,4200,DXP
2023-03-16,8480,8570,8310,8480,37300,DXP
2023-03-17,8480,8570,8400,8570,32300,DXP
2023-03-20,8310,8480,8310,8480,22700,DXP
2023-03-21,8400,8480,8400,8480,40200,DXP
2023-03-22,8480,8480,8400,8400,12200,DXP
2023-03-23,8480,8480,8480,8480,100,DXP
2023-03-24,8400,8400,8400,8400,200,DXP
2023-03-27,8310,8310,8310,8310,800,DXP
2023-03-28,8310,8310,8310,8310,400,DXP
2023-03-29,8310,8310,8310,8310,200,DXP
2023-03-30,8310,8310,8310,8310,300,DXP
2023-03-31,8310,8310,8310,8310,100,DXP
2023-04-03,8400,8400,8400,8400,12000,DXP
2023-04-04,8400,8400,8310,8400,14100,DXP
2023-04-05,8480,8480,8480,8480,600,DXP
2023-04-06,8650,8650,8650,8650,6000,DXP
2023-04-07,8650,8650,8570,8570,6300,DXP
2023-04-07,8650,8650,8650,8650,400,DXP
2023-04-10,8570,8570,8310,8480,53500,DXP
2023-04-11,8480,8570,8480,8480,69000,DXP
2023-04-12,8570,8570,8480,8480,8800,DXP
2023-04-13,8570,8570,8480,8480,18400,DXP
2023-04-14,8570,8570,8570,8570,6000,DXP
2023-04-17,8480,8480,8400,8480,28700,DXP
2023-04-18,8570,8570,8570,8570,8000,DXP
2023-04-19,8480,8570,8480,8480,25900,DXP
2023-04-20,8400,8400,8400,8400,1000,DXP
2023-04-21,8310,8480,8310,8480,16500,DXP
2023-04-24,8400,8480,8400,8400,9300,DXP
2023-04-25,8400,8570,8400,8480,35400,DXP
2023-04-26,8400,8480,8400,8480,8400,DXP
2023-04-27,8570,8570,8570,8570,2000,DXP
2023-04-28,8400,8400,8400,8400,5600,DXP
2023-05-04,8480,8480,8220,8310,17700,DXP
2023-05-05,8480,8480,8220,8310,22700,DXP
2023-05-08,8310,8310,8310,8310,100,DXP
2023-05-09,8400,8480,8310,8480,7900,DXP
2023-05-10,8310,8310,8310,8310,6400,DXP
2023-05-11,8570,8650,8480,8650,53300,DXP
2023-05-12,8750,8750,8750,8750,6200,DXP
2023-05-15,8840,9100,8840,8840,46800,DXP
2023-05-16,8650,8750,8570,8650,29000,DXP
2023-05-17,8570,8650,8480,8570,17600,DXP
2023-05-18,8480,8570,8480,8480,10400,DXP
2023-05-19,8570,8570,8570,8570,1200,DXP
2023-05-22,8400,8570,8400,8570,15400,DXP
2023-05-23,8570,8650,8480,8570,11900,DXP
2023-05-24,8480,8750,8480,8570,45100,DXP
2023-05-25,8650,8650,8570,8570,17300,DXP
2023-05-26,8650,9350,8650,9350,174700,DXP
2023-05-29,10240,10240,9800,10240,353000,DXP
2023-05-30,10500,11200,10500,11200,513600,DXP
2023-05-31,11720,11810,10850,11110,214000,DXP
2023-06-01,11110,11280,10750,11110,214300,DXP
2023-06-02,11020,11110,10050,10670,296100,DXP
2023-06-05,10850,11720,10580,11370,362400,DXP
2023-06-06,11370,11370,11110,11200,75200,DXP
2023-06-07,11200,11370,10940,11200,208600,DXP
2023-06-08,11200,11810,11200,11640,301800,DXP
2023-06-09,11640,11810,11450,11810,147200,DXP
2023-06-12,11810,11810,11450,11640,92500,DXP
2023-06-13,11550,12680,11550,11810,214900,DXP
2023-06-14,11810,11810,11370,11370,96000,DXP
2023-06-15,11370,11450,10580,11110,147400,DXP
2023-06-16,10940,11200,10940,10940,101800,DXP
2023-06-19,10850,10850,10240,10320,216300,DXP
