time,open,high,low,close,volume,ticker
2023-01-03,5280,5560,5130,5490,1891300,DXS
2023-01-04,5520,5520,5280,5330,1386500,DXS
2023-01-05,5350,5350,5000,5000,1309200,DXS
2023-01-06,4940,5130,4810,5050,1603700,DXS
2023-01-09,4980,5110,4870,5080,1032000,DXS
2023-01-10,4970,5190,4850,5090,1427500,DXS
2023-01-11,5430,5430,5060,5190,1137300,DXS
2023-01-12,5070,5110,4870,4940,1646600,DXS
2023-01-13,4940,5040,4810,4810,967200,DXS
2023-01-16,4510,4930,4510,4930,1244600,DXS
2023-01-17,4940,5130,4890,4960,1329900,DXS
2023-01-18,5000,5210,4930,5210,1514400,DXS
2023-01-19,5290,5290,5070,5290,1272600,DXS
2023-01-27,5320,5320,5210,5290,1005900,DXS
2023-01-30,5210,5490,5140,5150,2809400,DXS
2023-01-31,4890,5450,4890,5450,1840100,DXS
2023-02-01,5530,5720,5250,5450,3263400,DXS
2023-02-02,5450,5520,5190,5520,1812200,DXS
2023-02-03,5520,5750,5380,5540,2281500,DXS
2023-02-06,5540,5570,5410,5570,1252200,DXS
2023-02-07,5600,5840,5560,5840,3039500,DXS
2023-02-08,5850,5920,5520,5890,1394000,DXS
2023-02-09,6200,6200,5760,5840,840500,DXS
2023-02-10,5750,5750,5490,5510,1820500,DXS
2023-02-13,5310,5450,5170,5300,1161100,DXS
2023-02-14,5280,5330,5070,5140,909300,DXS
2023-02-15,5170,5470,4890,5470,914100,DXS
2023-02-16,5470,5570,5290,5570,690800,DXS
2023-02-17,5570,5670,5450,5640,1010900,DXS
2023-02-20,5600,5870,5600,5820,1412200,DXS
2023-02-21,5750,5970,5600,5600,1355800,DXS
2023-02-22,5520,5560,5440,5440,1218400,DXS
2023-02-23,5440,5520,5250,5450,1027700,DXS
2023-02-24,5520,5520,5290,5450,1360400,DXS
2023-02-27,5300,5450,5090,5450,1950000,DXS
2023-02-28,5300,5430,5110,5330,1335200,DXS
2023-03-01,5210,5310,4970,5130,1802400,DXS
2023-03-02,5140,5210,4930,5070,1597200,DXS
2023-03-03,5070,5120,4850,5010,2428900,DXS
2023-03-06,5090,5250,5010,5210,1406700,DXS
2023-03-07,5170,5170,4970,5130,1442800,DXS
2023-03-08,5130,5130,4890,5110,1815500,DXS
2023-03-09,4970,5110,4970,5110,1376500,DXS
2023-03-10,4930,5050,4850,5030,2327700,DXS
2023-03-13,4930,4950,4780,4780,1115900,DXS
2023-03-14,4850,4940,4540,4940,1738600,DXS
2023-03-15,4930,5110,4850,5110,2098400,DXS
2023-03-16,4930,5110,4890,5040,2530900,DXS
2023-03-17,5130,5130,4890,4890,1229000,DXS
2023-03-20,4890,4890,4740,4750,987200,DXS
2023-03-21,4580,4890,4580,4890,1620100,DXS
2023-03-22,4890,4930,4810,4810,736300,DXS
