time,open,high,low,close,volume,ticker
2023-02-03,4040,4040,4040,4040,100,E29
2023-02-14,3560,3560,3560,3560,900,E29
2023-02-16,3560,3560,3560,3560,100,E29
2023-02-17,3650,3650,3650,3650,400,E29
2023-02-20,4040,4130,3750,4130,3200,E29
2023-02-21,4130,4230,4130,4230,1600,E29
2023-02-22,4230,4230,4230,4230,1700,E29
2023-02-23,4230,4230,4230,4230,1400,E29
2023-02-28,4420,4420,4420,4420,100,E29
2023-03-01,3850,4420,3850,4420,500,E29
2023-03-02,4330,4330,4330,4330,100,E29
2023-03-09,4330,4330,4330,4330,400,E29
2023-03-20,3750,3750,3750,3750,800,E29
2023-03-23,3940,3940,3940,3940,100,E29
2023-03-29,4040,4040,4040,4040,200,E29
2023-04-03,4040,4040,4040,4040,100,E29
2023-04-04,3850,3850,3850,3850,1000,E29
2023-04-14,4330,4330,4330,4330,1400,E29
2023-04-18,4330,4330,4330,4330,2000,E29
2023-04-25,3850,3850,3850,3850,300,E29
2023-04-27,4040,4040,4040,4040,200,E29
2023-04-28,3850,3850,3850,3850,100,E29
2023-05-04,3270,3270,3270,3270,100,E29
2023-05-09,3370,3370,3370,3370,100,E29
2023-05-10,3460,3460,3460,3460,7100,E29
2023-05-11,3650,3650,3650,3650,300,E29
2023-05-12,3750,3940,3750,3940,1000,E29
2023-05-15,3940,4040,3940,4040,400,E29
2023-05-16,3940,3940,3940,3940,100,E29
2023-05-17,4040,4040,3940,4040,800,E29
2023-05-18,4040,4040,4040,4040,300,E29
2023-05-22,3750,4040,3650,4040,5400,E29
2023-05-23,4040,4130,4040,4130,700,E29
2023-05-24,3940,4130,3940,4130,2000,E29
2023-05-25,4040,4520,4040,4420,2100,E29
2023-05-26,4710,4710,4330,4620,300,E29
2023-05-29,4620,5100,4520,5100,19000,E29
2023-05-30,5100,5100,4810,5000,2800,E29
2023-05-31,5290,5290,4810,5290,400,E29
2023-06-01,5770,5770,4810,5480,800,E29
2023-06-02,5670,5670,5290,5380,7600,E29
2023-06-05,6150,6150,4620,5380,800,E29
2023-06-06,4810,5580,4420,5190,1600,E29
2023-06-07,5380,5380,4900,4900,1100,E29
2023-06-08,5000,5000,5000,5000,100,E29
2023-06-09,5000,5670,4810,5290,1500,E29
2023-06-12,5290,5290,4810,5190,3700,E29
2023-06-13,5380,5380,5380,5380,100,E29
2023-06-14,6150,6150,5770,5770,400,E29
2023-06-15,6630,6630,6350,6350,200,E29
2023-06-16,5580,5580,5580,5580,400,E29
2023-06-19,6150,6150,4810,4810,1100,E29
2023-06-20,5290,5960,5290,5960,200,E29
2023-06-21,6250,6250,5100,5770,400,E29
2023-06-22,6540,6540,5190,5870,300,E29
2023-06-23,6540,6540,5100,5870,600,E29
2023-06-26,5670,5670,5190,5580,1300,E29
2023-06-27,5770,5770,5770,5770,100,E29
2023-06-28,6150,6150,5000,5670,300,E29
2023-06-29,6150,6150,6150,6150,100,E29
2023-06-30,5290,5290,5290,5290,500,E29
2023-07-03,6060,6060,5290,5670,1200,E29
2023-07-04,6630,6630,6630,6630,100,E29
2023-07-05,7210,7210,6630,6630,300,E29
2023-07-06,6540,6540,5870,6440,500,E29
2023-07-07,6830,6830,6830,6830,100,E29
2023-07-10,7310,7310,5870,6920,1300,E29
2023-07-12,5960,6440,5960,6440,1500,E29
2023-07-14,5480,5480,5480,5480,1000,E29
2023-07-18,4810,5000,4710,5000,3200,E29
2023-07-21,5000,5100,5000,5100,600,E29
2023-07-24,4810,5190,4810,5190,3600,E29
2023-07-25,5190,5190,5190,5190,300,E29
2023-07-26,5580,5580,5580,5580,500,E29
2023-07-27,5670,5670,5670,5670,100,E29
2023-07-28,5770,5770,5770,5770,100,E29
2023-07-31,5770,5770,5770,5770,500,E29
2023-08-02,6630,6630,5000,5100,4700,E29
2023-08-03,6250,6250,5480,5480,800,E29
2023-08-04,5000,5480,4900,5480,3600,E29
2023-08-07,5670,5670,5380,5380,200,E29
2023-08-08,6250,6250,4810,4810,3900,E29
2023-08-09,5380,5380,5190,5190,1000,E29
2023-08-10,5580,5580,4900,5100,2800,E29
2023-08-11,5380,5380,5380,5380,100,E29
2023-08-14,5190,5580,4810,5100,3000,E29
2023-08-15,5380,5380,4810,4900,10700,E29
2023-08-16,5380,5380,5190,5190,2100,E29
2023-08-18,5190,5190,4620,4620,400,E29
2023-08-21,4810,5100,4810,5100,300,E29
2023-08-22,5290,5290,5190,5290,5400,E29
2023-08-24,5770,5770,5380,5380,300,E29
2023-08-25,5670,5670,5670,5670,100,E29
2023-09-06,4900,4900,4900,4900,5000,E29
2023-09-07,5380,5380,4900,5100,1000,E29
2023-09-08,4900,4900,4810,4810,1500,E29
2023-09-11,5000,5000,4810,5000,3300,E29
2023-09-12,5190,5190,4810,5100,700,E29
2023-09-13,5100,5100,4810,5100,3500,E29
2023-09-14,5000,5000,5000,5000,100,E29
2023-09-15,5100,5100,5100,5100,100,E29
2023-09-19,5000,5480,4810,5000,4900,E29
2023-09-20,5480,5480,5190,5290,300,E29
2023-09-21,5380,5380,5380,5380,200,E29
2023-09-28,4620,5100,4620,5100,800,E29
2023-09-29,5380,5380,4810,4810,300,E29
2023-10-03,4420,4420,4420,4420,300,E29
2023-10-04,5000,5000,3850,4810,500,E29
2023-10-05,5000,5000,5000,5000,700,E29
2023-10-06,5100,5100,5100,5100,1000,E29
2023-10-09,5200,5200,5200,5200,1200,E29
2023-10-10,5300,5800,5300,5800,3000,E29
2023-10-12,6200,6200,6200,6200,500,E29
2023-10-13,5700,5700,5300,5300,500,E29
