time,open,high,low,close,volume,ticker
2023-01-04,8580,8580,8580,8580,800,EBS
2023-01-06,8860,8860,8860,8860,200,EBS
2023-01-09,8119,8119,8119,8119,100,EBS
2023-01-13,8860,8860,8860,8860,100,EBS
2023-01-16,8860,8860,8860,8860,800,EBS
2023-02-06,9690,9690,9690,9690,100,EBS
2023-02-09,10610,10610,8860,8860,200,EBS
2023-02-16,9690,9690,9690,9690,100,EBS
2023-02-17,8770,8770,8770,8770,100,EBS
2023-02-21,8860,8950,8860,8950,700,EBS
2023-02-23,9230,9230,9230,9230,700,EBS
2023-02-27,9230,9230,9230,9230,200,EBS
2023-03-01,9230,9230,9230,9230,100,EBS
2023-03-02,9230,9230,9230,9230,10500,EBS
2023-03-03,9230,9600,9230,9600,1600,EBS
2023-03-06,9410,9780,9320,9780,1400,EBS
2023-03-08,9970,9970,9970,9970,100,EBS
2023-03-09,10700,10700,10700,10700,100,EBS
2023-03-10,10150,10150,10150,10150,1500,EBS
2023-03-14,10500,10500,10500,10500,100,EBS
2023-03-15,10500,10500,10500,10500,100,EBS
2023-03-24,10100,10100,10100,10100,100,EBS
2023-03-27,9900,9900,9900,9900,100,EBS
2023-03-28,9000,9000,9000,9000,300,EBS
2023-03-29,9100,9100,9100,9100,700,EBS
2023-04-10,9600,9600,9500,9500,3100,EBS
2023-04-11,10500,10500,10500,10500,100,EBS
2023-04-12,9600,9600,9600,9600,800,EBS
2023-04-14,9600,9600,9600,9600,100,EBS
2023-04-18,8400,8400,8400,8400,100,EBS
2023-04-19,8400,8400,8400,8400,3400,EBS
2023-04-20,9200,9200,9200,9200,100,EBS
2023-04-21,9200,9200,9200,9200,100,EBS
2023-04-24,9200,9200,9200,9200,200,EBS
2023-04-25,9500,9500,9500,9500,100,EBS
2023-05-04,9100,9100,9000,9000,1400,EBS
2023-05-05,9200,9200,9200,9200,200,EBS
2023-05-08,9000,9000,9000,9000,2000,EBS
2023-05-09,9300,9300,9300,9300,100,EBS
2023-05-11,9300,9600,9300,9600,1500,EBS
2023-05-18,10000,10500,10000,10500,500,EBS
2023-05-19,10300,10300,10300,10300,100,EBS
2023-05-22,11300,11300,11300,11300,100,EBS
2023-05-23,10500,10500,10500,10500,200,EBS
2023-05-24,9200,9200,9200,9200,700,EBS
2023-05-25,8600,9500,8600,9500,2700,EBS
2023-05-26,9500,9500,9500,9500,100,EBS
2023-05-29,10000,10000,10000,10000,200,EBS
2023-05-30,9200,10400,9200,10400,1000,EBS
2023-06-01,10100,10100,10100,10100,100,EBS
2023-06-05,10000,10000,10000,10000,100,EBS
2023-06-09,10000,10000,10000,10000,1000,EBS
2023-06-13,10500,10500,10500,10500,200,EBS
2023-06-14,11000,11000,10000,10000,6300,EBS
2023-06-15,10000,10000,9500,9600,8000,EBS
2023-06-16,9600,9600,9600,9600,1000,EBS
2023-06-20,8700,9800,8700,9800,7300,EBS
2023-06-22,9000,9000,9000,9000,100,EBS
2023-06-23,9900,9900,9900,9900,1000,EBS
2023-06-26,10600,10600,10600,10600,200,EBS
2023-06-28,10000,10400,10000,10400,10100,EBS
2023-06-29,9800,10200,9800,10200,4500,EBS
2023-07-03,10200,11000,10200,10900,500,EBS
2023-07-04,9900,9900,9900,9900,100,EBS
2023-07-05,10000,10000,10000,10000,700,EBS
2023-07-10,10000,10500,10000,10500,10000,EBS
2023-07-11,10100,10500,10100,10500,6500,EBS
2023-07-12,10500,10500,10500,10500,200,EBS
2023-07-17,11000,11000,11000,11000,5000,EBS
2023-07-18,11400,11500,10200,11500,4200,EBS
2023-07-20,11000,11000,10500,10900,35600,EBS
2023-07-21,10600,11300,10600,11300,22700,EBS
2023-07-24,10700,10700,10700,10700,100,EBS
2023-07-25,10600,11100,10600,11000,1800,EBS
2023-07-27,10500,11000,10500,11000,1100,EBS
2023-07-28,12100,12100,10300,11200,6300,EBS
2023-07-31,10300,11600,10300,11600,8300,EBS
2023-08-08,10800,11600,10800,11600,4600,EBS
2023-08-11,11500,11700,10800,11700,9500,EBS
2023-08-14,10800,11600,10800,11600,1400,EBS
2023-08-15,11600,11700,10900,11700,11000,EBS
2023-08-16,11500,11700,10900,11100,3200,EBS
2023-08-17,11600,11600,10800,11400,5000,EBS
2023-08-21,10700,12000,10700,12000,9200,EBS
2023-08-22,11000,11900,10900,11900,1500,EBS
2023-08-23,10900,11800,10900,11800,1000,EBS
2023-08-24,11700,11700,11400,11700,500,EBS
2023-08-25,10900,11500,10900,11500,6300,EBS
2023-08-28,10500,11300,10500,11300,61000,EBS
2023-08-29,11200,11200,11100,11100,200,EBS
2023-08-30,10600,11000,10500,11000,8900,EBS
2023-08-31,10600,11000,10600,11000,2400,EBS
2023-09-05,11000,11000,11000,11000,300,EBS
2023-09-08,11400,11400,11400,11400,2400,EBS
2023-09-19,10600,12300,10600,12300,1800,EBS
2023-09-20,13500,13500,13500,13500,200,EBS
2023-09-21,14800,14800,14300,14300,400,EBS
2023-09-25,15200,15200,15200,15200,500,EBS
2023-09-29,15200,15200,13700,13700,1000,EBS
2023-10-02,12400,12400,12400,12400,500,EBS
2023-10-03,12000,13400,12000,13400,1200,EBS
2023-10-04,12800,13000,12800,13000,10600,EBS
2023-10-05,13300,13300,13300,13300,2200,EBS
2023-10-10,12000,12900,12000,12900,900,EBS
2023-10-12,13100,13100,13100,13100,1600,EBS
