time,open,high,low,close,volume,ticker
2023-01-03,20190,20190,19900,19900,400,EID
2023-01-04,19430,19810,19250,19810,16800,EID
2023-01-05,19720,19720,19430,19530,1700,EID
2023-01-06,19900,19900,19340,19620,300,EID
2023-01-09,19900,19900,19900,19900,100,EID
2023-01-10,19340,19720,18780,19720,1300,EID
2023-01-11,18590,19620,18400,19620,500,EID
2023-01-12,19530,19530,18970,18970,400,EID
2023-01-13,18970,18970,18970,18970,200,EID
2023-01-16,18970,18970,18970,18970,1500,EID
2023-01-17,19150,19150,18780,18970,900,EID
2023-01-18,18310,19530,18310,19530,400,EID
2023-01-19,19900,19900,19900,19900,600,EID
2023-01-27,19810,19810,19720,19720,200,EID
2023-01-30,19620,19810,19340,19720,7600,EID
2023-01-31,19720,21030,18780,19900,1400,EID
2023-02-01,20190,20660,19720,20090,35900,EID
2023-02-02,20470,20470,19530,20190,2100,EID
2023-02-03,20190,20190,20090,20090,1700,EID
2023-02-06,20660,20660,20470,20470,1000,EID
2023-02-08,19720,20470,19720,20470,3800,EID
2023-02-10,20370,20370,20190,20190,6300,EID
2023-02-13,20370,20370,20190,20190,300,EID
2023-02-14,19720,20190,19720,20190,200,EID
2023-02-15,20090,20090,20090,20090,100,EID
2023-02-17,19810,21120,19720,21120,9900,EID
2023-02-20,19720,21120,19720,21120,5900,EID
2023-02-21,19900,20470,19900,20470,2400,EID
2023-02-22,19530,20470,19530,20470,600,EID
2023-02-23,20470,20470,19720,20470,5900,EID
2023-02-24,19810,21120,19810,21120,15900,EID
2023-02-28,19810,22530,19810,22530,13500,EID
2023-03-01,22060,22060,21220,21880,1900,EID
2023-03-02,21780,21780,21590,21590,1400,EID
2023-03-03,19810,21500,19720,21500,7700,EID
2023-03-06,21500,21500,20660,21410,1300,EID
2023-03-07,21310,21310,20660,21310,400,EID
2023-03-08,19810,21220,19720,20660,39000,EID
2023-03-09,20000,20560,20000,20560,4200,EID
2023-03-10,20090,20660,19900,20660,3500,EID
2023-03-13,19720,20280,19720,20280,400,EID
2023-03-14,19720,20280,19340,19430,12600,EID
2023-03-15,20000,20000,19340,19430,7100,EID
2023-03-16,19430,19430,19250,19340,800,EID
2023-03-17,19340,19340,19340,19340,600,EID
2023-03-20,19250,19250,19250,19250,500,EID
2023-03-23,19900,19900,19900,19900,100,EID
2023-03-24,18030,18030,18030,18030,1500,EID
2023-03-27,20470,20470,20470,20470,100,EID
2023-03-28,20000,20000,20000,20000,100,EID
2023-03-30,19620,19620,19620,19620,100,EID
2023-03-31,19250,19250,19250,19250,100,EID
