time,open,high,low,close,volume,ticker
2023-06-28,7200,7200,7200,7200,100,FCS
2023-06-29,8200,8200,8200,8200,300,FCS
2023-06-30,9400,9400,9400,9400,1100,FCS
2023-07-03,10800,10800,10800,10800,200,FCS
2023-07-04,10800,12000,10800,12000,800,FCS
2023-07-05,11800,11800,11800,11800,100,FCS
2023-07-07,10100,10100,10100,10100,100,FCS
2023-07-10,10100,10100,10100,10100,100,FCS
2023-07-11,11000,11000,11000,11000,100,FCS
2023-07-25,10900,10900,10900,10900,900,FCS
2023-07-28,9300,9300,9300,9300,1500,FCS
2023-08-03,9400,9500,9400,9500,2800,FCS
2023-08-04,10000,10900,10000,10900,5200,FCS
2023-08-07,12100,12100,12100,12100,19600,FCS
2023-08-08,13900,13900,13900,13900,500,FCS
2023-08-09,15900,15900,15900,15900,36900,FCS
2023-08-10,18200,18200,18200,18200,14300,FCS
2023-08-11,18200,18200,15500,15500,5600,FCS
2023-08-14,14300,14300,14300,14300,29000,FCS
2023-08-15,12200,16400,12200,16400,12600,FCS
2023-08-16,15800,15800,15600,15800,24600,FCS
2023-08-17,16200,16200,13500,13600,34200,FCS
2023-08-18,13600,14800,12200,14800,8400,FCS
2023-08-21,14500,14500,11700,13400,3300,FCS
2023-08-22,12000,13800,10200,13800,9000,FCS
2023-08-23,12700,12700,11000,11000,10600,FCS
2023-08-24,13000,13000,10200,12900,20000,FCS
2023-08-25,12100,13500,10100,13100,110700,FCS
2023-08-28,13100,13800,10500,11000,134400,FCS
2023-08-29,12600,12800,11500,12700,49800,FCS
2023-08-30,12800,12900,11800,12300,26500,FCS
2023-08-31,11400,12500,11100,11700,39200,FCS
2023-09-05,11700,12000,11600,11700,17500,FCS
2023-09-06,11700,11700,11300,11500,20200,FCS
2023-09-07,11400,12000,11400,11500,11100,FCS
2023-09-08,11500,11500,11300,11500,4200,FCS
2023-09-11,11600,11700,11300,11600,17600,FCS
2023-09-12,10900,11500,10700,10700,17900,FCS
2023-09-13,10900,11000,10900,11000,7400,FCS
2023-09-14,10300,11500,10300,10900,14200,FCS
2023-09-15,10900,11000,10300,11000,7100,FCS
2023-09-18,10900,11000,10900,11000,6500,FCS
2023-09-19,10900,10900,10300,10300,18800,FCS
2023-09-20,10500,11000,10000,10100,7700,FCS
2023-09-21,10200,10200,10100,10100,8900,FCS
2023-09-22,10100,10100,10000,10000,5800,FCS
2023-09-25,9100,9100,9100,9100,9300,FCS
2023-09-26,9000,9500,8900,9500,3100,FCS
2023-09-27,9000,9000,8800,8800,400,FCS
2023-09-28,9000,9400,9000,9400,600,FCS
2023-09-29,9100,9400,9000,9300,900,FCS
2023-10-02,8600,9000,8500,9000,27300,FCS
2023-10-03,8500,8500,8200,8200,1900,FCS
2023-10-04,9000,9000,8800,8800,300,FCS
2023-10-05,7700,7800,7600,7800,4300,FCS
2023-10-06,7800,8300,7800,8300,200,FCS
2023-10-09,8500,8500,8500,8500,1100,FCS
2023-10-10,8700,8700,8400,8500,2500,FCS
2023-10-11,8500,8600,8500,8600,2100,FCS
2023-10-12,8700,9100,8700,8800,3900,FCS
2023-10-13,8800,9100,8600,8600,4600,FCS
