time,open,high,low,close,volume,ticker
2023-01-04,19200,19200,19200,19200,2600,FDC
2023-01-06,19300,19300,19300,19300,800,FDC
2023-01-13,19800,20000,18400,20000,5600,FDC
2023-01-16,20000,21000,20000,21000,2300,FDC
2023-01-17,22000,22000,22000,22000,100,FDC
2023-01-18,20500,23000,20500,20600,2400,FDC
2023-01-19,20600,21000,20600,21000,300,FDC
2023-01-30,22400,22400,22000,22400,2000,FDC
2023-02-07,22900,22900,22900,22900,100,FDC
2023-02-08,23500,23500,23500,23500,100,FDC
2023-02-09,23700,23700,23700,23700,100,FDC
2023-02-10,23800,23800,23800,23800,100,FDC
2023-02-16,22150,22150,22150,22150,100,FDC
2023-02-17,20700,22800,20700,22800,300,FDC
2023-02-20,21250,21250,21250,21250,100,FDC
2023-02-21,22400,22700,22400,22700,400,FDC
2023-02-24,21200,22000,21200,22000,200,FDC
2023-02-27,22500,22500,22500,22500,100,FDC
2023-03-02,20950,20950,20950,20950,100,FDC
2023-03-03,21900,21900,21900,21900,100,FDC
2023-03-06,20800,20800,20800,20800,100,FDC
2023-03-07,20100,20400,20100,20400,500,FDC
2023-03-08,21000,21200,21000,21200,900,FDC
2023-03-09,20100,20100,19750,19750,2500,FDC
2023-03-10,19750,20000,18400,20000,1100,FDC
2023-03-13,20300,20300,18750,20200,11200,FDC
2023-03-14,18800,20000,18800,20000,800,FDC
2023-03-15,18800,19850,18600,19850,1600,FDC
2023-03-16,18500,19950,18500,19950,400,FDC
2023-03-17,18600,18600,18600,18600,100,FDC
2023-03-20,19350,19350,17300,19000,2300,FDC
2023-03-21,17800,19100,17700,19100,3200,FDC
2023-03-23,17800,17800,17800,17800,100,FDC
2023-03-24,16600,16600,16600,16600,400,FDC
2023-03-27,17250,17250,17250,17250,100,FDC
2023-03-28,17000,17200,17000,17200,400,FDC
2023-03-29,17100,17100,17100,17100,100,FDC
2023-03-30,18100,18800,18100,18800,1100,FDC
2023-03-31,17500,17500,17500,17500,1000,FDC
2023-04-03,19000,19000,19000,19000,100,FDC
2023-04-04,17850,17850,17850,17850,1300,FDC
2023-04-05,17500,17500,17500,17500,200,FDC
2023-04-06,17500,17500,17500,17500,200,FDC
2023-04-07,17100,18200,17100,18200,200,FDC
2023-04-10,17100,17100,17100,17100,100,FDC
2023-04-11,18100,18100,18100,18100,300,FDC
2023-04-12,18300,18300,18300,18300,100,FDC
2023-04-13,18900,18900,18900,18900,200,FDC
2023-04-18,17700,17700,17700,17700,100,FDC
2023-04-20,18800,18800,18800,18800,200,FDC
2023-04-21,17550,17550,17550,17550,1100,FDC
2023-04-24,17500,17800,17500,17800,900,FDC
2023-04-25,17900,17900,17900,17900,200,FDC
2023-04-27,17900,17900,17900,17900,300,FDC
2023-04-28,18000,18000,18000,18000,100,FDC
2023-05-04,16800,16800,16800,16800,800,FDC
2023-05-08,18000,18000,16750,17800,400,FDC
2023-05-10,16600,17000,16600,17000,2300,FDC
2023-05-11,17650,17650,17650,17650,200,FDC
2023-05-12,16500,16500,16450,16450,5300,FDC
2023-05-15,16000,16000,16000,16000,3000,FDC
2023-05-17,16400,16400,16000,16400,1000,FDC
2023-05-22,15300,16250,15300,16250,4800,FDC
2023-05-24,15150,16000,15150,16000,5300,FDC
2023-05-29,15000,16000,15000,16000,2500,FDC
2023-05-30,16450,16450,16450,16450,100,FDC
2023-06-06,15300,16400,15300,16400,2100,FDC
2023-06-09,16700,16700,16600,16600,2100,FDC
2023-06-13,16450,17000,16450,17000,3800,FDC
2023-06-15,15850,16800,15850,16650,3800,FDC
2023-06-16,17100,17100,16500,16500,300,FDC
2023-06-22,15400,17000,15350,17000,6100,FDC
2023-06-29,15900,16750,15900,16750,1100,FDC
2023-07-06,15600,16450,15600,16450,700,FDC
2023-07-11,15350,15350,15300,15300,17900,FDC
2023-07-12,15300,15900,15300,15900,300,FDC
2023-07-13,14850,15600,14850,15600,600,FDC
2023-07-14,15550,15550,15000,15550,800,FDC
2023-07-19,15500,15500,15450,15450,300,FDC
2023-07-20,15450,15450,15450,15450,300,FDC
2023-07-21,15450,16000,15450,16000,200,FDC
2023-07-31,16000,16000,16000,16000,100,FDC
2023-08-01,15800,15800,15800,15800,1800,FDC
2023-08-02,15800,15800,15800,15800,1300,FDC
2023-08-03,14750,15800,14750,15300,1300,FDC
2023-08-04,15950,15950,15950,15950,100,FDC
2023-08-07,16400,16400,16400,16400,100,FDC
2023-08-08,16149,16149,16000,16000,400,FDC
2023-08-10,15850,15900,15850,15900,500,FDC
2023-08-14,15900,15900,15900,15900,1000,FDC
2023-08-15,15900,15900,15900,15900,1400,FDC
2023-08-18,15200,15200,14850,14850,400,FDC
2023-08-21,15750,15750,15500,15600,3600,FDC
2023-08-23,14650,15600,14650,15600,200,FDC
2023-08-25,15000,15000,15000,15000,100,FDC
2023-08-29,14500,15500,14000,15500,1200,FDC
2023-09-06,15000,15000,14500,15000,5600,FDC
2023-09-07,15000,15000,14900,14900,1900,FDC
2023-09-08,14850,14850,14850,14850,200,FDC
2023-09-11,14850,14850,14850,14850,200,FDC
2023-09-12,13900,14800,13900,14800,1100,FDC
2023-09-13,14100,14800,14100,14800,800,FDC
2023-09-14,14800,14800,14800,14800,100,FDC
2023-09-20,14700,14700,14700,14700,100,FDC
2023-10-09,13750,13750,13750,13750,100,FDC
2023-10-10,13750,13750,13750,13750,100,FDC
