time,open,high,low,close,volume,ticker
2023-01-03,30830,32830,30830,32830,88400,FMC
2023-01-04,34210,34210,32880,33450,51000,FMC
2023-01-05,33780,33780,33020,33450,66700,FMC
2023-01-06,35160,35160,33830,33920,85600,FMC
2023-01-09,34310,34590,33880,33920,30400,FMC
2023-01-10,34310,34310,33210,33210,24600,FMC
2023-01-11,33350,34120,32970,34120,26800,FMC
2023-01-12,34160,35350,33450,35210,94400,FMC
2023-01-13,35210,35260,34500,34690,37700,FMC
2023-01-16,34310,34310,33830,34120,13900,FMC
2023-01-17,34310,34780,34120,34400,71100,FMC
2023-01-18,34450,35120,34450,35120,29900,FMC
2023-01-19,35120,35450,34780,34970,40200,FMC
2023-01-27,36590,36590,34970,35930,32300,FMC
2023-01-30,35970,36310,35930,36210,95800,FMC
2023-01-31,36020,36400,35830,36160,34800,FMC
2023-02-01,36310,36830,35830,36020,51900,FMC
2023-02-02,35930,35930,34970,35070,34100,FMC
2023-02-03,34780,35120,34780,35020,14200,FMC
2023-02-06,35020,36120,34500,35350,8200,FMC
2023-02-07,36020,36020,34540,34780,24700,FMC
2023-02-08,33920,34930,33920,34640,21500,FMC
2023-02-09,34640,36500,34640,35740,122500,FMC
2023-02-10,36070,36120,34970,34970,16300,FMC
2023-02-13,34780,34930,32590,34690,37100,FMC
2023-02-14,34780,34780,33920,34500,12100,FMC
2023-02-15,33880,34640,33830,34310,26800,FMC
2023-02-16,34310,34780,33730,34780,28600,FMC
2023-02-17,34780,34880,34310,34880,17800,FMC
2023-02-20,34780,35930,34310,35590,57100,FMC
2023-02-21,35740,35780,35540,35590,52100,FMC
2023-02-22,35590,35740,34880,34970,21000,FMC
2023-02-23,34780,34880,33830,34730,30300,FMC
2023-02-24,34780,34780,33780,33780,15700,FMC
2023-02-27,33350,34310,33260,33920,24600,FMC
2023-02-28,33920,35070,33640,34310,16700,FMC
2023-03-01,34310,34880,33920,34780,12200,FMC
2023-03-02,34310,34730,34120,34730,12300,FMC
2023-03-03,34310,34730,34120,34120,18800,FMC
2023-03-06,34590,35260,33350,34640,11800,FMC
2023-03-07,34690,34690,33640,34590,9000,FMC
2023-03-08,33690,34640,33690,34540,28900,FMC
2023-03-09,34690,34730,33350,34500,40500,FMC
2023-03-10,34500,34640,34020,34500,39900,FMC
2023-03-13,33920,34260,33590,34120,27400,FMC
2023-03-14,34120,34120,33350,33350,50400,FMC
2023-03-15,33350,34260,33350,33830,29400,FMC
2023-03-16,33350,33730,33350,33640,26300,FMC
2023-03-17,33640,34780,33640,34690,63800,FMC
2023-03-20,34690,35160,34120,34930,53000,FMC
2023-03-21,34930,34930,34590,34780,21900,FMC
2023-03-22,34210,36160,34210,35540,50400,FMC
2023-03-23,34780,35740,34780,35740,5100,FMC
2023-03-24,36210,36930,35740,36740,78300,FMC
2023-03-27,36880,37360,36880,36930,20000,FMC
2023-03-28,36970,36970,36780,36780,2000,FMC
2023-03-29,36970,36970,36350,36350,1400,FMC
2023-03-30,36210,36690,36210,36690,15300,FMC
2023-03-31,36590,36780,36310,36310,1800,FMC
2023-04-03,36970,37160,36880,37160,45200,FMC
2023-04-04,37160,37450,36880,37400,44100,FMC
2023-04-05,37400,37450,37210,37450,12700,FMC
2023-04-06,37160,37160,36690,36880,7100,FMC
2023-04-07,37550,37550,37160,37210,9700,FMC
2023-04-07,37550,37550,37360,37360,4500,FMC
2023-04-10,37160,38020,37160,37830,41000,FMC
2023-04-11,38120,38120,37830,38070,45900,FMC
2023-04-12,38070,38690,38070,38120,2500,FMC
2023-04-13,38500,40980,38500,40550,151300,FMC
2023-04-14,41930,41930,40210,40210,36600,FMC
2023-04-17,40070,40400,39450,39590,45600,FMC
2023-04-18,39360,41360,39360,40600,71600,FMC
2023-04-19,40930,42880,40360,40880,28800,FMC
2023-04-20,40880,41450,39830,40830,64500,FMC
2023-04-21,41310,41310,40210,40450,10800,FMC
2023-04-24,40880,40880,40260,40500,51000,FMC
2023-04-25,42790,42790,39070,39070,47800,FMC
2023-04-26,40600,40600,40360,40360,8800,FMC
2023-04-27,40210,40310,39640,39930,19500,FMC
2023-04-28,40020,40400,40020,40070,4000,FMC
2023-05-04,40020,40500,40020,40500,28600,FMC
2023-05-05,40500,40690,40400,40400,9100,FMC
2023-05-08,40500,41100,40500,40600,32500,FMC
2023-05-09,40600,40600,40000,40600,13100,FMC
2023-05-10,40600,41000,40400,40700,50100,FMC
2023-05-11,40700,41500,40700,41200,28400,FMC
2023-05-12,41500,41700,40800,41150,33000,FMC
2023-05-15,41000,41300,40850,40850,9200,FMC
2023-05-16,40200,40600,40200,40200,20500,FMC
2023-05-17,40350,41300,40350,40700,12000,FMC
2023-05-18,41000,41500,41000,41500,23500,FMC
2023-05-19,42000,42000,41400,41500,21400,FMC
2023-05-22,41500,41750,41050,41150,17700,FMC
2023-05-23,41750,41900,41650,41650,11600,FMC
2023-05-24,41900,41950,41450,41450,33800,FMC
2023-05-25,41100,41600,41000,41000,23200,FMC
2023-05-26,41000,41000,40800,41000,6000,FMC
2023-05-29,41900,41900,40800,41900,57300,FMC
2023-05-30,41850,41900,41200,41600,21200,FMC
