time,open,high,low,close,volume,ticker
2023-01-03,6640,6780,6640,6780,50700,FUEKIV30
2023-01-04,6890,6940,6820,6940,58700,FUEKIV30
2023-01-05,6950,6950,6890,6890,51300,FUEKIV30
2023-01-06,6860,6970,6860,6940,54000,FUEKIV30
2023-01-09,6940,6990,6940,6950,55100,FUEKIV30
2023-01-10,6950,6950,6910,6920,50400,FUEKIV30
2023-01-11,7000,7030,6990,6990,55200,FUEKIV30
2023-01-12,6980,6980,6980,6980,50000,FUEKIV30
2023-01-13,6980,6980,6970,6970,51800,FUEKIV30
2023-01-16,6970,7000,6910,7000,50500,FUEKIV30
2023-01-17,7010,7140,7010,7140,52300,FUEKIV30
2023-01-18,7250,7250,7240,7240,50800,FUEKIV30
2023-01-19,7250,7300,7250,7280,52600,FUEKIV30
2023-01-27,7250,7450,7250,7410,55300,FUEKIV30
2023-01-30,7310,7390,7300,7300,53800,FUEKIV30
2023-01-31,7170,7280,7170,7280,50600,FUEKIV30
2023-02-01,7270,7370,7180,7180,57600,FUEKIV30
2023-02-02,7200,7200,7080,7100,54800,FUEKIV30
2023-02-03,7100,7110,7060,7060,51300,FUEKIV30
2023-02-06,7550,7550,6950,7100,55000,FUEKIV30
2023-02-07,7160,7160,6980,6980,53400,FUEKIV30
2023-02-08,6990,7190,6980,7190,54400,FUEKIV30
2023-02-09,6970,7010,6930,7010,50600,FUEKIV30
2023-02-10,7010,7010,6900,6900,52600,FUEKIV30
2023-02-13,6900,6900,6720,6750,52800,FUEKIV30
2023-02-14,6780,6780,6740,6740,50700,FUEKIV30
2023-02-15,6830,6830,6710,6770,56000,FUEKIV30
2023-02-16,6790,6860,6790,6860,50300,FUEKIV30
2023-02-17,6890,6890,6870,6880,54200,FUEKIV30
2023-02-20,6950,7160,6950,7160,54600,FUEKIV30
2023-02-21,7160,7660,7040,7040,2070200,FUEKIV30
2023-02-22,7000,7000,6900,6900,52100,FUEKIV30
2023-02-23,6870,6870,6700,6700,2053600,FUEKIV30
2023-02-24,6870,6870,6700,6720,8754300,FUEKIV30
2023-02-27,6640,6640,6550,6560,4755400,FUEKIV30
2023-02-28,6600,6670,6580,6580,54800,FUEKIV30
2023-03-01,6500,6670,6500,6670,51500,FUEKIV30
2023-03-02,6740,6750,6700,6700,53200,FUEKIV30
2023-03-03,6750,6750,6610,6610,50600,FUEKIV30
2023-03-06,6730,6750,6710,6710,55400,FUEKIV30
2023-03-07,6680,6750,6680,6750,55400,FUEKIV30
2023-03-08,6750,6750,6650,6650,50100,FUEKIV30
2023-03-09,6740,6920,6740,6920,51000,FUEKIV30
2023-03-10,6820,6840,6760,6780,52800,FUEKIV30
2023-03-13,6750,6850,6750,6850,51400,FUEKIV30
2023-03-14,6820,6820,6700,6700,50600,FUEKIV30
2023-03-15,6850,6990,6850,6990,58200,FUEKIV30
2023-03-16,6600,6860,6600,6860,51100,FUEKIV30
2023-03-17,6860,6860,6780,6780,53800,FUEKIV30
2023-03-20,6770,6770,6650,6650,54300,FUEKIV30
2023-03-21,6650,7110,6630,7110,52000,FUEKIV30
2023-03-22,6690,6690,6690,6690,100,FUEKIV30
2023-03-23,6760,6760,6760,6760,100,FUEKIV30
2023-03-24,7190,7190,6850,6850,200,FUEKIV30
2023-03-27,6860,6860,6860,6860,25000,FUEKIV30
2023-03-28,6870,6930,6870,6930,1100,FUEKIV30
2023-03-29,6920,6920,6920,6920,100,FUEKIV30
2023-03-30,6960,6970,6960,6970,900,FUEKIV30
2023-03-31,6970,6970,6970,6970,400,FUEKIV30
2023-04-03,7100,7100,7100,7100,300,FUEKIV30
2023-04-04,7080,7080,7080,7080,400,FUEKIV30
2023-04-05,7050,7050,7050,7050,100,FUEKIV30
2023-04-06,7050,7050,7040,7040,700,FUEKIV30
2023-04-07,7000,7000,7000,7000,100,FUEKIV30
2023-04-10,7040,7070,7040,7060,50500,FUEKIV30
2023-04-11,7040,7040,6950,6970,51700,FUEKIV30
2023-04-12,6990,7050,6930,7040,55900,FUEKIV30
2023-04-13,6910,6970,6910,6960,1400,FUEKIV30
2023-04-14,7000,7000,6870,6990,55500,FUEKIV30
2023-04-17,6950,7110,6950,7110,400,FUEKIV30
2023-04-18,6980,6980,6890,6890,700,FUEKIV30
2023-04-19,6900,6930,6890,6930,50700,FUEKIV30
2023-04-20,6930,6930,6850,6850,50500,FUEKIV30
2023-04-21,6800,6860,6800,6850,51600,FUEKIV30
2023-04-24,6390,6390,6390,6390,200,FUEKIV30
2023-04-25,6840,6840,6820,6820,400,FUEKIV30
2023-04-26,6660,6800,6510,6800,56500,FUEKIV30
2023-04-27,6690,6790,6680,6690,53100,FUEKIV30
2023-04-28,6800,6840,6710,6840,69100,FUEKIV30
2023-05-04,7000,7000,6790,6850,57500,FUEKIV30
2023-05-05,6900,6900,6770,6830,54100,FUEKIV30
2023-05-08,6890,6890,6790,6820,58800,FUEKIV30
2023-05-09,6840,6840,6840,6840,25000,FUEKIV30
2023-05-10,6870,6870,6870,6870,1300,FUEKIV30
2023-05-11,6910,6910,6910,6910,900,FUEKIV30
2023-05-12,6910,6910,6900,6900,1100,FUEKIV30
2023-05-15,7020,7020,6990,6990,51100,FUEKIV30
2023-05-16,6990,6990,6990,6990,100,FUEKIV30
2023-05-17,6960,6960,6960,6960,100,FUEKIV30
2023-05-18,7020,7030,7000,7000,57200,FUEKIV30
2023-05-19,6930,6930,6930,6930,50000,FUEKIV30
2023-05-22,6950,6950,6920,6950,50400,FUEKIV30
2023-05-23,7020,7020,6900,6900,52400,FUEKIV30
2023-05-24,6960,7000,6950,6980,213400,FUEKIV30
2023-05-25,7030,7030,6940,6940,229400,FUEKIV30
2023-05-26,6940,6950,6840,6940,331700,FUEKIV30
2023-05-29,6970,7000,6970,7000,49400,FUEKIV30
2023-05-30,7000,7020,7000,7020,68100,FUEKIV30
2023-05-31,7000,7000,6970,7000,49900,FUEKIV30
2023-06-01,6960,7000,6950,7000,49400,FUEKIV30
2023-06-02,7010,7140,6940,7140,117600,FUEKIV30
2023-06-05,7100,7190,7100,7160,51000,FUEKIV30
2023-06-06,7170,7210,7170,7210,81700,FUEKIV30
2023-06-07,7250,7250,7200,7250,57600,FUEKIV30
2023-06-08,7220,7230,7200,7200,64600,FUEKIV30
2023-06-09,7140,7210,7140,7210,50600,FUEKIV30
2023-06-12,7210,7230,7210,7230,49400,FUEKIV30
2023-06-13,7170,7350,7170,7350,49000,FUEKIV30
2023-06-14,7340,7360,7300,7300,47600,FUEKIV30
2023-06-15,7400,7400,7290,7290,55200,FUEKIV30
2023-06-16,7350,7350,7310,7310,3700,FUEKIV30
2023-06-19,7280,7280,7220,7220,48200,FUEKIV30
2023-06-20,7180,7220,7180,7220,49000,FUEKIV30
2023-06-21,7300,7300,7220,7250,48700,FUEKIV30
2023-06-22,7290,7330,7290,7320,49100,FUEKIV30
2023-06-23,7350,7350,7340,7350,59100,FUEKIV30
2023-06-26,7380,7390,7310,7380,51200,FUEKIV30
2023-06-27,7390,7420,7390,7420,49700,FUEKIV30
2023-06-28,7470,7490,7430,7490,48400,FUEKIV30
2023-06-29,7490,7490,7390,7420,48500,FUEKIV30
2023-06-30,7400,7460,7340,7460,54100,FUEKIV30
2023-07-03,7460,7460,7370,7420,48800,FUEKIV30
2023-07-04,7420,7420,7370,7380,49200,FUEKIV30
2023-07-05,7440,7440,7400,7440,48600,FUEKIV30
2023-07-06,7380,7420,7350,7420,49100,FUEKIV30
2023-07-07,7370,7390,7370,7390,48300,FUEKIV30
2023-07-10,7400,7460,7400,7430,54000,FUEKIV30
2023-07-11,7490,7530,7460,7460,51600,FUEKIV30
2023-07-12,7470,7550,7470,7500,49200,FUEKIV30
2023-07-13,7540,7610,7540,7570,51800,FUEKIV30
2023-07-14,7600,7660,7600,7620,54200,FUEKIV30
2023-07-17,7620,7700,7620,7700,50000,FUEKIV30
2023-07-18,7690,7690,7650,7690,50100,FUEKIV30
2023-07-19,7690,7700,7690,7700,26800,FUEKIV30
2023-07-20,7700,7700,7670,7670,24600,FUEKIV30
2023-07-21,7650,7740,7650,7740,5700,FUEKIV30
2023-07-24,7750,7900,7750,7900,2200,FUEKIV30
2023-07-25,8200,8200,7980,7980,1200,FUEKIV30
2023-07-26,7980,8400,7880,7880,7400,FUEKIV30
2023-07-27,8390,8390,7880,7900,4400,FUEKIV30
2023-07-28,7900,7950,7860,7940,59100,FUEKIV30
2023-07-31,8050,8200,8010,8200,61600,FUEKIV30
2023-08-01,8300,8300,8080,8090,52400,FUEKIV30
2023-08-02,8090,8090,8000,8020,49500,FUEKIV30
2023-08-03,8020,8080,7900,8029,50300,FUEKIV30
2023-08-04,8029,8100,7940,8100,60100,FUEKIV30
2023-08-07,8100,8230,8100,8180,51400,FUEKIV30
2023-08-08,8180,8250,8180,8180,51700,FUEKIV30
2023-08-09,8130,8200,8130,8170,1100,FUEKIV30
2023-08-10,8180,8180,8010,8010,50700,FUEKIV30
2023-08-11,8250,8250,8090,8090,48100,FUEKIV30
2023-08-14,8109,8189,8109,8189,64400,FUEKIV30
2023-08-15,8240,8240,8130,8200,49300,FUEKIV30
2023-08-16,8170,8250,8160,8220,49600,FUEKIV30
2023-08-18,8200,8200,7810,7810,18000,FUEKIV30
2023-08-21,8350,8350,7790,7840,17400,FUEKIV30
2023-08-22,7830,7830,7640,7800,69300,FUEKIV30
2023-08-23,7850,7850,7770,7770,59300,FUEKIV30
2023-08-24,7850,7900,7830,7900,49500,FUEKIV30
2023-08-25,7880,7880,7810,7810,49500,FUEKIV30
2023-08-28,7920,7980,7920,7980,48800,FUEKIV30
2023-08-29,7980,8000,7950,7980,69700,FUEKIV30
2023-08-30,8029,8070,7980,8070,75300,FUEKIV30
2023-08-31,8070,8130,8070,8130,53500,FUEKIV30
2023-09-05,8130,8200,8130,8189,50500,FUEKIV30
2023-09-06,8300,8300,8140,8250,3100,FUEKIV30
2023-09-07,8250,8330,8230,8330,55100,FUEKIV30
2023-09-08,8350,8350,8230,8250,49800,FUEKIV30
2023-09-11,7900,8250,7900,8210,1000,FUEKIV30
2023-09-12,8240,8250,8109,8250,77900,FUEKIV30
2023-09-13,8240,8270,8200,8200,25000,FUEKIV30
2023-09-14,8200,8200,8200,8200,100,FUEKIV30
2023-09-15,8130,8130,8130,8130,800,FUEKIV30
2023-09-18,8130,8130,8000,8000,200,FUEKIV30
2023-09-19,8000,8000,8000,8000,300,FUEKIV30
2023-09-20,8000,8109,8000,8109,1000,FUEKIV30
2023-09-21,8360,8360,8050,8090,40500,FUEKIV30
2023-09-22,8000,8090,7760,7870,13400,FUEKIV30
2023-09-25,8360,8360,7680,7680,1500,FUEKIV30
2023-09-26,7710,7710,7650,7650,3300,FUEKIV30
2023-09-27,7600,7630,7570,7630,8500,FUEKIV30
2023-09-28,7660,7660,7530,7550,3200,FUEKIV30
2023-09-29,7660,7710,7660,7700,1500,FUEKIV30
2023-10-02,7700,7770,7680,7770,7100,FUEKIV30
2023-10-03,7660,7660,7430,7430,4300,FUEKIV30
2023-10-04,7400,7500,7390,7490,5000,FUEKIV30
2023-10-05,7470,7480,7410,7440,1900,FUEKIV30
2023-10-06,7420,7470,7360,7470,38500,FUEKIV30
2023-10-09,7500,7530,7500,7530,1500,FUEKIV30
2023-10-10,7610,7650,7600,7640,2700,FUEKIV30
2023-10-11,7580,7660,7580,7620,6000,FUEKIV30
2023-10-12,7630,7710,7630,7690,1600,FUEKIV30
2023-10-13,7690,7690,7540,7630,1800,FUEKIV30
