time,open,high,low,close,volume,ticker
2023-01-03,11810,12340,11810,12340,24400,FUEMAV30
2023-01-04,12340,12450,12340,12400,4000,FUEMAV30
2023-01-05,12400,12550,12270,12550,26000,FUEMAV30
2023-01-06,12760,12760,12410,12500,26000,FUEMAV30
2023-01-09,12430,12500,12390,12500,16300,FUEMAV30
2023-01-10,12520,12520,12400,12510,10200,FUEMAV30
2023-01-11,12510,12570,12470,12570,24000,FUEMAV30
2023-01-12,12570,12580,12570,12580,4800,FUEMAV30
2023-01-13,12580,12650,12560,12650,25800,FUEMAV30
2023-01-16,13450,13450,12490,12680,16900,FUEMAV30
2023-01-17,12740,13000,12690,13000,11300,FUEMAV30
2023-01-18,13000,13150,12990,13150,14900,FUEMAV30
2023-01-19,13140,13280,13140,13280,4200,FUEMAV30
2023-01-27,13280,13440,13280,13320,25400,FUEMAV30
2023-01-30,13320,13320,13150,13150,29900,FUEMAV30
2023-01-31,12970,13230,12970,13230,10100,FUEMAV30
2023-02-01,13230,13230,12850,12850,25100,FUEMAV30
2023-02-02,12990,12990,12710,12850,16500,FUEMAV30
2023-02-03,12850,12850,12740,12800,8500,FUEMAV30
2023-02-06,12780,12850,12510,12850,23500,FUEMAV30
2023-02-07,12940,12940,12570,12570,16900,FUEMAV30
2023-02-08,12570,12830,12500,12630,22400,FUEMAV30
2023-02-09,12500,12670,12500,12500,21300,FUEMAV30
2023-02-10,12510,12510,12330,12350,13100,FUEMAV30
2023-02-13,13090,13090,12000,12200,18900,FUEMAV30
2023-02-14,12200,12200,12100,12180,20700,FUEMAV30
2023-02-15,12190,12280,12150,12260,15300,FUEMAV30
2023-02-16,12230,12450,12200,12450,14100,FUEMAV30
2023-02-17,12300,12440,12120,12410,8200,FUEMAV30
2023-02-20,12500,12820,12410,12820,35200,FUEMAV30
2023-02-21,12830,12860,12760,12760,5800,FUEMAV30
2023-02-22,12600,12620,12410,12450,23800,FUEMAV30
2023-02-23,12500,12500,12110,12400,4600,FUEMAV30
2023-02-24,12400,12400,11900,12160,14800,FUEMAV30
