time,open,high,low,close,volume,ticker
2023-01-03,22360,22920,22360,22820,765000,FUEVFVND
2023-01-04,23150,23150,22900,22950,2420900,FUEVFVND
2023-01-05,22950,23350,22950,23200,2014100,FUEVFVND
2023-01-06,23340,23490,23040,23120,1744300,FUEVFVND
2023-01-09,23450,23450,22990,23190,1939400,FUEVFVND
2023-01-10,23190,23350,22960,23100,2599000,FUEVFVND
2023-01-11,23200,23300,23000,23000,1920500,FUEVFVND
2023-01-12,23270,23270,22990,23160,1077800,FUEVFVND
2023-01-13,23150,23250,23020,23080,1959600,FUEVFVND
2023-01-16,23080,23390,23060,23280,1459300,FUEVFVND
2023-01-17,23300,23580,23300,23530,1269900,FUEVFVND
2023-01-18,23710,23900,23600,23900,779800,FUEVFVND
2023-01-19,23700,23990,23670,23800,1906700,FUEVFVND
2023-01-27,24750,24750,24350,24460,2317500,FUEVFVND
2023-01-30,24570,25000,24090,24090,12757700,FUEVFVND
2023-01-31,24220,24220,23730,24200,1778600,FUEVFVND
2023-02-01,24250,24440,23640,23710,841400,FUEVFVND
2023-02-02,23710,23800,23500,23600,1761900,FUEVFVND
2023-02-03,23630,23810,23560,23560,906100,FUEVFVND
2023-02-06,23550,23790,23240,23650,1613000,FUEVFVND
2023-02-07,23650,23740,23220,23350,687500,FUEVFVND
2023-02-08,23410,23420,23100,23110,656000,FUEVFVND
2023-02-09,23050,23300,23030,23100,400400,FUEVFVND
2023-02-10,23000,23100,22800,22800,821800,FUEVFVND
2023-02-13,22510,22800,22220,22480,690100,FUEVFVND
2023-02-14,22370,22590,22350,22590,1196700,FUEVFVND
2023-02-15,22590,22980,22230,22650,1132100,FUEVFVND
2023-02-16,22810,22940,22650,22930,1370100,FUEVFVND
2023-02-17,22960,22960,22730,22920,1187800,FUEVFVND
2023-02-20,22920,23470,22890,23470,3028100,FUEVFVND
2023-02-21,23650,23760,23440,23530,3680900,FUEVFVND
2023-02-22,23480,23480,23010,23150,1450200,FUEVFVND
2023-02-23,22830,22900,22390,22590,2652200,FUEVFVND
2023-02-24,22500,22720,22220,22550,695300,FUEVFVND
2023-02-27,21600,22390,21600,21870,9737500,FUEVFVND
2023-02-28,22030,22290,21950,22000,658800,FUEVFVND
2023-03-01,22000,22230,21720,22100,1081500,FUEVFVND
2023-03-02,22080,22300,22050,22240,2398800,FUEVFVND
2023-03-03,22230,22240,21700,21700,888700,FUEVFVND
2023-03-06,21760,22150,21760,21780,942700,FUEVFVND
2023-03-07,21850,22100,21850,21900,896100,FUEVFVND
2023-03-08,21800,22080,21710,21950,581100,FUEVFVND
2023-03-09,22010,22400,22010,22350,1775000,FUEVFVND
2023-03-10,22250,22250,22000,22100,1586700,FUEVFVND
2023-03-13,21950,22210,21950,22100,1687000,FUEVFVND
2023-03-14,22400,22400,21860,21990,872800,FUEVFVND
2023-03-15,22400,22430,22200,22320,751700,FUEVFVND
2023-03-16,22320,22320,21940,21950,5999400,FUEVFVND
2023-03-17,22390,22390,22000,22000,308100,FUEVFVND
2023-03-20,21900,22050,21700,21800,1712600,FUEVFVND
2023-03-21,21850,21940,21600,21850,431200,FUEVFVND
2023-03-22,21860,22020,21850,21910,362400,FUEVFVND
2023-03-23,21710,21810,21710,21780,13200,FUEVFVND
2023-03-24,21820,22070,21820,21980,402900,FUEVFVND
2023-03-27,22100,22100,21980,22000,3200,FUEVFVND
2023-03-28,22150,22360,22150,22300,16200,FUEVFVND
2023-03-29,22260,22340,22250,22300,25100,FUEVFVND
2023-03-30,22390,22450,22000,22200,1050000,FUEVFVND
2023-03-31,22290,22450,22290,22450,676700,FUEVFVND
2023-04-03,22490,22680,22490,22610,695900,FUEVFVND
2023-04-04,22800,22820,22700,22800,2997200,FUEVFVND
2023-04-05,22720,22850,22720,22850,537500,FUEVFVND
2023-04-06,23000,23000,22850,22900,1643800,FUEVFVND
2023-04-07,22710,22710,22600,22600,23300,FUEVFVND
2023-04-07,22710,22710,22680,22680,600,FUEVFVND
2023-04-10,22890,23000,22750,22790,425900,FUEVFVND
2023-04-11,22850,22900,22750,22900,2200400,FUEVFVND
2023-04-12,22900,23140,22900,23000,2041700,FUEVFVND
2023-04-13,23090,23090,22830,22920,893500,FUEVFVND
2023-04-14,22870,23010,22770,22800,272700,FUEVFVND
2023-04-17,22950,22950,22600,22630,134700,FUEVFVND
2023-04-18,22980,22980,22620,22660,253600,FUEVFVND
2023-04-19,22630,22940,22550,22550,756100,FUEVFVND
2023-04-20,22580,22580,22410,22450,167300,FUEVFVND
2023-04-21,22590,22590,22300,22300,831400,FUEVFVND
2023-04-24,22420,22600,22190,22210,600900,FUEVFVND
2023-04-25,22550,22550,21900,21950,1053600,FUEVFVND
2023-04-26,21990,22030,21850,21940,94800,FUEVFVND
2023-04-27,22220,22440,22150,22150,31400,FUEVFVND
2023-04-28,22450,22450,22150,22150,366800,FUEVFVND
2023-05-04,22670,22670,22200,22200,3073800,FUEVFVND
2023-05-05,22400,22400,22150,22250,533200,FUEVFVND
2023-05-08,22210,22210,22050,22100,687900,FUEVFVND
2023-05-09,22200,22200,22060,22100,311600,FUEVFVND
2023-05-10,22500,22500,22100,22170,615200,FUEVFVND
2023-05-11,22310,22410,22150,22260,1448800,FUEVFVND
2023-05-12,22200,22270,22130,22180,11700,FUEVFVND
2023-05-15,22420,22590,22400,22400,1212400,FUEVFVND
2023-05-16,22440,22500,22410,22480,89500,FUEVFVND
2023-05-17,22450,22450,22300,22300,587400,FUEVFVND
2023-05-18,22210,22340,22170,22250,658000,FUEVFVND
2023-05-19,22350,22350,22350,22350,200,FUEVFVND
2023-05-22,22360,22440,22330,22400,1711200,FUEVFVND
2023-05-23,22490,22590,22390,22390,519500,FUEVFVND
2023-05-24,22320,22490,22240,22270,267100,FUEVFVND
2023-05-25,22250,22330,22100,22190,1519700,FUEVFVND
2023-05-26,22200,22340,22200,22300,1238000,FUEVFVND
2023-05-29,22300,22470,22010,22360,155100,FUEVFVND
2023-05-30,22590,22590,22400,22540,1795000,FUEVFVND
2023-05-31,22500,22750,22420,22750,730000,FUEVFVND
2023-06-01,22710,22710,22420,22420,623700,FUEVFVND
2023-06-02,22520,23250,22520,22820,653900,FUEVFVND
2023-06-05,23220,23430,23220,23300,793100,FUEVFVND
2023-06-06,23300,23470,23280,23450,1200900,FUEVFVND
2023-06-07,23600,23600,23350,23510,1156400,FUEVFVND
2023-06-08,23500,23500,23030,23170,1753100,FUEVFVND
2023-06-09,23160,23300,23120,23300,1046800,FUEVFVND
2023-06-12,23280,23500,23200,23500,13014800,FUEVFVND
2023-06-13,23580,23640,23470,23500,1369300,FUEVFVND
2023-06-14,23510,23740,23510,23600,872700,FUEVFVND
2023-06-15,23600,23700,23360,23500,762500,FUEVFVND
2023-06-16,23550,23750,23450,23450,1974000,FUEVFVND
2023-06-19,23680,23680,23280,23280,10261600,FUEVFVND
2023-06-20,23450,23500,23300,23450,518000,FUEVFVND
2023-06-21,23450,23600,23000,23600,1678300,FUEVFVND
2023-06-22,23600,23930,23530,23850,473400,FUEVFVND
2023-06-23,23850,24000,23710,23900,2663900,FUEVFVND
2023-06-26,23900,24010,23710,24000,1391400,FUEVFVND
2023-06-27,23770,24250,23770,24090,704300,FUEVFVND
2023-06-28,24200,24270,24050,24200,457600,FUEVFVND
2023-06-29,24450,24450,23900,24100,286800,FUEVFVND
2023-06-30,24100,24100,23800,24090,502800,FUEVFVND
2023-07-03,24090,24090,23730,23900,1057300,FUEVFVND
2023-07-04,23900,23900,23670,23900,106100,FUEVFVND
2023-07-05,23900,24140,23900,24000,4134400,FUEVFVND
2023-07-06,24000,24000,23650,23650,710900,FUEVFVND
2023-07-07,23600,23950,23600,23950,942900,FUEVFVND
2023-07-10,24050,24400,24050,24290,2495900,FUEVFVND
2023-07-11,24330,24680,24330,24470,1569500,FUEVFVND
2023-07-12,24480,24630,24430,24430,646700,FUEVFVND
2023-07-13,24520,24950,24520,24950,1051600,FUEVFVND
2023-07-14,25000,25070,24800,25000,833700,FUEVFVND
2023-07-17,25230,25230,25070,25090,664400,FUEVFVND
2023-07-18,25130,25180,25030,25100,555100,FUEVFVND
2023-07-19,25110,25250,25100,25100,113900,FUEVFVND
2023-07-20,25210,25220,25100,25220,684900,FUEVFVND
2023-07-21,25270,25680,25240,25510,2363800,FUEVFVND
2023-07-24,26100,26100,25720,25900,482900,FUEVFVND
2023-07-25,26010,26200,25800,26090,1259800,FUEVFVND
2023-07-26,26200,26280,26000,26100,2774600,FUEVFVND
2023-07-27,26100,26270,25960,26270,645700,FUEVFVND
2023-07-28,26290,26500,26240,26500,665700,FUEVFVND
2023-07-31,26480,26890,26430,26890,1010300,FUEVFVND
2023-08-01,26940,26940,26310,26310,1368400,FUEVFVND
2023-08-02,26150,26310,26010,26150,950300,FUEVFVND
2023-08-03,26200,26370,26000,26000,1419400,FUEVFVND
2023-08-04,26000,26400,26000,26400,1071500,FUEVFVND
2023-08-07,26500,26750,26400,26750,857800,FUEVFVND
2023-08-08,26740,26790,26440,26500,495400,FUEVFVND
2023-08-09,26500,26500,26200,26230,310200,FUEVFVND
2023-08-10,26180,26300,25910,25920,4276700,FUEVFVND
2023-08-11,25760,26010,25700,26000,3047400,FUEVFVND
2023-08-14,26000,26250,25960,26140,573500,FUEVFVND
2023-08-15,26000,26300,26000,26250,2398700,FUEVFVND
2023-08-16,26250,26440,26190,26360,2277200,FUEVFVND
2023-08-17,26400,26600,26370,26430,1023600,FUEVFVND
2023-08-18,26150,26300,24580,25000,2796200,FUEVFVND
2023-08-21,25000,25400,24920,25300,3189500,FUEVFVND
2023-08-22,25300,25490,24750,25300,2777900,FUEVFVND
2023-08-23,25750,25750,25100,25300,1419900,FUEVFVND
2023-08-24,25300,25760,25300,25700,1921300,FUEVFVND
2023-08-25,25700,25780,25580,25600,1648700,FUEVFVND
2023-08-28,25700,26120,25700,26120,1787500,FUEVFVND
2023-08-29,26120,26480,26120,26400,1856400,FUEVFVND
2023-08-30,26500,26800,26400,26700,1170900,FUEVFVND
2023-08-31,26900,27090,26810,27080,3390400,FUEVFVND
2023-09-05,27080,27400,27080,27400,3104200,FUEVFVND
2023-09-06,27120,27550,27040,27550,2738900,FUEVFVND
2023-09-07,27550,27950,27370,27600,4016000,FUEVFVND
2023-09-08,27600,27780,27500,27610,8495800,FUEVFVND
2023-09-11,27880,27930,27100,27100,1081800,FUEVFVND
2023-09-12,27200,27700,27100,27700,711900,FUEVFVND
2023-09-13,27710,28110,27650,27830,1397200,FUEVFVND
2023-09-14,27830,28000,27600,27700,1088900,FUEVFVND
