time,open,high,low,close,volume,ticker
2023-01-03,24700,27290,24700,24980,8900,GEE
2023-01-04,24790,24980,24240,24240,7100,GEE
2023-01-05,23970,25810,23410,24980,7500,GEE
2023-01-06,23970,24240,23970,24050,4700,GEE
2023-01-09,23590,24980,23410,24980,19800,GEE
2023-01-10,27840,27840,24330,24330,1300,GEE
2023-01-11,23680,24610,23680,24050,23000,GEE
2023-01-12,24790,24790,24790,24790,100,GEE
2023-01-13,24790,24790,24790,24790,7400,GEE
2023-01-17,24050,24790,23680,24790,18600,GEE
2023-01-18,24050,24510,23870,24430,20100,GEE
2023-01-19,24510,24510,23590,24050,18000,GEE
2023-01-27,24050,24790,24050,24790,17200,GEE
2023-01-30,21000,24790,21000,24610,17100,GEE
2023-01-31,24700,24790,24700,24700,28200,GEE
2023-02-01,24700,24790,24610,24790,20700,GEE
2023-02-02,24700,24790,24610,24790,13900,GEE
2023-02-03,24790,24790,23770,24790,18600,GEE
2023-02-06,24330,24330,24330,24330,1400,GEE
2023-02-07,24510,24510,23680,24510,1400,GEE
2023-02-08,23870,23870,23870,23870,4200,GEE
2023-02-09,23870,24330,23870,24330,1600,GEE
2023-02-10,24140,24140,24140,24140,300,GEE
2023-02-16,24050,24050,23310,23310,600,GEE
2023-02-17,23410,23510,23310,23510,3300,GEE
2023-02-20,22750,24050,22750,23770,3600,GEE
2023-02-21,23130,23410,22950,22950,800,GEE
2023-02-22,22020,23870,22020,23870,2000,GEE
2023-02-23,22850,22850,22660,22660,600,GEE
2023-02-24,24050,24050,24050,24050,100,GEE
2023-02-27,23510,23770,22200,23770,6600,GEE
2023-02-28,23680,23680,23130,23130,8700,GEE
2023-03-01,20540,23680,20540,23590,12600,GEE
2023-03-02,23130,23510,23130,23130,1300,GEE
2023-03-06,21930,23130,21930,23130,3400,GEE
2023-03-07,24050,24050,23130,23130,12600,GEE
2023-03-08,23770,23770,23410,23410,300,GEE
2023-03-09,24050,24050,24050,24050,100,GEE
2023-03-10,23130,23130,22850,22850,9200,GEE
2023-03-14,24050,24050,22390,22390,1200,GEE
2023-03-15,22200,22200,22200,22200,1500,GEE
2023-03-16,23970,23970,23970,23970,10000,GEE
2023-03-17,22120,23130,22120,23130,1700,GEE
2023-03-21,23970,23970,23130,23130,3300,GEE
2023-03-22,23510,23510,23510,23510,100,GEE
2023-03-23,24050,24050,24050,24050,18000,GEE
2023-03-24,24050,24050,24050,24050,100,GEE
2023-03-27,23130,23130,23130,23130,3100,GEE
2023-03-29,23770,23770,23770,23770,100,GEE
2023-03-30,22170,22260,22170,22260,3300,GEE
2023-03-31,23120,24440,23120,24440,1100,GEE
2023-04-03,24720,24720,24720,24720,13000,GEE
2023-04-04,24720,24720,24720,24720,500,GEE
2023-04-05,23770,23770,23770,23770,8000,GEE
2023-04-06,23770,23770,23770,23770,8000,GEE
2023-04-11,25010,25010,25010,25010,15300,GEE
2023-04-12,25010,25190,25010,25190,7200,GEE
2023-04-13,23680,23870,23680,23680,6000,GEE
2023-04-14,23680,24060,23680,23770,44500,GEE
2023-04-17,24060,24060,23680,23770,18000,GEE
2023-04-18,23970,24250,23970,23970,46200,GEE
2023-04-19,24060,24340,23970,24060,34200,GEE
2023-04-20,24150,24150,23590,23970,2800,GEE
2023-04-21,23870,23970,23590,23680,22800,GEE
2023-04-25,22170,23680,22170,23680,10600,GEE
2023-04-26,20950,20950,20950,20950,100,GEE
2023-04-27,23870,23870,23870,23870,200,GEE
2023-04-28,23500,23590,23400,23500,4900,GEE
2023-05-04,24250,24440,24250,24440,5200,GEE
2023-05-05,24340,24440,24340,24440,4800,GEE
2023-05-08,24060,24150,24060,24150,6800,GEE
2023-05-09,24150,24150,24060,24060,500,GEE
2023-05-10,24150,24250,24150,24250,500,GEE
2023-05-11,24150,24440,24150,24440,6300,GEE
2023-05-12,24340,24340,24340,24340,35000,GEE
2023-05-15,21040,21040,21040,21040,100,GEE
2023-05-16,22360,25380,22360,25380,20900,GEE
2023-05-17,24060,24060,24060,24060,2000,GEE
2023-05-18,21510,26320,21510,26320,1100,GEE
2023-05-19,25190,25190,25190,25190,300,GEE
2023-05-22,25480,25480,24250,24250,1600,GEE
2023-05-23,24720,24810,24720,24810,330900,GEE
2023-05-24,24810,24810,24810,24810,4400,GEE
2023-05-25,24810,25480,24530,24530,175000,GEE
2023-05-26,25380,25480,23680,25480,2100,GEE
2023-05-29,25950,25950,23970,25850,3700,GEE
2023-05-30,26320,26420,25950,26420,24800,GEE
2023-05-31,26700,26700,25280,25280,1600,GEE
2023-06-01,25950,27360,25950,27360,5500,GEE
2023-06-02,26130,26610,26130,26230,15400,GEE
2023-06-05,26230,26420,26230,26230,1200,GEE
2023-06-06,26230,26890,26230,26790,200200,GEE
2023-06-07,25950,26040,25480,25480,908600,GEE
2023-06-08,25480,27830,25480,26040,1325000,GEE
2023-06-09,27360,27360,26420,26520,121100,GEE
2023-06-12,26700,26700,25660,25660,2400,GEE
2023-06-13,26230,26230,25570,25570,10300,GEE
2023-06-14,26130,26420,25570,26320,23400,GEE
2023-06-15,24620,25760,24620,25660,25300,GEE
2023-06-16,25280,26230,25010,25100,3300,GEE
2023-06-19,24720,25010,24720,25010,8000,GEE
2023-06-20,26230,26230,25950,25950,2600,GEE
2023-06-22,26420,26420,25570,25570,11700,GEE
2023-06-23,25660,25660,24810,24810,2900,GEE
2023-06-26,25280,25280,24910,25100,12700,GEE
2023-06-27,25190,25480,25190,25480,19700,GEE
2023-06-29,25480,25480,25480,25480,4800,GEE
2023-07-03,25480,25480,25480,25480,800,GEE
2023-07-04,24530,24530,24150,24530,9100,GEE
