time,open,high,low,close,volume,ticker
2023-01-03,12450,13250,12450,13250,12429500,GEX
2023-01-04,13450,13700,13150,13150,17016500,GEX
2023-01-05,13250,13650,13150,13550,18318900,GEX
2023-01-06,13500,13700,12900,13100,15929100,GEX
2023-01-09,13200,13350,12900,12900,8591000,GEX
2023-01-10,12900,13200,12500,13150,11525400,GEX
2023-01-11,13200,13600,13150,13150,11509600,GEX
2023-01-12,13200,13300,13050,13300,7512200,GEX
2023-01-13,13400,14000,13350,13700,26785600,GEX
2023-01-16,13800,13800,13450,13600,9739000,GEX
2023-01-17,13700,14000,13550,14000,14528600,GEX
2023-01-18,14200,14450,13900,14350,14447300,GEX
2023-01-19,14250,14450,14100,14400,12283200,GEX
2023-01-27,14700,15000,14400,14700,11710600,GEX
2023-01-30,14600,14900,14250,14250,19219000,GEX
2023-01-31,14200,14650,14100,14650,13729700,GEX
2023-02-01,14750,14850,13650,13750,20149400,GEX
2023-02-02,13750,13950,13400,13550,12774000,GEX
2023-02-03,13650,13900,13400,13600,7048200,GEX
2023-02-06,13600,13850,13450,13800,7025700,GEX
2023-02-07,13800,14200,13600,13600,14959500,GEX
2023-02-08,13700,13950,13450,13650,6792400,GEX
2023-02-09,13650,13950,13600,13650,5042500,GEX
2023-02-10,13650,13950,13500,13650,10139900,GEX
2023-02-13,13550,13600,12700,12800,17029600,GEX
2023-02-14,12800,12900,12400,12500,9090700,GEX
2023-02-15,12550,12900,12500,12800,6326400,GEX
2023-02-16,12900,13100,12800,13050,5588600,GEX
2023-02-17,13000,13150,12800,12900,5692000,GEX
2023-02-20,12900,13550,12900,13550,11553200,GEX
2023-02-21,13700,13750,13250,13250,11606300,GEX
2023-02-22,12600,12950,12500,12500,21342300,GEX
2023-02-23,12500,12600,11700,12500,16070200,GEX
2023-02-24,12500,12500,12000,12000,6610100,GEX
2023-02-27,11800,12100,11500,11500,8082100,GEX
2023-02-28,11700,11900,11500,11500,4029400,GEX
2023-03-01,11500,11750,11250,11750,6257100,GEX
2023-03-02,11800,11950,11700,11750,3044500,GEX
2023-03-03,11800,11900,11500,11500,3684100,GEX
2023-03-06,11800,12000,11550,11600,7895400,GEX
2023-03-07,11700,11750,11550,11700,3410500,GEX
2023-03-08,11700,11900,11550,11900,5488300,GEX
2023-03-09,12050,12650,12000,12500,13376400,GEX
2023-03-10,12350,12600,12300,12400,7189200,GEX
2023-03-13,12150,12400,12100,12300,6645100,GEX
2023-03-14,12300,12350,11850,11900,9523700,GEX
2023-03-15,12300,12500,12050,12450,8660600,GEX
2023-03-16,12300,12350,12000,12100,8584800,GEX
2023-03-17,12400,12400,12050,12350,8172600,GEX
2023-03-20,12300,12300,11850,11850,5628800,GEX
2023-03-21,12000,12200,11850,12150,4073100,GEX
2023-03-22,12250,12300,12050,12100,4325600,GEX
2023-03-23,11900,12150,11900,12100,3676700,GEX
2023-03-24,12250,12400,12150,12300,6486100,GEX
2023-03-27,12350,12550,12300,12550,8558900,GEX
2023-03-28,12650,12750,12500,12500,8152100,GEX
2023-03-29,12550,12600,12350,12450,5956700,GEX
2023-03-30,12600,12650,12400,12400,8510000,GEX
2023-03-31,12350,12400,12200,12300,7219800,GEX
2023-04-03,12600,13250,12550,13200,18822800,GEX
2023-04-04,13200,13200,12950,13150,8395900,GEX
2023-04-05,13100,13600,13100,13250,11671700,GEX
2023-04-06,13500,13700,13100,13150,13270600,GEX
2023-04-07,13000,13200,12800,13100,9253100,GEX
2023-04-10,13250,13550,13000,13100,11022100,GEX
2023-04-11,13050,13250,12900,13250,8169000,GEX
2023-04-12,13400,13750,13300,13450,19571200,GEX
2023-04-13,13500,13650,13200,13250,8558100,GEX
2023-04-14,13250,13400,12800,12850,11996700,GEX
2023-04-17,12750,12850,12650,12850,3997800,GEX
2023-04-18,12900,13000,12750,12900,4584000,GEX
2023-04-19,13150,13150,12750,12850,5495700,GEX
2023-04-20,12750,12950,12700,12900,2836500,GEX
2023-04-21,12800,12950,12600,12750,4637200,GEX
2023-04-24,12600,12800,12550,12700,3893200,GEX
2023-04-25,12700,12900,12550,12600,4270200,GEX
2023-04-26,12600,12800,12600,12750,4191400,GEX
2023-04-27,12800,13300,12800,13150,11000800,GEX
2023-04-28,13200,13400,13150,13200,5209500,GEX
2023-05-04,13150,13500,13000,13400,12577300,GEX
2023-05-05,13400,14100,13350,13750,21232600,GEX
2023-05-08,14000,14050,13700,13900,10306300,GEX
2023-05-09,14000,14000,13700,13900,7849600,GEX
2023-05-10,13900,14300,13900,14000,12155200,GEX
2023-05-11,14100,14700,13850,14450,22621400,GEX
2023-05-12,14450,14600,14300,14600,9616800,GEX
2023-05-15,14650,14650,14000,14000,26015800,GEX
2023-05-16,14200,14300,14000,14100,13358300,GEX
2023-05-17,14200,14350,13850,13900,13228200,GEX
2023-05-18,14000,14050,13800,13900,8510200,GEX
2023-05-19,13950,14200,13900,14100,9297000,GEX
2023-05-22,14250,14450,14200,14400,11411700,GEX
2023-05-23,14600,14650,14150,14300,12783000,GEX
2023-05-24,14400,14450,14150,14150,6828300,GEX
2023-05-25,14150,14500,14000,14350,8757600,GEX
2023-05-26,14400,15200,14250,15000,31379500,GEX
2023-05-29,15200,15650,15100,15450,20765000,GEX
2023-05-30,15550,15750,15200,15600,18101300,GEX
2023-05-31,15700,15700,15400,15450,13889400,GEX
2023-06-01,15400,16500,15400,16500,37296000,GEX
2023-06-02,16900,17200,16650,17100,24079800,GEX
2023-06-05,17200,17400,16950,17400,21991300,GEX
2023-06-06,17250,18150,17000,18000,18108400,GEX
2023-06-07,18100,19000,17850,19000,20649600,GEX
2023-06-08,19150,20100,17900,17900,45727500,GEX
2023-06-09,18400,19100,18100,19100,36814100,GEX
2023-06-12,19650,19700,18800,19500,19781500,GEX
2023-06-13,19550,19600,18800,18950,20111500,GEX
2023-06-14,19200,19250,18700,18700,20684500,GEX
2023-06-15,18500,19000,18500,19000,12033800,GEX
2023-06-16,19300,19500,18800,19100,20971800,GEX
2023-06-19,19200,19200,18500,18550,12382000,GEX
2023-06-20,18550,19200,18550,19200,13243000,GEX
