time,open,high,low,close,volume,ticker
2023-01-03,24280,24850,24180,24850,11000,GHC
2023-01-04,24560,24560,24470,24470,2300,GHC
2023-01-05,24560,24560,24560,24560,3000,GHC
2023-01-06,24660,24850,24660,24660,8300,GHC
2023-01-09,24660,24660,24560,24660,10400,GHC
2023-01-10,24750,24750,24560,24560,35200,GHC
2023-01-11,24940,24940,24750,24750,4100,GHC
2023-01-12,24750,24850,24660,24660,10000,GHC
2023-01-13,24660,24660,24660,24660,700,GHC
2023-01-16,24940,24940,24660,24660,10500,GHC
2023-01-17,24660,25130,24660,24750,13000,GHC
2023-01-18,25030,25320,24750,24940,8400,GHC
2023-01-19,25130,25320,25130,25130,3600,GHC
2023-01-27,25220,25320,25220,25220,1000,GHC
2023-01-30,25220,25410,25220,25410,2000,GHC
2023-01-31,25410,25410,25030,25410,5600,GHC
2023-02-01,25410,25410,25320,25320,7700,GHC
2023-02-02,25320,25410,25320,25320,9200,GHC
2023-02-03,25220,25410,25220,25410,1100,GHC
2023-02-06,25320,25510,25320,25510,4900,GHC
2023-02-07,25510,25700,25510,25510,2400,GHC
2023-02-08,25600,25600,25410,25510,2800,GHC
2023-02-09,25510,25600,25510,25510,4600,GHC
2023-02-10,25320,25600,25320,25510,4700,GHC
2023-02-13,25510,25510,25220,25410,14300,GHC
2023-02-14,25320,25510,25220,25220,8200,GHC
2023-02-15,25320,25410,25320,25410,5700,GHC
2023-02-16,25410,25510,25320,25510,1800,GHC
2023-02-17,25410,25510,25320,25410,1900,GHC
2023-02-20,25510,25510,25410,25410,16400,GHC
2023-02-21,25410,25600,25410,25510,23000,GHC
2023-02-22,25510,25600,25510,25510,8500,GHC
2023-02-23,25410,25600,25410,25600,5000,GHC
2023-02-24,25510,25600,25410,25510,7200,GHC
2023-02-27,25320,25410,25320,25320,9300,GHC
2023-02-28,25510,25510,25320,25510,12500,GHC
2023-03-01,25320,25600,25320,25510,12500,GHC
2023-03-02,25510,25600,25510,25600,8500,GHC
2023-03-03,25510,25510,25320,25410,4600,GHC
2023-03-06,25410,25510,25320,25410,7400,GHC
2023-03-07,25410,25510,25410,25410,8400,GHC
2023-03-08,25410,25410,25410,25410,3300,GHC
2023-03-09,25410,25510,25320,25510,4800,GHC
2023-03-10,25410,25600,25320,25510,21900,GHC
2023-03-13,25320,25510,25320,25510,2900,GHC
2023-03-14,25320,25320,25220,25320,5500,GHC
2023-03-15,25320,25410,25220,25220,59600,GHC
2023-03-16,25220,25320,25130,25220,36800,GHC
2023-03-17,24090,25410,24090,25320,64200,GHC
2023-03-20,25130,25410,25030,25130,52400,GHC
2023-03-21,25220,25220,25030,25130,23300,GHC
2023-03-22,25320,25320,25130,25130,3600,GHC
2023-03-23,25130,25130,25130,25130,500,GHC
2023-03-24,25130,25130,25130,25130,100,GHC
2023-03-27,25130,25220,25130,25220,1100,GHC
2023-03-28,25320,25320,25320,25320,100,GHC
2023-03-29,25320,25320,25320,25320,200,GHC
2023-03-30,25130,25130,25030,25030,3600,GHC
2023-04-03,25130,25130,25130,25130,3100,GHC
2023-04-04,25220,25220,25220,25220,200,GHC
2023-04-05,25030,25220,25030,25220,1300,GHC
2023-04-06,25220,25220,25220,25220,100,GHC
2023-04-07,25320,25320,25220,25320,2600,GHC
2023-04-10,25220,25220,25220,25220,200,GHC
2023-04-11,25130,25320,25130,25320,3100,GHC
2023-04-12,25220,25410,25130,25410,7600,GHC
2023-04-13,25510,25510,25410,25410,3700,GHC
2023-04-14,25410,25510,25410,25510,2700,GHC
2023-04-17,25320,25600,25320,25600,1600,GHC
2023-04-18,25410,25410,25410,25410,100,GHC
2023-04-19,25410,25410,25320,25320,200,GHC
2023-04-20,25320,25320,25320,25320,7000,GHC
2023-04-21,25130,25130,25130,25130,500,GHC
2023-04-24,25410,25410,25410,25410,100,GHC
2023-04-25,25320,25410,25320,25320,3100,GHC
2023-04-26,25320,25320,25320,25320,200,GHC
2023-04-27,25320,25320,25320,25320,2600,GHC
2023-04-28,25410,25790,25320,25790,5200,GHC
2023-05-04,25410,25510,25410,25510,800,GHC
2023-05-05,25510,25510,25510,25510,2000,GHC
2023-05-08,25700,25790,25510,25700,5200,GHC
2023-05-09,25510,25700,25510,25700,4200,GHC
2023-05-10,25700,25700,25510,25510,3100,GHC
2023-05-11,25510,25510,25410,25410,8200,GHC
2023-05-12,25510,25510,25320,25410,13200,GHC
2023-05-15,25510,25600,25510,25600,1300,GHC
2023-05-16,25510,25700,25510,25700,300,GHC
2023-05-17,25510,25600,25510,25510,3300,GHC
2023-05-18,25510,25510,25510,25510,800,GHC
2023-05-19,25510,25510,25030,25030,14800,GHC
2023-05-22,25220,25220,25220,25220,1000,GHC
2023-05-23,25510,25510,25410,25410,600,GHC
2023-05-24,25510,25510,25320,25320,3000,GHC
2023-05-25,25320,25410,25320,25410,500,GHC
2023-05-26,25410,25410,25320,25410,6000,GHC
2023-05-29,25320,25410,25320,25320,2200,GHC
2023-05-30,25410,25410,25410,25410,2100,GHC
2023-05-31,25410,25410,25320,25320,7800,GHC
2023-06-01,25510,25600,25320,25320,4500,GHC
2023-06-02,25410,25510,25220,25510,13700,GHC
2023-06-05,25510,25510,25320,25510,5400,GHC
2023-06-06,25510,25510,25510,25510,2500,GHC
2023-06-07,25410,25510,25320,25410,10000,GHC
2023-06-08,25510,25510,25220,25220,14900,GHC
2023-06-09,25130,25410,25130,25220,5300,GHC
2023-06-12,25220,25410,25130,25320,30800,GHC
2023-06-13,25320,25410,25130,25410,10500,GHC
2023-06-14,25220,25220,25220,25220,900,GHC
2023-06-15,25410,25510,25320,25410,2600,GHC
2023-06-16,25410,25410,25220,25220,8000,GHC
2023-06-19,25220,25410,25030,25130,20000,GHC
2023-06-20,25220,25220,25030,25130,7700,GHC
2023-06-21,25220,25220,25130,25130,12200,GHC
2023-06-22,25130,25410,25130,25410,1100,GHC
2023-06-23,25410,25510,25410,25510,11100,GHC
2023-06-26,25410,25410,25410,25410,4900,GHC
2023-06-27,25510,25510,25410,25410,1300,GHC
2023-06-28,25510,25510,25410,25410,5900,GHC
