time,open,high,low,close,volume,ticker
2023-01-03,10350,10350,9760,9900,12500,GMC
2023-01-04,9900,10000,9700,9900,41600,GMC
2023-01-05,10000,10000,9890,9890,9300,GMC
2023-01-06,10200,10200,9800,9800,3900,GMC
2023-01-09,9800,9800,9400,9400,7900,GMC
2023-01-10,9600,9800,9300,9800,7500,GMC
2023-01-11,9800,10000,9800,9900,4700,GMC
2023-01-12,9900,10000,9900,10000,2800,GMC
2023-01-13,10100,10100,10000,10000,13200,GMC
2023-01-16,9800,9800,9700,9700,8200,GMC
2023-01-17,10050,10250,9800,9800,5200,GMC
2023-01-18,9750,10350,9750,10000,11600,GMC
2023-01-19,10000,10100,9900,10100,7400,GMC
2023-01-27,10450,10800,10300,10300,11400,GMC
2023-01-30,10500,10600,10200,10600,14100,GMC
2023-01-31,10000,11000,9950,10800,160700,GMC
2023-02-01,10500,10600,10300,10300,176200,GMC
2023-02-02,10300,10500,9900,10300,76600,GMC
2023-02-03,10300,10300,10200,10200,1500,GMC
2023-02-06,10100,10400,10100,10300,22000,GMC
2023-02-07,10250,10250,10100,10100,11900,GMC
2023-02-08,10400,10400,10000,10000,4000,GMC
2023-02-09,9710,10350,9710,9800,12800,GMC
2023-02-10,9920,10350,9700,10100,12300,GMC
2023-02-13,10100,10200,9900,10200,49800,GMC
2023-02-14,10000,10150,9900,10150,34500,GMC
2023-02-15,9800,10800,9800,10800,5600,GMC
2023-02-16,10700,10800,10050,10800,70600,GMC
2023-02-17,10700,10700,10350,10350,7000,GMC
2023-02-20,10350,10800,10000,10350,13600,GMC
2023-02-21,10350,10350,9900,10050,40200,GMC
2023-02-22,10050,10050,9950,9950,1500,GMC
2023-02-23,9820,9900,9790,9900,47600,GMC
2023-02-24,9900,9900,9800,9800,2900,GMC
2023-02-27,9800,9960,9800,9800,5900,GMC
2023-02-28,9830,9830,9790,9790,2500,GMC
2023-03-01,9600,9610,9520,9610,2100,GMC
2023-03-02,9630,9910,9630,9910,2700,GMC
2023-03-03,9850,9850,9650,9850,10700,GMC
2023-03-06,9900,9900,9600,9800,16800,GMC
2023-03-07,9620,9980,9620,9660,16100,GMC
2023-03-08,9700,9750,9700,9750,500,GMC
2023-03-09,10000,10000,9600,9960,1100,GMC
2023-03-10,9900,9900,9900,9900,100,GMC
2023-03-13,9900,9900,9210,9400,8700,GMC
2023-03-14,9400,9400,9300,9350,3300,GMC
2023-03-15,9350,9450,9350,9450,4900,GMC
