time,open,high,low,close,volume,ticker
2023-01-03,9420,9500,9120,9490,13500,GMH
2023-01-04,9310,9650,9310,9600,1600,GMH
2023-01-05,9550,9930,9550,9930,6900,GMH
2023-01-06,9790,9790,9250,9690,1800,GMH
2023-01-09,9260,9500,9260,9500,3400,GMH
2023-01-10,9450,9450,9450,9450,900,GMH
2023-01-11,9450,9690,9450,9690,10200,GMH
2023-01-12,9190,9690,9190,9690,1500,GMH
2023-01-13,9650,9650,9170,9170,2200,GMH
2023-01-16,9790,9790,8550,9600,11800,GMH
2023-01-17,10030,10030,8980,9550,4500,GMH
2023-01-18,9600,9600,9500,9500,1800,GMH
2023-01-19,9500,10170,9410,10170,10600,GMH
2023-01-27,9980,10360,9500,10360,6100,GMH
2023-01-30,10360,10360,9880,9980,6100,GMH
2023-01-31,9980,9980,9790,9880,4600,GMH
2023-02-01,9930,9980,9740,9740,10500,GMH
2023-02-02,9880,9930,9650,9930,1100,GMH
2023-02-03,9790,9980,9650,9980,2700,GMH
2023-02-06,9980,9980,9690,9980,1800,GMH
2023-02-07,9600,9930,9600,9600,1300,GMH
2023-02-08,9880,9980,9690,9980,1900,GMH
2023-02-09,9880,9880,9650,9880,1200,GMH
2023-02-10,9240,9880,9240,9790,3700,GMH
2023-02-13,9790,9790,9310,9790,700,GMH
2023-02-14,9500,9740,9120,9550,11200,GMH
2023-02-15,8990,9790,8990,9790,1000,GMH
2023-02-16,9550,9740,9260,9260,5200,GMH
2023-02-17,9690,9790,9500,9790,14500,GMH
2023-02-20,9740,9790,9740,9790,1700,GMH
2023-02-21,9930,9930,9500,9500,51900,GMH
2023-02-22,9740,9740,9500,9600,6200,GMH
2023-02-23,9500,9500,9500,9500,6100,GMH
2023-02-24,9600,9600,9130,9500,800,GMH
2023-02-27,9600,9690,9220,9500,500,GMH
2023-02-28,9160,9500,9160,9410,3600,GMH
2023-03-01,9410,9410,9260,9410,3700,GMH
2023-03-02,9200,9550,9200,9450,4300,GMH
2023-03-03,9360,9400,9360,9400,6400,GMH
2023-03-06,9500,9500,9310,9410,4400,GMH
2023-03-07,9410,9490,9410,9490,300,GMH
2023-03-08,9500,9500,9360,9400,3400,GMH
2023-03-09,9370,9470,9360,9470,3300,GMH
2023-03-10,9470,9500,9470,9500,1100,GMH
2023-03-13,9450,9450,9450,9450,300,GMH
2023-03-14,9410,9550,9280,9550,1900,GMH
2023-03-15,9390,9450,9260,9450,3900,GMH
2023-03-16,9450,9450,9450,9450,1000,GMH
2023-03-17,9450,9450,9310,9450,1200,GMH
2023-03-20,9450,9450,9410,9450,600,GMH
2023-03-21,9450,9450,9190,9430,2200,GMH
2023-03-22,9310,9310,9310,9310,200,GMH
2023-03-23,9260,9260,9220,9220,1400,GMH
2023-03-24,9390,9390,9310,9310,300,GMH
2023-03-27,9480,9480,9480,9480,100,GMH
2023-03-28,9740,9740,9140,9290,2800,GMH
2023-03-29,9140,9140,9140,9140,100,GMH
2023-03-30,9180,9180,9040,9040,500,GMH
2023-03-31,9040,9040,9030,9030,500,GMH
2023-04-03,9140,9140,9140,9140,500,GMH
2023-04-04,9160,9160,9160,9160,300,GMH
2023-04-05,9220,9220,9220,9220,2100,GMH
2023-04-06,9280,9280,9280,9280,300,GMH
2023-04-07,9340,9340,9310,9310,700,GMH
2023-04-10,9880,9880,9420,9420,800,GMH
2023-04-11,9360,9360,9360,9360,100,GMH
2023-04-12,9650,9650,9500,9600,600,GMH
2023-04-13,9500,9500,9500,9500,300,GMH
2023-04-14,9500,9500,9500,9500,100,GMH
2023-04-17,9320,9320,9320,9320,100,GMH
2023-04-18,9340,9340,9310,9310,2700,GMH
2023-04-19,9410,9410,9270,9270,1700,GMH
2023-04-20,9220,9230,9140,9140,900,GMH
2023-04-21,9400,9400,9400,9400,100,GMH
2023-04-24,9390,9490,9390,9490,1000,GMH
2023-04-27,9190,9190,9190,9190,100,GMH
2023-04-28,9410,10030,9410,9790,4300,GMH
2023-05-04,9410,9600,9410,9600,1100,GMH
2023-05-05,9500,9690,9430,9500,12000,GMH
2023-05-08,9500,9500,9450,9500,1600,GMH
2023-05-09,9420,9420,9380,9380,500,GMH
2023-05-10,9500,9500,9410,9410,2700,GMH
2023-05-11,9410,9490,9410,9410,4500,GMH
