time,open,high,low,close,volume,ticker
2023-01-04,13530,13900,13530,13900,5200,GSM
2023-01-05,14090,14090,14090,14090,3000,GSM
2023-01-10,14090,14090,14090,14090,4100,GSM
2023-01-11,14090,14090,14090,14090,100,GSM
2023-01-12,14090,14090,14090,14090,500,GSM
2023-01-13,14090,14560,14090,14560,12000,GSM
2023-01-16,14470,14560,14470,14560,10000,GSM
2023-01-17,14560,14560,14560,14560,10000,GSM
2023-01-19,14560,14560,14560,14560,3000,GSM
2023-01-30,14560,14560,14560,14560,5000,GSM
2023-01-31,14560,14560,12400,12400,900,GSM
2023-02-01,14280,14280,14280,14280,4700,GSM
2023-02-20,14180,14180,14180,14180,1200,GSM
2023-02-22,13060,13060,13060,13060,1000,GSM
2023-03-22,14180,14180,14180,14180,1700,GSM
2023-03-24,13150,13150,13150,13150,100,GSM
2023-03-27,14560,14560,14560,14560,200,GSM
2023-03-29,14090,14090,14090,14090,100,GSM
2023-03-31,14090,14090,14090,14090,100,GSM
2023-04-05,14090,14090,14090,14090,200,GSM
2023-04-06,14090,14090,14090,14090,1000,GSM
2023-04-19,12020,12020,12020,12020,100,GSM
2023-04-21,10240,10240,10240,10240,100,GSM
2023-05-05,11740,11740,11740,11740,100,GSM
2023-05-08,13430,13430,13430,13430,100,GSM
2023-05-09,15410,15410,15030,15030,200,GSM
2023-05-15,12870,12870,12870,12870,100,GSM
2023-05-16,12210,12210,12210,12210,500,GSM
2023-05-24,14000,14000,14000,14000,400,GSM
2023-05-29,13150,14560,13150,14560,2200,GSM
2023-05-30,13620,13620,13620,13620,5000,GSM
2023-06-01,14090,14090,13620,13620,5100,GSM
2023-06-02,14090,14650,14090,14650,7000,GSM
2023-06-05,13250,13900,13250,13620,13100,GSM
2023-06-06,13810,14560,13810,14560,14500,GSM
2023-06-07,14560,14560,14560,14560,4000,GSM
2023-06-14,14560,14560,14560,14560,7300,GSM
2023-06-15,14560,15970,14560,15970,18400,GSM
2023-06-19,14840,14840,14560,14560,10000,GSM
2023-06-20,14750,14750,14750,14750,200,GSM
2023-06-21,14750,14750,14750,14750,1900,GSM
2023-06-23,14750,14750,14750,14750,500,GSM
2023-06-26,15030,15030,15030,15030,7500,GSM
2023-06-28,15030,15880,15030,15880,1100,GSM
2023-07-03,15030,15030,15030,15030,1000,GSM
2023-07-04,15030,15030,15030,15030,3000,GSM
2023-07-05,15030,15030,15030,15030,9800,GSM
2023-07-06,15500,15500,15500,15500,200,GSM
2023-07-07,15310,15310,15310,15310,500,GSM
2023-07-12,15500,15500,15500,15500,2100,GSM
2023-07-13,15500,15500,15410,15500,2400,GSM
2023-07-14,15500,15590,15500,15500,5500,GSM
2023-07-17,15500,15500,15500,15500,1500,GSM
2023-07-18,15500,15500,15500,15500,2400,GSM
2023-07-27,15600,15600,15600,15600,4600,GSM
2023-07-31,14000,15800,13500,15800,8200,GSM
2023-08-01,14700,14700,14700,14700,10000,GSM
2023-08-02,13000,13000,13000,13000,100,GSM
2023-08-04,14500,14500,14500,14500,10000,GSM
2023-08-08,15500,15500,15500,15500,10000,GSM
2023-08-11,14000,17800,14000,17800,25100,GSM
2023-08-16,16100,16100,16100,16100,500,GSM
2023-08-21,14000,14000,14000,14000,300,GSM
2023-08-22,16100,16100,16100,16100,100,GSM
2023-08-31,15500,15500,15500,15500,1000,GSM
2023-09-11,15500,15500,15500,15500,2200,GSM
2023-09-12,15500,15600,15500,15600,5500,GSM
2023-09-13,17800,17800,17800,17800,1100,GSM
2023-09-14,20000,20000,19700,19700,900,GSM
2023-09-15,19800,19800,19800,19800,100,GSM
2023-09-19,22000,22000,22000,22000,100,GSM
2023-09-20,18900,18900,18900,18900,800,GSM
2023-09-21,21600,21600,21600,21600,100,GSM
2023-09-22,24600,24600,24600,24600,100,GSM
2023-09-25,24700,27800,24700,27800,600,GSM
2023-09-26,30500,30500,24500,24500,200,GSM
2023-10-02,31500,31500,31500,31500,100,GSM
