time,open,high,low,close,volume,ticker
2023-01-27,10800,10800,10800,10800,100,GTD
2023-03-13,10800,15100,10800,15100,800,GTD
2023-03-14,13600,13600,13600,13600,200,GTD
2023-03-15,13600,13600,13600,13600,500,GTD
2023-03-20,14000,14000,14000,14000,500,GTD
2023-05-09,8400,9000,8400,9000,200,GTD
2023-05-17,10000,10000,10000,10000,100,GTD
2023-05-19,8500,8500,8500,8500,100,GTD
2023-05-23,7500,7500,7500,7500,100,GTD
2023-05-30,6400,6400,6400,6400,100,GTD
2023-06-06,7300,7300,7300,7300,100,GTD
2023-06-27,8300,8300,8300,8300,100,GTD
2023-06-28,9500,9500,9500,9500,200,GTD
2023-06-29,10800,10900,10800,10900,500,GTD
2023-06-30,10300,12400,9900,9900,4000,GTD
2023-07-03,12900,12900,12900,12900,100,GTD
2023-07-04,14800,14800,13000,14000,1100,GTD
2023-07-05,15500,15500,14000,14200,600,GTD
2023-07-06,14400,16400,14400,16400,200,GTD
2023-07-07,14000,14000,13800,13900,500,GTD
2023-07-10,13000,13900,13000,13900,300,GTD
2023-07-11,12100,12100,12100,12100,300,GTD
2023-07-12,13800,13800,13700,13700,200,GTD
2023-07-13,14500,14500,14500,14500,100,GTD
2023-07-17,13600,13600,13600,13600,700,GTD
2023-07-19,13000,13000,13000,13000,100,GTD
2023-07-21,12500,12500,11200,11200,1000,GTD
2023-07-24,11600,11800,11600,11700,300,GTD
2023-07-25,13400,13400,13000,13000,200,GTD
2023-07-26,15100,15100,13900,13900,400,GTD
2023-07-27,14000,14000,14000,14000,900,GTD
2023-07-31,11900,11900,11900,11900,300,GTD
2023-08-01,12000,12000,10700,10700,1200,GTD
2023-08-02,13300,13300,13300,13300,100,GTD
2023-08-08,14900,14900,14900,14900,100,GTD
2023-08-09,12700,12700,12700,12700,300,GTD
2023-08-10,13500,13500,13500,13500,100,GTD
2023-08-15,13500,13500,13500,13500,100,GTD
2023-08-16,11600,11600,11600,11600,100,GTD
2023-08-18,11600,11600,11600,11600,100,GTD
2023-08-21,10000,11000,10000,10000,4300,GTD
2023-08-22,11800,11800,9800,9800,1400,GTD
2023-08-23,11800,11800,11000,11000,200,GTD
2023-08-24,12900,12900,9700,11900,1400,GTD
2023-08-25,13000,13000,13000,13000,100,GTD
2023-08-29,11100,11100,11100,11100,1300,GTD
2023-08-30,11100,11100,11100,11100,200,GTD
2023-08-31,12600,12600,12600,12600,300,GTD
2023-09-11,12000,12000,10800,10800,2800,GTD
2023-09-12,10900,10900,10900,10900,100,GTD
2023-09-13,10200,10200,10200,10200,100,GTD
2023-09-14,10200,10200,10200,10200,400,GTD
2023-09-15,8700,9500,8700,9500,200,GTD
2023-09-18,7900,9100,7900,9100,700,GTD
2023-09-21,9400,9400,9400,9400,300,GTD
2023-09-22,10700,10700,10700,10700,100,GTD
2023-09-25,12100,12100,12100,12100,100,GTD
2023-10-11,10300,10300,10300,10300,700,GTD
2023-10-12,11700,11700,11700,11700,100,GTD
