time,open,high,low,close,volume,ticker
2023-01-03,13870,13870,13870,13870,200,HAD
2023-01-04,13870,14060,13870,14060,500,HAD
2023-01-06,14150,14150,14150,14150,300,HAD
2023-01-10,14810,14810,14810,14810,8000,HAD
2023-01-11,14990,15560,14990,15560,4100,HAD
2023-01-12,15560,15560,15560,15560,3000,HAD
2023-01-13,15460,15460,15460,15460,3000,HAD
2023-01-16,15460,15460,15370,15370,2000,HAD
2023-01-30,15370,15370,14990,14990,5600,HAD
2023-01-31,15370,15370,14530,14530,200,HAD
2023-02-02,14710,14710,14710,14710,5500,HAD
2023-02-03,14710,14810,14710,14710,900,HAD
2023-02-06,14710,15090,14710,15090,3100,HAD
2023-02-08,15090,15090,15090,15090,600,HAD
2023-02-10,15840,15840,15460,15460,1100,HAD
2023-02-14,14990,14990,14990,14990,2200,HAD
2023-02-15,14990,14990,14710,14710,1100,HAD
2023-02-16,14710,14710,14710,14710,7800,HAD
2023-02-17,14990,14990,14990,14990,400,HAD
2023-02-20,14990,14990,14990,14990,400,HAD
2023-02-27,14990,14990,14990,14990,1200,HAD
2023-03-01,14990,14990,14990,14990,1500,HAD
2023-03-02,14990,14990,14990,14990,700,HAD
2023-03-03,14990,14990,14990,14990,1100,HAD
2023-03-06,14990,14990,14990,14990,1000,HAD
2023-03-09,14990,14990,14990,14990,200,HAD
2023-03-10,14990,14990,14990,14990,200,HAD
2023-03-17,14810,15090,14810,15090,200,HAD
2023-03-22,15180,15180,15180,15180,100,HAD
2023-03-23,14620,14620,14620,14620,100,HAD
2023-03-24,14990,15460,14990,15460,300,HAD
2023-03-31,14150,14150,14150,14150,800,HAD
2023-04-03,14250,14250,14250,14250,1100,HAD
2023-04-05,14990,14990,14990,14990,100,HAD
2023-04-07,14990,14990,14990,14990,300,HAD
2023-04-07,14990,14990,14990,14990,300,HAD
2023-04-12,15180,15180,14990,14990,200,HAD
2023-04-17,14060,14060,14060,14060,100,HAD
2023-04-18,14620,14620,14620,14620,1000,HAD
2023-04-21,14710,14710,14710,14710,100,HAD
2023-04-24,14990,15280,14990,14990,12300,HAD
2023-05-04,15280,15280,15280,15280,100,HAD
2023-05-05,14340,14340,14340,14340,500,HAD
2023-05-11,14530,14530,14530,14530,2100,HAD
2023-05-12,14430,14430,14430,14430,100,HAD
2023-05-16,14530,14530,14530,14530,500,HAD
2023-05-18,14530,14530,14530,14530,1700,HAD
2023-05-19,14530,14530,14530,14530,100,HAD
2023-05-22,14530,14530,14530,14530,4000,HAD
2023-05-23,14810,14810,14530,14530,900,HAD
2023-05-26,14530,14530,14530,14530,800,HAD
2023-05-29,14150,14150,14150,14150,100,HAD
2023-05-31,14530,14530,14530,14530,13300,HAD
2023-06-01,14530,14620,14530,14620,12600,HAD
2023-06-02,14620,14620,14620,14620,1000,HAD
2023-06-05,14620,16030,14620,16030,20700,HAD
2023-06-06,16030,16960,16030,16870,10100,HAD
2023-06-07,16780,17430,16780,17430,23200,HAD
2023-06-08,17430,18740,16870,18740,21100,HAD
2023-06-09,17810,17810,17810,17810,100,HAD
2023-06-12,17990,17990,16030,17990,24200,HAD
2023-06-13,17990,17990,17990,17990,200,HAD
2023-06-14,16400,16400,16210,16210,800,HAD
2023-06-15,14990,14990,14620,14990,12000,HAD
2023-06-16,14810,16490,14810,16490,22600,HAD
2023-06-19,16870,18090,16490,16490,11300,HAD
2023-06-20,16400,16870,16400,16490,7300,HAD
2023-06-21,16870,16870,16490,16490,12100,HAD
2023-06-22,16490,16490,16490,16490,31800,HAD
2023-06-23,16490,16490,16490,16490,16200,HAD
2023-06-26,16490,16490,16490,16490,2900,HAD
2023-06-27,16490,16490,16490,16490,2000,HAD
2023-06-28,15930,16870,15930,16870,13400,HAD
2023-06-29,16490,16960,15930,15930,40500,HAD
2023-07-03,15930,15930,15930,15930,3500,HAD
2023-07-05,15930,16400,15930,16120,3100,HAD
2023-07-10,15930,15930,15930,15930,5000,HAD
2023-07-11,15930,16870,15930,16120,5400,HAD
2023-07-12,17710,17710,15930,15930,900,HAD
2023-07-13,17060,17240,17060,17240,2300,HAD
2023-07-17,16870,16870,16870,16870,1000,HAD
2023-07-18,16960,17060,16870,16870,7800,HAD
2023-07-19,16400,16400,16400,16400,1500,HAD
2023-07-20,16400,16400,16400,16400,23300,HAD
2023-07-24,16400,16680,16400,16680,8000,HAD
2023-07-25,16590,16870,16590,16870,7100,HAD
2023-07-26,16870,16870,16490,16490,3200,HAD
2023-07-27,16870,16870,16490,16870,23400,HAD
2023-07-31,16870,16870,16870,16870,1000,HAD
2023-08-02,16870,16870,16870,16870,14500,HAD
2023-08-03,16870,16870,16870,16870,900,HAD
2023-08-08,16490,16490,16490,16490,900,HAD
2023-08-09,16870,16960,16870,16870,11200,HAD
2023-08-11,16400,16400,16400,16400,1000,HAD
2023-08-15,16490,16490,16490,16490,2600,HAD
2023-08-16,16870,16870,16870,16870,300,HAD
2023-08-17,16870,16870,16870,16870,5500,HAD
2023-08-18,16780,16780,16680,16680,1900,HAD
2023-08-21,16680,16680,16680,16680,1000,HAD
2023-08-22,16680,16680,16680,16680,100,HAD
2023-08-24,16680,16680,16680,16680,3000,HAD
2023-08-29,16680,16680,16680,16680,26900,HAD
2023-08-30,17620,17620,17620,17620,100,HAD
2023-08-31,17620,17810,17620,17810,3500,HAD
2023-09-05,17810,17810,17810,17810,1200,HAD
2023-09-06,17530,17530,16870,16870,200,HAD
2023-09-07,17340,17340,16870,16870,1500,HAD
2023-09-08,16960,16960,16960,16960,1100,HAD
2023-09-11,16960,18090,16960,17900,5200,HAD
2023-09-14,16200,18000,16200,17800,800,HAD
2023-09-15,17800,17800,17800,17800,300,HAD
2023-09-21,17800,17800,17800,17800,100,HAD
2023-09-22,17000,17800,17000,17800,5000,HAD
2023-09-25,18000,18000,17500,17500,200,HAD
2023-09-27,17500,17500,17500,17500,2000,HAD
2023-09-28,17500,17800,17500,17800,73400,HAD
2023-10-03,17800,17800,17800,17800,2000,HAD
2023-10-04,18000,18000,17500,17500,80400,HAD
2023-10-06,17800,17800,17800,17800,200,HAD
2023-10-12,17800,17800,17800,17800,1000,HAD
