time,open,high,low,close,volume,ticker
2023-01-03,3530,3660,3500,3660,171000,HAR
2023-01-04,3720,3750,3660,3740,215800,HAR
2023-01-05,3780,3800,3700,3800,236400,HAR
2023-01-06,3800,3810,3750,3750,161500,HAR
2023-01-09,3740,3790,3730,3750,127300,HAR
2023-01-10,3740,3890,3730,3860,178300,HAR
2023-01-11,3870,3900,3820,3840,71200,HAR
2023-01-12,3810,3890,3800,3820,75500,HAR
2023-01-13,3860,3860,3700,3800,149800,HAR
2023-01-16,3840,3850,3800,3820,116000,HAR
2023-01-17,3850,3880,3720,3870,159200,HAR
2023-01-18,3880,4000,3880,3990,174600,HAR
2023-01-19,4000,4000,3970,4000,69700,HAR
2023-01-27,4050,4050,3740,4000,80200,HAR
2023-01-30,3910,4160,3880,4160,358300,HAR
2023-01-31,4180,4180,3960,4170,156100,HAR
2023-02-01,4200,4200,4000,4000,209400,HAR
2023-02-02,3920,3990,3800,3980,215500,HAR
2023-02-03,3980,3980,3930,3970,88300,HAR
2023-02-06,3900,3980,3900,3970,171400,HAR
2023-02-07,3970,3970,3900,3900,151000,HAR
2023-02-08,3900,3900,3860,3900,86600,HAR
2023-02-09,3860,3890,3800,3840,31600,HAR
2023-02-10,3900,3900,3760,3780,43900,HAR
2023-02-13,3760,3800,3600,3690,186700,HAR
2023-02-14,3700,3860,3700,3700,7700,HAR
2023-02-15,3700,3870,3700,3820,86700,HAR
2023-02-16,3850,3850,3700,3820,66500,HAR
2023-02-17,3820,3850,3770,3770,141400,HAR
2023-02-20,3860,3980,3830,3980,337100,HAR
2023-02-21,3980,4050,3950,3970,208000,HAR
2023-02-22,3900,3950,3890,3890,121600,HAR
2023-02-23,3930,3930,3750,3890,229400,HAR
2023-02-24,3900,3900,3700,3830,241000,HAR
2023-02-27,3790,3800,3700,3700,107900,HAR
2023-02-28,3630,3770,3630,3700,85300,HAR
2023-03-01,3610,3770,3600,3770,128700,HAR
2023-03-02,3840,3840,3650,3770,87000,HAR
2023-03-03,3680,3800,3680,3740,35600,HAR
2023-03-06,3750,3880,3750,3870,160500,HAR
2023-03-07,3900,3910,3810,3890,76400,HAR
2023-03-08,3900,3920,3840,3900,76000,HAR
2023-03-09,3820,3930,3820,3900,99600,HAR
2023-03-10,3820,3850,3820,3840,52000,HAR
2023-03-13,3800,3900,3800,3840,114400,HAR
2023-03-14,3900,3900,3780,3780,99200,HAR
2023-03-15,3880,3960,3800,3950,200000,HAR
2023-03-16,3950,3950,3870,3870,10900,HAR
2023-03-17,3930,3930,3810,3880,142500,HAR
2023-03-20,3920,3920,3720,3880,183200,HAR
2023-03-21,3810,3900,3810,3900,129100,HAR
2023-03-22,3890,3920,3890,3910,87700,HAR
2023-03-23,3910,3910,3850,3890,7600,HAR
2023-03-24,3920,3920,3840,3840,9200,HAR
2023-03-27,3820,3850,3820,3850,1200,HAR
2023-03-28,3830,3910,3830,3900,27800,HAR
2023-03-29,3820,3870,3820,3870,1500,HAR
2023-03-30,3920,3920,3920,3920,100,HAR
2023-03-31,3840,3870,3760,3840,99500,HAR
2023-04-03,3730,3900,3730,3880,38300,HAR
2023-04-04,3860,3950,3800,3890,94300,HAR
2023-04-05,3890,3980,3860,3960,162500,HAR
2023-04-06,4140,4230,4010,4010,377800,HAR
2023-04-07,4059,4059,3920,3970,90800,HAR
2023-04-10,4000,4100,3950,3950,102400,HAR
2023-04-11,3990,3990,3830,3840,172500,HAR
2023-04-12,3850,3880,3800,3850,140200,HAR
2023-04-13,3880,3990,3860,3870,108200,HAR
2023-04-14,3900,3900,3820,3850,31700,HAR
2023-04-17,3820,3860,3810,3860,18500,HAR
2023-04-18,3800,3850,3790,3790,36000,HAR
2023-04-19,3810,3810,3770,3770,43000,HAR
2023-04-20,3730,3900,3730,3810,80200,HAR
2023-04-21,3980,3980,3870,3870,106900,HAR
2023-04-24,3940,3940,3810,3860,57900,HAR
2023-04-25,3830,3900,3830,3870,198800,HAR
2023-04-26,3980,3980,3810,3850,38100,HAR
2023-04-27,3870,3880,3790,3800,64200,HAR
2023-04-28,3880,3880,3760,3850,118500,HAR
2023-05-04,3850,3870,3820,3840,61900,HAR
2023-05-05,3810,3850,3810,3830,117200,HAR
2023-05-08,3860,4019,3860,4010,478500,HAR
2023-05-09,4019,4019,3920,3950,167300,HAR
2023-05-10,3990,4250,3920,4250,1098400,HAR
2023-05-11,4540,4540,4540,4540,532700,HAR
2023-05-12,4650,4650,4410,4620,1639100,HAR
2023-05-15,4680,4690,4500,4530,974500,HAR
2023-05-16,4500,4590,4400,4420,532100,HAR
2023-05-17,4400,4540,4400,4470,381900,HAR
2023-05-18,4500,4500,4390,4430,306400,HAR
2023-05-19,4430,4430,4210,4280,342500,HAR
2023-05-22,4300,4480,4300,4350,178900,HAR
2023-05-23,4350,4420,4350,4380,226600,HAR
2023-05-24,4400,4600,4400,4450,358100,HAR
2023-05-25,4450,4450,4320,4370,171900,HAR
2023-05-26,4440,4600,4370,4600,722200,HAR
