time,open,high,low,close,volume,ticker
2023-01-03,21000,21000,21000,21000,2900,HAT
2023-01-04,21600,21600,21600,21600,500,HAT
2023-01-05,21600,21600,21600,21600,1500,HAT
2023-01-06,21600,21600,21600,21600,23000,HAT
2023-01-09,21600,21800,21300,21300,2700,HAT
2023-01-10,21500,22000,21500,21500,5800,HAT
2023-01-11,21500,21500,21500,21500,1400,HAT
2023-01-12,21600,21600,21600,21600,400,HAT
2023-01-16,21600,21600,21600,21600,200,HAT
2023-01-17,21700,21700,21700,21700,1500,HAT
2023-01-18,21800,21800,21300,21300,800,HAT
2023-01-19,22000,22700,21600,21600,15300,HAT
2023-01-31,21600,21600,21600,21600,2000,HAT
2023-02-01,22000,22000,21000,21500,1700,HAT
2023-02-03,22000,22100,21500,21500,1900,HAT
2023-02-06,21500,21500,21500,21500,100,HAT
2023-02-07,22000,22500,21600,21600,2000,HAT
2023-02-08,21600,21600,21600,21600,1000,HAT
2023-02-10,21000,21000,21000,21000,300,HAT
2023-02-14,18900,18900,18900,18900,200,HAT
2023-02-15,20700,20700,20700,20700,100,HAT
2023-02-17,21600,21600,21600,21600,100,HAT
2023-02-20,20600,21700,20600,21700,200,HAT
2023-02-21,21800,23800,21800,23700,7500,HAT
2023-02-22,23700,23700,23700,23700,300,HAT
2023-02-23,23700,25000,22000,22000,3200,HAT
2023-02-24,24100,24200,22400,22400,3500,HAT
2023-02-27,24600,24600,24500,24600,2800,HAT
2023-02-28,27000,27000,24700,24700,17500,HAT
2023-03-01,27100,27100,23000,23000,5600,HAT
2023-03-02,25300,25300,22700,22700,200,HAT
2023-03-06,24900,24900,22700,22700,1000,HAT
2023-03-07,24900,24900,24900,24900,100,HAT
2023-03-08,27200,27300,27000,27300,4400,HAT
2023-03-13,24600,24600,24600,24600,100,HAT
2023-03-14,26000,26000,26000,26000,300,HAT
2023-03-21,24700,24700,24700,24700,100,HAT
2023-03-23,23100,23100,23100,23100,200,HAT
2023-03-27,25400,25400,25400,25400,500,HAT
2023-03-28,25400,25400,25400,25400,500,HAT
2023-03-29,25500,25500,25500,25500,800,HAT
2023-03-31,22000,22000,22000,22000,1600,HAT
2023-04-03,23200,23200,23200,23200,500,HAT
2023-04-04,25500,25500,25500,25500,500,HAT
2023-04-05,26000,26000,26000,26000,5000,HAT
2023-04-10,25000,25000,25000,25000,200,HAT
2023-04-11,27000,27500,27000,27500,1300,HAT
2023-04-12,27000,27500,27000,27500,1600,HAT
2023-04-17,27000,27500,27000,27500,700,HAT
2023-04-19,28000,28000,26500,26500,3100,HAT
2023-04-20,26500,26500,26500,26500,500,HAT
2023-04-21,27500,27500,27500,27500,300,HAT
2023-04-24,27000,27000,27000,27000,2000,HAT
2023-04-25,27000,27000,27000,27000,10000,HAT
2023-04-26,26600,26900,26500,26900,3500,HAT
2023-04-27,26200,26200,26200,26200,100,HAT
2023-04-28,26500,26900,26100,26600,12900,HAT
2023-05-04,26900,26900,26900,26900,200,HAT
2023-05-05,26900,26900,26000,26000,3500,HAT
2023-05-08,26000,26800,26000,26800,9100,HAT
2023-05-09,26000,26500,26000,26500,8600,HAT
