time,open,high,low,close,volume,ticker
2023-01-03,19510,20560,19460,20560,3235400,HCM
2023-01-04,20950,21290,20810,20900,5139500,HCM
2023-01-05,20850,21570,20810,21420,4157200,HCM
2023-01-06,21380,22200,21340,21340,5319500,HCM
2023-01-09,21620,21950,21340,21420,3151200,HCM
2023-01-10,21470,21770,20710,21570,3982800,HCM
2023-01-11,21820,22530,21670,22050,4999100,HCM
2023-01-12,21910,22200,21720,21950,3104400,HCM
2023-01-13,22150,22680,21860,21950,5839700,HCM
2023-01-16,22150,22730,21910,22530,4058100,HCM
2023-01-17,23020,23470,22780,23470,5001100,HCM
2023-01-18,23470,23760,23020,23420,5125200,HCM
2023-01-19,23120,23860,23120,23860,4787000,HCM
2023-01-27,24300,24300,23760,23860,4711900,HCM
2023-01-30,23860,24450,23560,23860,5850700,HCM
2023-01-31,23760,24740,23370,24740,6471200,HCM
2023-02-01,24690,24840,23020,23020,7468300,HCM
2023-02-02,23170,23560,22680,23070,5322700,HCM
2023-02-03,23170,23560,22780,23170,2419700,HCM
2023-02-06,23170,23470,22880,23370,2677100,HCM
2023-02-07,23560,23960,22880,22880,4615000,HCM
2023-02-08,23270,23960,22440,23710,3467700,HCM
2023-02-09,23710,24060,23560,23610,3204800,HCM
2023-02-10,23370,23910,23070,23270,3200600,HCM
2023-02-13,22980,23270,21700,22290,4687000,HCM
2023-02-14,22480,22630,22140,22390,1664500,HCM
2023-02-15,22240,23120,22140,22930,3108500,HCM
2023-02-16,23170,23910,23120,23910,4036200,HCM
2023-02-17,23910,23960,23470,23760,2775700,HCM
2023-02-20,23860,25380,23860,25380,12400700,HCM
2023-02-21,25430,25920,25330,25530,9404700,HCM
2023-02-22,25330,25630,23760,23760,11825400,HCM
2023-02-23,24060,24600,23120,24600,8686800,HCM
2023-02-24,24600,24690,23470,23560,4123600,HCM
2023-02-27,23070,23170,22140,22340,7901200,HCM
2023-02-28,22680,22980,22240,22290,2870000,HCM
2023-03-01,22290,23560,22090,23560,4752000,HCM
2023-03-02,23760,23760,22980,23070,2782700,HCM
2023-03-03,23270,23420,22480,22480,3805300,HCM
2023-03-06,23020,23420,22580,22780,3440000,HCM
2023-03-07,23070,23860,23020,23660,4905400,HCM
2023-03-08,23470,24400,23270,24400,6149000,HCM
2023-03-09,24400,24640,24060,24150,7403000,HCM
2023-03-10,23910,24100,23560,23860,6267200,HCM
2023-03-13,23560,24010,23220,23560,4708200,HCM
2023-03-14,23520,23520,22440,22480,7005400,HCM
2023-03-15,23320,24060,23170,24060,6390600,HCM
2023-03-16,23860,24150,23420,23520,5756700,HCM
2023-03-17,23860,23960,23170,23320,3735400,HCM
2023-03-20,23320,23420,22780,22780,4272800,HCM
2023-03-21,23020,23520,22780,23470,3060100,HCM
2023-03-22,23660,23910,23370,23420,3260100,HCM
2023-03-23,23170,24060,23170,23910,5218400,HCM
2023-03-24,24300,24450,24010,24060,5306100,HCM
2023-03-27,24150,24840,23960,24400,6212900,HCM
2023-03-28,24600,24690,24060,24060,4103300,HCM
2023-03-29,24060,24400,23910,24300,4080600,HCM
2023-03-30,24940,24940,24200,24250,5022000,HCM
2023-03-31,24350,25430,23860,25140,10430700,HCM
