time,open,high,low,close,volume,ticker
2023-01-06,24830,24830,24830,24830,100,HEM
2023-01-10,27600,27600,27600,27600,100,HEM
2023-02-06,31620,31620,23490,23490,200,HEM
2023-02-17,31620,31620,31620,31620,100,HEM
2023-02-23,26930,26930,26930,26930,100,HEM
2023-03-14,22900,22900,22900,22900,100,HEM
2023-03-15,19550,26170,19550,19550,400,HEM
2023-03-16,19550,19550,19550,19550,100,HEM
2023-03-17,22310,22310,16700,16700,2900,HEM
2023-03-20,15360,15360,15360,15360,200,HEM
2023-03-21,17530,17530,13080,16700,1700,HEM
2023-03-22,13850,13850,13850,13850,200,HEM
2023-03-23,15010,15010,13430,13430,800,HEM
2023-03-24,15010,15010,14260,14260,25500,HEM
2023-03-27,16360,16360,16360,16360,200,HEM
2023-03-28,14260,14260,14260,14260,100,HEM
2023-03-29,14180,14180,14180,14180,800,HEM
2023-03-30,14180,14180,14180,14180,100,HEM
2023-03-31,14180,14180,14180,14180,100,HEM
2023-04-03,13500,13500,13500,13500,3000,HEM
2023-04-04,13930,13930,13930,13930,1000,HEM
2023-04-05,13080,14260,13080,13760,3700,HEM
2023-04-06,14260,14260,14260,14260,3400,HEM
2023-04-07,14260,14350,14260,14350,4200,HEM
2023-04-07,14260,14260,14260,14260,3500,HEM
2023-04-10,13500,13500,13500,13500,1000,HEM
2023-04-11,13080,13080,13080,13080,100,HEM
2023-04-12,13590,14260,13590,14260,1200,HEM
2023-04-13,14350,14350,14350,14350,200,HEM
2023-04-14,12670,12670,12670,12670,1000,HEM
2023-04-17,14930,15010,14350,15010,180000,HEM
2023-04-18,14850,14850,14850,14850,2100,HEM
2023-04-19,14930,15100,14930,15100,6300,HEM
2023-04-20,14770,14770,14770,14770,3300,HEM
2023-04-21,14350,15100,14350,15100,400,HEM
2023-04-24,15180,15180,15180,15180,200,HEM
2023-04-25,14090,15010,14090,15010,1800,HEM
2023-04-26,15010,15010,15010,15010,1000,HEM
2023-04-27,13930,13930,13930,13930,100,HEM
2023-04-28,14010,14010,14010,14010,1000,HEM
2023-05-04,13500,13500,13500,13500,500,HEM
2023-05-08,14350,14350,14350,14350,100,HEM
2023-05-09,14350,14350,14350,14350,100,HEM
2023-05-12,13760,13760,13760,13760,100,HEM
2023-05-17,14090,14090,14090,14090,3000,HEM
2023-05-22,14600,14600,14600,14600,100,HEM
2023-05-23,15940,15940,15940,15940,3700,HEM
2023-05-24,15180,15940,15180,15600,1300,HEM
2023-05-25,14850,14930,14850,14930,400,HEM
2023-05-26,14680,14680,14680,14680,100,HEM
2023-05-29,13670,14930,13670,14930,300,HEM
2023-05-30,15100,16110,15100,15940,8600,HEM
2023-05-31,15940,16780,15940,16780,74300,HEM
2023-06-01,17620,18450,16780,18450,22600,HEM
2023-06-02,17950,18450,17860,17860,6800,HEM
2023-06-05,17950,17950,17860,17950,11300,HEM
2023-06-06,15360,16440,15360,16360,700,HEM
2023-06-07,18040,18040,16360,17790,3700,HEM
2023-06-08,17200,17200,17030,17030,500,HEM
2023-06-09,17110,17620,17110,17360,4800,HEM
2023-06-12,17360,17790,17360,17620,53700,HEM
2023-06-13,18370,18370,17620,18210,9900,HEM
2023-06-14,18040,18040,17620,17620,20400,HEM
2023-06-15,17770,18050,15390,18050,9800,HEM
2023-06-16,17580,17580,16630,17100,2100,HEM
2023-06-19,16910,16910,15770,16149,7500,HEM
2023-06-20,13970,18050,13970,16630,6200,HEM
2023-06-21,15010,16630,14820,16630,8400,HEM
2023-06-22,13970,16059,13970,16059,1200,HEM
2023-06-23,14060,15200,14060,15200,2400,HEM
2023-06-26,13680,15390,13680,15390,8300,HEM
2023-06-27,14730,14730,14440,14440,1600,HEM
2023-06-28,14250,15490,14250,15490,700,HEM
2023-06-29,14250,14250,14250,14250,500,HEM
2023-06-30,14250,14250,14060,14060,1500,HEM
2023-07-03,14630,14730,14540,14730,1600,HEM
2023-07-04,15390,15390,14250,14250,1500,HEM
2023-07-05,15010,15010,15010,15010,300,HEM
2023-07-07,15390,15390,15010,15010,200,HEM
2023-07-10,14350,14540,14250,14250,2200,HEM
2023-07-11,14250,15010,14250,14540,1600,HEM
2023-07-12,15200,15200,14250,14250,1200,HEM
2023-07-13,14350,15010,14250,15010,4200,HEM
2023-07-14,15390,15390,14440,14440,400,HEM
2023-07-17,14730,14730,14540,14540,1200,HEM
2023-07-18,14920,14920,14250,14250,2300,HEM
2023-07-19,14630,14630,14250,14250,600,HEM
2023-07-20,14250,14250,14250,14250,1300,HEM
2023-07-21,15110,15110,13400,14250,5000,HEM
2023-07-24,15010,15010,14060,14060,700,HEM
2023-07-25,14250,14250,14250,14250,300,HEM
2023-07-27,15010,15010,15010,15010,100,HEM
2023-08-01,13780,13780,13780,13780,300,HEM
2023-08-02,15010,15010,14250,14250,1300,HEM
2023-08-03,14350,14630,13970,14160,3600,HEM
2023-08-04,14440,14440,13870,13870,500,HEM
2023-08-07,14060,14060,14060,14060,100,HEM
2023-08-08,14060,14060,14060,14060,1200,HEM
2023-08-09,13970,13970,13970,13970,100,HEM
2023-08-10,14540,14730,14540,14730,800,HEM
2023-08-11,14630,14630,14630,14630,500,HEM
2023-08-14,14440,14540,14440,14540,2400,HEM
2023-08-18,16059,16059,14350,14540,5700,HEM
2023-08-21,15960,15960,15960,15960,100,HEM
2023-08-25,15870,17010,15580,15580,300,HEM
2023-08-28,14630,14630,14540,14540,1000,HEM
2023-08-29,13590,16059,13590,14630,900,HEM
2023-08-30,15960,15960,15300,15300,200,HEM
2023-08-31,15960,15960,14540,14540,1100,HEM
2023-09-06,13490,15110,13490,15110,700,HEM
2023-09-07,15680,15680,13400,14730,800,HEM
2023-09-08,15490,15490,13210,14730,2400,HEM
2023-09-11,15110,15110,15110,15110,100,HEM
2023-09-12,15110,16149,13680,16149,23400,HEM
2023-09-13,17960,17960,16250,16250,400,HEM
2023-09-14,17290,17290,14920,14920,400,HEM
2023-09-15,15390,15390,15390,15390,100,HEM
2023-09-18,15770,16820,15770,16820,1100,HEM
2023-09-19,17010,17010,16820,16820,600,HEM
2023-09-20,18910,18910,17100,17100,500,HEM
2023-09-21,18910,18910,16149,17010,2200,HEM
2023-09-22,17960,17960,17960,17960,100,HEM
2023-09-25,18910,18910,16910,16910,300,HEM
2023-09-26,20530,20530,17670,17670,200,HEM
2023-09-28,16300,16300,16300,16300,100,HEM
2023-10-02,15100,15100,15100,15100,100,HEM
2023-10-03,14000,17200,14000,17200,200,HEM
2023-10-04,17200,17200,17200,17200,100,HEM
2023-10-05,15400,15400,15400,15400,100,HEM
2023-10-06,13200,13200,13100,13100,5700,HEM
2023-10-09,15100,15100,15100,15100,3200,HEM
2023-10-10,16200,16500,16200,16500,8500,HEM
2023-10-11,18700,18700,15100,15100,500,HEM
2023-10-12,18800,18800,14500,17900,300,HEM
2023-10-13,16000,18200,15000,18200,800,HEM
