time,open,high,low,close,volume,ticker
2023-01-27,36490,36490,31050,31050,700,HEP
2023-02-02,27770,27770,27770,27770,100,HEP
2023-02-08,23640,23640,23640,23640,200,HEP
2023-02-09,23640,23640,23640,23640,500,HEP
2023-02-14,20170,20170,20170,20170,1100,HEP
2023-02-15,17170,17170,17170,17170,100,HEP
2023-02-16,14630,14630,14630,14630,100,HEP
2023-02-20,14630,14630,14630,14630,100,HEP
2023-02-21,12480,14630,12480,13040,2800,HEP
2023-02-22,11820,12480,11820,12480,1700,HEP
2023-02-23,12480,12480,12480,12480,900,HEP
2023-02-24,10880,11910,10880,11910,1600,HEP
2023-02-27,10600,11820,10600,11260,700,HEP
2023-03-01,10130,10130,10130,10130,100,HEP
2023-03-06,8630,11630,8630,11630,2300,HEP
2023-03-15,11070,11070,11070,11070,100,HEP
2023-03-16,12660,12660,9760,12660,1400,HEP
2023-03-17,9760,12570,9760,12570,1300,HEP
2023-03-20,12380,12380,12380,12380,100,HEP
2023-03-21,10600,10600,10600,10600,200,HEP
2023-03-22,12100,12100,12100,12100,100,HEP
2023-03-23,13130,13130,13130,13130,100,HEP
2023-03-24,13230,13230,13230,13230,400,HEP
2023-03-29,11260,11260,11260,11260,100,HEP
2023-03-30,12950,12950,12950,12950,600,HEP
2023-03-31,11070,11070,11070,11070,100,HEP
2023-04-03,12660,12660,12660,12660,300,HEP
2023-04-04,10790,11260,10790,11260,200,HEP
2023-04-05,12570,12570,12570,12570,100,HEP
2023-04-06,14540,14540,13130,13130,600,HEP
2023-04-11,13130,13130,13130,13130,300,HEP
2023-04-12,12950,12950,12950,12950,100,HEP
2023-04-13,12950,12950,12950,12950,100,HEP
2023-04-14,13790,13790,13790,13790,200,HEP
2023-04-17,13130,13130,13130,13130,400,HEP
2023-04-20,11160,11160,11160,11160,100,HEP
2023-04-21,11350,11350,11350,11350,300,HEP
2023-04-24,11260,11260,11260,11260,100,HEP
2023-04-27,12850,12850,12850,12850,200,HEP
2023-04-28,12100,12100,12100,12100,100,HEP
2023-05-04,11350,11350,11350,11350,100,HEP
2023-05-05,12010,12010,12010,12010,2000,HEP
2023-05-08,11910,11910,11910,11910,100,HEP
2023-05-09,14820,14820,14820,14820,200,HEP
2023-05-10,16790,16790,16790,16790,200,HEP
2023-05-12,14540,15480,14540,15480,2700,HEP
2023-05-15,14540,14540,14540,14540,300,HEP
2023-05-16,16700,16700,16700,16700,100,HEP
2023-05-18,15950,15950,15950,15950,100,HEP
2023-05-19,18290,18290,18290,18290,100,HEP
2023-05-22,19420,19420,19420,19420,1200,HEP
2023-05-25,19510,19510,19510,19510,300,HEP
2023-05-29,18950,18950,16600,16600,3000,HEP
2023-05-30,15380,15380,15380,15380,2000,HEP
2023-06-01,13880,14260,13880,14260,1900,HEP
2023-06-05,14540,14540,14540,14540,800,HEP
2023-06-06,12500,13000,12500,13000,200,HEP
2023-06-08,14700,14700,14700,14700,200,HEP
2023-06-15,14700,14700,14700,14700,800,HEP
2023-06-16,14500,14500,14500,14500,1100,HEP
2023-06-21,14000,14000,14000,14000,3100,HEP
2023-06-22,14000,14000,14000,14000,600,HEP
2023-06-26,12100,12100,12100,12100,500,HEP
2023-06-27,12100,13000,12000,13000,2200,HEP
2023-06-28,13900,13900,13900,13900,200,HEP
2023-06-29,13800,13800,13800,13800,400,HEP
2023-07-05,13900,13900,13900,13900,200,HEP
2023-07-06,13900,13900,13800,13800,800,HEP
2023-07-07,12100,12100,12100,12100,2000,HEP
2023-07-10,12500,12500,12500,12500,2200,HEP
2023-07-11,12900,12900,12900,12900,1700,HEP
2023-07-12,12900,12900,12900,12900,1300,HEP
2023-07-13,12600,12600,12600,12600,1000,HEP
2023-07-14,12600,12600,12600,12600,800,HEP
2023-07-17,12900,12900,12900,12900,1400,HEP
2023-07-20,12200,12200,12200,12200,200,HEP
2023-07-31,12900,14100,12900,14100,800,HEP
2023-08-07,13000,13000,13000,13000,300,HEP
2023-08-08,11500,11500,11500,11500,200,HEP
2023-08-15,13000,13000,13000,13000,300,HEP
2023-08-16,11600,13900,11600,13700,600,HEP
2023-08-23,11600,11600,11600,11600,100,HEP
2023-08-24,11700,11700,11700,11700,100,HEP
2023-08-29,10700,10700,10700,10700,100,HEP
2023-08-31,12300,12300,12300,12300,200,HEP
2023-09-05,14000,14000,13900,13900,300,HEP
2023-09-06,12100,14000,12100,14000,300,HEP
2023-09-08,11600,11900,11600,11900,200,HEP
2023-09-11,12000,12000,12000,12000,200,HEP
2023-09-15,12800,12900,12800,12800,2000,HEP
2023-09-18,12000,12000,12000,12000,1000,HEP
2023-09-19,12800,12800,12800,12800,800,HEP
2023-09-20,12800,12800,12800,12800,200,HEP
2023-09-28,12800,12800,12800,12800,100,HEP
2023-10-06,11600,11600,11600,11600,100,HEP
