time,open,high,low,close,volume,ticker
2023-01-05,34000,34000,34000,34000,100,HJS
2023-01-09,33050,33050,33050,33050,800000,HJS
2023-01-11,33050,33050,33050,33050,1440300,HJS
2023-01-18,30020,30020,30020,30020,100,HJS
2023-01-19,32200,32200,32200,32200,100,HJS
2023-01-27,29070,29070,29070,29070,100,HJS
2023-02-02,31910,31910,31910,31910,500,HJS
2023-02-03,28790,28790,28790,28790,100,HJS
2023-02-10,31630,31630,31630,31630,600,HJS
2023-02-13,31630,31630,31630,31630,1400,HJS
2023-02-14,33150,33150,33050,33050,5000,HJS
2023-02-15,33150,33150,33150,33150,2100,HJS
2023-02-16,33150,33150,33050,33050,3000,HJS
2023-02-17,33050,33050,33050,33050,1000,HJS
2023-02-20,33050,33050,33050,33050,10400,HJS
2023-02-21,33050,33050,33050,33050,11000,HJS
2023-03-24,34230,34230,34230,34230,300,HJS
2023-03-27,37560,37560,37560,37560,100,HJS
2023-03-28,33930,33930,33930,33930,100,HJS
2023-03-29,41090,41090,41090,41090,100,HJS
2023-03-30,40210,40210,40210,40210,100,HJS
2023-03-31,36480,40210,36290,36290,2300,HJS
2023-04-03,39720,39720,39720,39720,100,HJS
2023-04-04,36290,36290,36290,36290,100,HJS
2023-04-06,34330,34330,34330,34330,100,HJS
2023-04-13,34330,34330,34330,34330,100,HJS
2023-04-20,37760,37760,37760,37760,100,HJS
2023-04-21,34030,34030,34030,34030,100,HJS
2023-04-25,34030,34030,34030,34030,6000,HJS
2023-05-04,34030,34030,34030,34030,600,HJS
2023-05-15,36190,36190,36190,36190,200,HJS
2023-05-17,32860,32860,32860,32860,100,HJS
2023-05-19,35990,35990,35990,35990,200,HJS
2023-05-22,32460,32460,32460,32460,100,HJS
2023-05-23,35700,35700,35700,35700,500,HJS
2023-05-24,32270,32270,32270,32270,100,HJS
2023-05-25,29130,35410,29130,35410,1600,HJS
2023-05-26,31970,34230,31970,34230,400,HJS
2023-05-29,34230,34230,31380,34230,600,HJS
2023-05-30,34230,34230,34230,34230,100,HJS
2023-05-31,34230,34230,34230,34230,200,HJS
2023-06-01,34230,34230,34230,34230,100,HJS
2023-06-02,33350,33350,33350,33350,100,HJS
2023-06-06,30210,33350,30210,33350,400,HJS
2023-06-07,32369,32369,32369,32369,200,HJS
2023-06-08,35210,35210,35210,35210,100,HJS
2023-06-09,31870,31870,31870,31870,100,HJS
2023-06-14,32369,32369,32369,32369,100,HJS
2023-06-16,29230,32369,29230,32369,200,HJS
2023-06-20,34230,34230,34230,34230,100,HJS
2023-06-21,30990,36190,30990,36190,400,HJS
2023-06-22,32759,38250,32759,38250,400,HJS
2023-06-23,34420,38150,34420,38150,200,HJS
2023-06-26,34420,38050,34420,38050,200,HJS
2023-06-27,34330,34330,34330,34330,100,HJS
2023-06-28,37760,37760,37760,37760,100,HJS
2023-06-29,34130,39130,34130,38740,300,HJS
2023-06-30,40700,42570,39230,42570,2500,HJS
2023-07-03,38350,38350,38350,38350,100,HJS
2023-07-04,34520,34520,34520,34520,300,HJS
2023-07-05,31090,31090,31090,31090,2000,HJS
2023-07-10,28250,28250,28250,28250,100,HJS
2023-07-11,30990,30990,30990,30990,400,HJS
2023-07-12,33640,33640,30990,33640,300,HJS
2023-07-13,30600,30600,30600,30600,100,HJS
2023-07-18,32900,33600,32900,33600,2700,HJS
2023-07-19,34500,36700,34500,36700,300,HJS
2023-07-21,34600,34600,34600,34600,100,HJS
2023-07-28,34600,34600,34600,34600,3000,HJS
2023-08-01,35000,35000,35000,35000,400,HJS
2023-08-14,35000,35000,35000,35000,1000,HJS
2023-08-31,35000,35000,34500,34500,1100,HJS
2023-09-05,33000,33000,33000,33000,100,HJS
2023-09-20,36300,36300,36300,36300,100,HJS
2023-09-21,32800,32800,32800,32800,100,HJS
2023-09-22,32800,36000,32800,36000,300,HJS
2023-09-25,32600,39500,32600,39500,200,HJS
2023-09-28,43300,43300,43300,43300,2900,HJS
2023-09-29,47500,47500,47500,47500,7700,HJS
2023-10-05,47000,47000,47000,47000,200,HJS
2023-10-13,42300,42300,42300,42300,100,HJS
