time,open,high,low,close,volume,ticker
2023-01-03,15200,15200,15200,15200,100,HNB
2023-01-09,17330,17330,17330,17330,100,HNB
2023-02-14,14810,14810,14810,14810,200,HNB
2023-02-15,16850,16850,16850,16850,100,HNB
2023-02-21,14330,14330,14330,14330,1200,HNB
2023-03-08,12200,12200,12200,12200,5100,HNB
2023-03-15,12590,12590,12590,12590,400,HNB
2023-03-20,14330,14330,14330,14330,100,HNB
2023-03-21,16360,16360,16360,16360,100,HNB
2023-03-22,13940,13940,13940,13940,100,HNB
2023-03-23,16560,16560,16560,16560,100,HNB
2023-03-24,16170,16170,16170,16170,100,HNB
2023-03-27,16070,16070,16070,16070,100,HNB
2023-03-28,13750,13750,13750,13750,200,HNB
2023-03-29,16360,16360,16360,16360,100,HNB
2023-04-11,13940,13940,13940,13940,200,HNB
2023-04-12,14620,14620,14620,14620,100,HNB
2023-04-20,12490,12490,12490,12490,200,HNB
2023-04-24,12490,12490,12490,12490,700,HNB
2023-05-05,10840,10840,10840,10840,1600,HNB
2023-05-08,12390,12390,12390,12390,300,HNB
2023-05-09,13360,13360,13360,13360,300,HNB
2023-05-11,13360,13360,13360,13360,100,HNB
2023-05-18,13360,13360,13360,13360,100,HNB
2023-05-19,12100,12100,12100,12100,100,HNB
2023-05-22,14620,14620,14620,14620,100,HNB
2023-05-23,12490,12490,12490,12490,100,HNB
2023-05-24,12390,15490,12390,15490,300,HNB
2023-05-25,12300,15300,12300,15300,300,HNB
2023-05-26,12300,15010,12300,14910,1500,HNB
2023-05-29,14810,14810,14720,14720,400,HNB
2023-05-30,14520,14520,14520,14520,200,HNB
2023-05-31,15200,15200,15200,15200,100,HNB
2023-06-15,15300,15300,15300,15300,100,HNB
2023-06-16,15500,15500,15500,15500,100,HNB
2023-06-22,15800,15800,15800,15800,100,HNB
2023-06-26,16000,16000,16000,16000,300,HNB
2023-06-27,13600,17000,13600,17000,600,HNB
2023-06-28,14900,15500,14900,15500,1200,HNB
2023-06-29,13200,13300,13200,13300,200,HNB
2023-07-11,11400,11400,11400,11400,100,HNB
2023-07-12,13100,13100,13100,13100,100,HNB
2023-07-13,11600,11600,11600,11600,100,HNB
2023-07-17,11700,13000,11700,13000,2900,HNB
2023-07-28,12200,12200,12200,12200,200,HNB
2023-08-07,10800,10800,10800,10800,100,HNB
2023-08-08,12400,12400,12400,12400,100,HNB
2023-08-10,11200,11200,11200,11200,100,HNB
2023-08-11,12400,12400,12400,12400,100,HNB
2023-08-14,12400,12400,12400,12400,100,HNB
2023-08-22,11200,11200,11200,11200,100,HNB
2023-08-23,12800,12800,12800,12800,1000,HNB
2023-08-24,12800,12800,12800,12800,100,HNB
2023-08-29,11200,11200,11200,11200,100,HNB
2023-08-30,12600,12600,12600,12600,100,HNB
2023-08-31,11300,13000,11300,13000,400,HNB
2023-09-05,11400,11400,11400,11400,100,HNB
2023-09-07,12700,12700,12700,12700,100,HNB
2023-09-08,12700,12700,12700,12700,100,HNB
2023-09-12,12500,12500,12500,12500,800,HNB
