time,open,high,low,close,volume,ticker
2023-01-06,19000,19000,17200,17200,600,HNF
2023-01-09,19600,19600,19600,19600,100,HNF
2023-01-19,20100,20100,20100,20100,100,HNF
2023-01-27,20200,21000,20000,21000,5200,HNF
2023-01-30,20100,20100,19500,20100,14100,HNF
2023-01-31,19500,19700,19000,19700,6700,HNF
2023-02-01,19700,19700,19600,19600,3400,HNF
2023-02-02,19700,19700,19700,19700,4100,HNF
2023-02-06,19700,19700,19600,19600,4000,HNF
2023-02-07,19700,19700,19700,19700,400,HNF
2023-02-09,19600,19600,19600,19600,1400,HNF
2023-02-13,17600,17600,17600,17600,100,HNF
2023-02-21,19000,19100,19000,19000,4700,HNF
2023-02-22,19000,19000,19000,19000,1900,HNF
2023-02-24,18500,18500,18500,18500,100,HNF
2023-03-02,18500,18500,18500,18500,400,HNF
2023-03-03,18500,18500,18500,18500,800,HNF
2023-03-10,18500,18500,18500,18500,400,HNF
2023-03-13,18500,18500,18500,18500,1900,HNF
2023-03-14,18400,18400,18400,18400,1000,HNF
2023-03-16,17000,17000,17000,17000,100,HNF
2023-03-24,17500,17500,17500,17500,300,HNF
2023-03-29,15900,15900,15900,15900,100,HNF
2023-04-03,18200,18200,18200,18200,1000,HNF
2023-04-04,20900,20900,19200,19200,1700,HNF
2023-04-06,19000,19000,19000,19000,500,HNF
2023-04-07,18500,18500,18500,18500,1000,HNF
2023-04-10,18500,18500,18500,18500,4000,HNF
2023-04-11,18500,18500,18500,18500,300,HNF
2023-04-12,19000,19000,19000,19000,6000,HNF
2023-04-14,19000,19000,19000,19000,900,HNF
2023-04-19,17000,19000,17000,19000,700,HNF
2023-04-20,17100,18000,17100,18000,1400,HNF
2023-04-24,19800,19800,19800,19800,500,HNF
2023-05-05,17400,17400,17400,17400,100,HNF
2023-05-10,16400,16400,16400,16400,100,HNF
2023-05-11,16500,16500,16500,16500,100,HNF
2023-05-15,18800,18800,18800,18800,100,HNF
2023-05-17,19000,19000,19000,19000,12000,HNF
2023-05-19,18200,18200,18200,18200,100,HNF
2023-05-22,18900,18900,18900,18900,100,HNF
2023-05-23,18300,18300,18300,18300,500,HNF
2023-05-24,19900,19900,18400,19600,8200,HNF
2023-05-25,22700,22700,20000,22300,1200,HNF
2023-05-26,22600,22600,20100,21900,2100,HNF
2023-05-29,22600,22600,21200,22400,3900,HNF
2023-05-30,23600,23600,19800,23600,600,HNF
2023-05-31,18500,22900,18500,22000,6300,HNF
2023-06-01,21600,22000,21600,22000,3800,HNF
2023-06-02,21900,22000,21900,22000,3800,HNF
2023-06-05,24800,24800,20100,22600,1000,HNF
2023-06-06,22900,22900,22900,22900,100,HNF
2023-06-07,21000,21900,21000,21900,900,HNF
2023-06-08,21900,21900,21100,21200,2500,HNF
2023-06-09,21900,21900,21900,21900,100,HNF
2023-06-13,25000,25000,25000,25000,100,HNF
2023-06-16,21300,23300,21300,22000,1500,HNF
2023-06-20,24800,24800,20100,21900,300,HNF
2023-06-22,24700,24700,21800,21900,600,HNF
2023-06-23,21900,21900,21900,21900,200,HNF
2023-06-27,19100,21900,19100,21600,2700,HNF
2023-06-28,23000,23000,20200,22000,6600,HNF
2023-06-29,25200,25200,22000,22500,3000,HNF
