time,open,high,low,close,volume,ticker
2023-01-03,16170,18120,16170,18120,2200,HPD
2023-01-04,18950,18950,18950,18950,5000,HPD
2023-01-05,16640,16640,16640,16640,100,HPD
2023-01-06,16730,18950,16730,18950,2700,HPD
2023-01-09,16820,16820,16820,16820,100,HPD
2023-01-10,18950,18950,18950,18950,1100,HPD
2023-01-11,17100,17100,17100,17100,100,HPD
2023-01-13,18950,18950,18850,18850,5300,HPD
2023-01-16,17280,17280,17280,17280,100,HPD
2023-01-30,17380,18950,17380,18760,600,HPD
2023-01-31,17560,17560,17560,17560,100,HPD
2023-02-01,17560,17560,17560,17560,100,HPD
2023-02-02,19690,19870,19690,19870,700,HPD
2023-02-03,17650,17650,17650,17650,100,HPD
2023-02-09,17560,19220,17560,19220,10100,HPD
2023-02-10,17650,17650,17650,17650,100,HPD
2023-02-14,16730,16730,16730,16730,100,HPD
2023-02-15,18020,18120,18020,18120,2200,HPD
2023-02-16,17100,18210,17100,18120,4100,HPD
2023-02-27,18670,18670,18670,18670,200,HPD
2023-03-03,18020,18020,18020,18020,2500,HPD
2023-03-06,18020,18020,18020,18020,200,HPD
2023-03-16,16170,16170,16170,16170,100,HPD
2023-03-17,17100,17560,17100,17560,1000,HPD
2023-03-22,19410,19960,19410,19960,300,HPD
2023-03-27,20800,20800,20800,20800,200,HPD
2023-03-28,21260,21260,21260,21260,100,HPD
2023-03-29,18120,18120,18120,18120,100,HPD
2023-03-30,18120,18120,18120,18120,200,HPD
2023-04-03,16910,16910,16910,16910,100,HPD
2023-04-04,17750,17750,17750,17750,20000,HPD
2023-04-05,17840,17840,17840,17840,500,HPD
2023-04-06,20150,20150,20150,20150,100,HPD
2023-04-10,17560,17560,17560,17560,100,HPD
2023-04-12,17650,17650,17560,17560,4200,HPD
2023-04-13,17650,17650,17650,17650,700,HPD
2023-04-14,17750,17750,17750,17750,500,HPD
2023-04-17,19870,19870,19870,19870,200,HPD
2023-04-18,17560,17560,17560,17560,100,HPD
2023-04-19,19690,19780,19690,19780,700,HPD
2023-04-20,17650,18020,17560,17750,5400,HPD
2023-04-24,19220,19220,19220,19220,100,HPD
2023-04-25,17190,17560,17190,17560,400,HPD
2023-04-27,17560,17560,17560,17560,500,HPD
2023-04-28,17560,17650,17560,17650,5400,HPD
2023-05-04,19130,19130,19130,19130,800,HPD
2023-05-05,17650,17650,17650,17650,100,HPD
2023-05-08,18020,18020,17840,17840,3100,HPD
2023-05-09,17930,17930,17930,17930,20000,HPD
2023-05-10,17650,18950,17650,18850,5500,HPD
2023-05-11,17840,17840,17840,17840,200,HPD
2023-05-12,18480,18480,18300,18300,700,HPD
2023-05-15,17750,17750,17750,17750,100,HPD
2023-05-16,17650,17650,17650,17650,3500,HPD
2023-05-17,17930,17930,17930,17930,500,HPD
2023-05-19,18850,18850,18850,18850,200,HPD
2023-05-22,17650,17650,17650,17650,100,HPD
2023-05-23,18480,18480,17930,17930,600,HPD
2023-05-24,18020,18020,18020,18020,2000,HPD
2023-05-25,19410,19410,19410,19410,300,HPD
2023-05-26,18020,18480,18020,18480,1100,HPD
2023-05-29,18480,18480,18480,18480,1000,HPD
2023-05-30,20150,20150,20150,20150,1300,HPD
2023-05-31,18020,20150,18020,20150,400,HPD
2023-06-01,18300,18300,18300,18300,100,HPD
2023-06-02,20000,20000,19800,19800,500,HPD
2023-06-05,19900,20800,19800,19800,500,HPD
2023-06-06,20000,20000,20000,20000,100,HPD
2023-06-07,20000,20500,20000,20000,5700,HPD
2023-06-13,20000,20000,20000,20000,1000,HPD
2023-06-14,19600,19600,19600,19600,1100,HPD
2023-06-15,18100,19200,18100,19000,11800,HPD
2023-06-16,20000,20000,19000,19000,1100,HPD
2023-06-19,19500,19500,19200,19200,21000,HPD
2023-06-20,19200,19200,19200,19200,25400,HPD
2023-06-21,19100,19100,19100,19100,4500,HPD
2023-06-22,19100,19400,19100,19400,4100,HPD
2023-06-23,20000,21000,20000,20100,17900,HPD
2023-06-27,21000,21000,21000,21000,500,HPD
