time,open,high,low,close,volume,ticker
2023-01-03,18300,19250,18200,19250,27990600,HPG
2023-01-04,19450,19800,19300,19400,20230000,HPG
2023-01-05,19400,20000,19150,19800,21502200,HPG
2023-01-06,19700,20100,19200,19400,19630100,HPG
2023-01-09,19800,20100,19500,19600,16185000,HPG
2023-01-10,19600,20100,19200,19800,26852100,HPG
2023-01-11,20000,20550,19900,20200,25709300,HPG
2023-01-12,20100,20250,19900,20050,20172900,HPG
2023-01-13,20250,20350,19900,19950,19174700,HPG
2023-01-16,20000,20650,19950,20250,22319700,HPG
2023-01-17,20450,21650,20450,21650,41584700,HPG
2023-01-18,22000,22050,21550,21700,25850200,HPG
2023-01-19,21600,21850,20850,21150,43940400,HPG
2023-01-27,21000,21550,20850,21500,26524400,HPG
2023-01-30,21700,22200,21350,21750,42341300,HPG
2023-01-31,21900,22100,21700,22100,28105900,HPG
2023-02-01,22200,22650,21000,21100,51905400,HPG
2023-02-02,21200,21700,21100,21300,25388600,HPG
2023-02-03,21450,21550,21000,21100,20956300,HPG
2023-02-06,21100,21150,20550,21150,22269800,HPG
2023-02-07,21150,21200,19700,19750,43379400,HPG
2023-02-08,19750,21100,19750,20850,33812500,HPG
2023-02-09,21000,21250,20600,20600,16343900,HPG
2023-02-10,20700,20800,20150,20500,15828700,HPG
2023-02-13,20400,20400,19750,20200,18741800,HPG
2023-02-14,20300,20900,20250,20600,17294600,HPG
2023-02-15,20600,21050,20250,20800,20076200,HPG
2023-02-16,20950,21400,20600,21300,23914900,HPG
2023-02-17,21300,21350,21000,21000,12287900,HPG
2023-02-20,21000,21900,21000,21900,24741700,HPG
2023-02-21,22050,22300,21600,21600,20643100,HPG
2023-02-22,21400,22100,21200,21200,32634400,HPG
2023-02-23,21150,21500,20400,21500,33590000,HPG
2023-02-24,21500,21500,20650,20800,14597600,HPG
2023-02-27,20400,20550,19950,20100,31316100,HPG
2023-02-28,20450,20500,19900,20000,15217600,HPG
2023-03-01,20000,20900,19800,20900,18619900,HPG
2023-03-02,21000,21100,20600,20600,8867400,HPG
2023-03-03,20800,21100,20350,20350,13608400,HPG
2023-03-06,20650,20850,20400,20400,11366800,HPG
2023-03-07,20600,21350,20550,21100,29323900,HPG
2023-03-08,20900,21200,20800,21200,16159600,HPG
2023-03-09,21200,21550,21200,21200,23274800,HPG
2023-03-10,21150,21450,21000,21300,22458300,HPG
2023-03-13,21050,21400,20900,21100,20930300,HPG
2023-03-14,21050,21100,20200,20300,30865700,HPG
2023-03-15,20800,21300,20600,21300,26779400,HPG
2023-03-16,21000,21100,20500,20850,30247400,HPG
2023-03-17,21050,21050,20400,20400,33958600,HPG
2023-03-20,20400,20600,20000,20000,22988900,HPG
2023-03-21,20200,20550,19850,20450,19060600,HPG
2023-03-22,20550,20600,20150,20400,11963600,HPG
2023-03-23,20200,20400,20050,20350,9895200,HPG
2023-03-24,20450,20500,20300,20400,12147800,HPG
2023-03-27,20400,20900,20350,20800,19611100,HPG
2023-03-28,20900,21000,20700,20700,11175800,HPG
2023-03-29,20700,21100,20700,20750,16925100,HPG
2023-03-30,21000,21150,20750,20800,20118100,HPG
2023-03-31,20800,20900,20350,20800,22399300,HPG
2023-04-03,21050,21100,20850,20950,20755000,HPG
2023-04-04,21150,21200,20950,21000,19205400,HPG
2023-04-05,21100,21500,20950,21500,25522700,HPG
2023-04-06,21550,21900,21400,21550,25803200,HPG
2023-04-07,21500,21600,21100,21200,18438600,HPG
2023-04-10,21250,21350,20600,20700,25901800,HPG
2023-04-11,20700,20850,20600,20800,13700300,HPG
2023-04-12,20900,20900,20650,20700,10267000,HPG
2023-04-13,20800,20800,20350,20450,14227900,HPG
2023-04-14,20550,20850,20500,20650,12664700,HPG
2023-04-17,20600,20900,20600,20850,8797600,HPG
2023-04-18,20900,21000,20800,20950,11053400,HPG
2023-04-19,21050,21050,20800,20850,10025600,HPG
2023-04-20,20800,20900,20750,20900,6219900,HPG
2023-04-21,20800,20850,20700,20750,10486000,HPG
2023-04-24,20700,20800,20550,20650,10035700,HPG
2023-04-25,20800,21250,20700,21100,17900400,HPG
2023-04-26,21050,21900,20900,21850,23706800,HPG
2023-04-27,22000,22000,21600,21700,17137300,HPG
2023-04-28,21700,21800,21400,21550,13649700,HPG
2023-05-04,21450,21600,21200,21450,15659300,HPG
2023-05-05,21300,21700,21200,21500,10104100,HPG
2023-05-08,21550,21750,21450,21600,9981000,HPG
2023-05-09,21600,22150,21600,21850,21730600,HPG
2023-05-10,21800,21900,21650,21750,8078300,HPG
2023-05-11,21800,21950,21600,21800,13229200,HPG
2023-05-12,21750,22500,21600,22300,44317800,HPG
2023-05-15,22450,22600,22150,22150,17087600,HPG
2023-05-16,22100,22300,21900,22050,17266000,HPG
2023-05-17,22000,22100,21750,21900,25245200,HPG
2023-05-18,21900,22200,21800,22000,17894000,HPG
2023-05-19,22000,22100,21650,21800,11079200,HPG
2023-05-22,21800,22100,21750,21950,14330900,HPG
2023-05-23,21950,22050,21600,21700,12972700,HPG
2023-05-24,21900,21900,21300,21300,20272100,HPG
2023-05-25,21300,21450,21200,21200,13258500,HPG
2023-05-26,21300,21400,20850,21100,16088200,HPG
2023-05-29,21300,21450,21200,21450,11091800,HPG
2023-05-30,21500,21600,21250,21350,13457900,HPG
2023-05-31,21400,21450,21150,21200,13085700,HPG
2023-06-01,21150,21400,21050,21400,10836200,HPG
2023-06-02,21500,21800,21450,21600,18866500,HPG
2023-06-05,21800,22050,21600,21650,20044300,HPG
2023-06-06,21700,21850,21550,21750,11799900,HPG
2023-06-07,22000,22800,22000,22600,55512600,HPG
2023-06-08,22700,23150,22700,22800,42521400,HPG
2023-06-09,22800,22900,22500,22900,23873600,HPG
2023-06-12,23100,23150,22500,22950,22219200,HPG
2023-06-13,23000,23450,22900,23400,36944400,HPG
2023-06-14,23450,23450,23100,23100,23475800,HPG
2023-06-15,23000,23250,23000,23150,17473300,HPG
2023-06-16,23250,23800,23150,23450,33010000,HPG
2023-06-19,23450,23500,23300,23350,13180900,HPG
2023-06-20,23350,23650,23300,23650,14608300,HPG
2023-06-21,23700,24650,23500,24600,35605900,HPG
2023-06-22,24700,24950,24350,24850,23036300,HPG
2023-06-23,24850,25550,24750,25400,29157300,HPG
2023-06-26,25400,25500,24700,25200,20399200,HPG
2023-06-27,25350,25800,25100,25800,19943100,HPG
2023-06-28,26000,26700,25900,26600,30313300,HPG
2023-06-29,26650,26700,25800,25800,36803700,HPG
2023-06-30,25700,26200,25650,26150,23068600,HPG
2023-07-03,26200,26450,25900,26200,17057100,HPG
2023-07-04,26150,26250,25900,26250,19728200,HPG
2023-07-05,26400,27200,26250,26950,31804000,HPG
2023-07-06,26900,27150,26500,27000,27611200,HPG
2023-07-07,26900,27450,26500,27450,22614600,HPG
2023-07-10,27450,27950,27350,27700,24267700,HPG
2023-07-11,27800,28050,27250,27300,24014300,HPG
2023-07-12,27300,27450,26650,27000,27758200,HPG
2023-07-13,27500,27500,26900,27050,14006900,HPG
2023-07-14,27150,27500,27050,27500,17078400,HPG
2023-07-17,27700,27750,27200,27300,12534900,HPG
2023-07-18,27300,27350,27050,27200,12402500,HPG
2023-07-19,27100,27700,27050,27400,15378300,HPG
2023-07-20,27300,28200,27300,28200,30865300,HPG
2023-07-21,28350,28400,28100,28400,18455900,HPG
2023-07-24,28450,28600,28000,28250,17164400,HPG
2023-07-25,28250,28350,28000,28250,20225200,HPG
2023-07-26,28250,28450,28150,28400,22868600,HPG
2023-07-27,28400,28700,28100,28400,21315900,HPG
2023-07-28,28400,28600,28150,28300,22702200,HPG
2023-07-31,28200,28250,27350,28200,45529400,HPG
2023-08-01,28100,28100,27500,27500,28011400,HPG
2023-08-02,27400,27850,27250,27500,18524000,HPG
2023-08-03,27350,27500,26500,26850,58029600,HPG
2023-08-04,26800,27500,26800,27350,22170700,HPG
2023-08-07,27550,27750,27300,27550,23091900,HPG
2023-08-08,27600,27900,27150,27200,25568400,HPG
2023-08-09,27200,27850,27050,27800,42662800,HPG
2023-08-10,27900,27900,27300,27350,17064700,HPG
2023-08-11,27400,27750,27150,27700,23382000,HPG
2023-08-14,27800,28350,27650,28150,44946400,HPG
2023-08-15,28150,28250,27850,27950,17938500,HPG
2023-08-16,27950,28000,27650,27950,14994500,HPG
2023-08-17,28000,28700,28000,28100,46604700,HPG
2023-08-18,27900,28000,26200,26500,46358400,HPG
2023-08-21,26450,26550,25900,26200,31441300,HPG
2023-08-22,26200,26350,25100,26150,35171700,HPG
2023-08-23,26350,26450,25650,25650,21774300,HPG
2023-08-24,25650,26300,25600,26300,16596900,HPG
2023-08-25,26200,26400,25950,25950,21847700,HPG
2023-08-28,26000,26850,26000,26850,22819800,HPG
2023-08-29,26900,27150,26700,27000,17969600,HPG
2023-08-30,27000,27250,26750,27200,20143600,HPG
2023-08-31,27400,27900,27300,27600,25934100,HPG
2023-09-05,27800,27950,27250,27800,24501600,HPG
2023-09-06,27750,29000,27400,29000,52574600,HPG
2023-09-07,29000,29300,28500,28650,33671800,HPG
2023-09-08,28500,29150,28400,28750,33793700,HPG
2023-09-11,29000,29050,27750,28000,47697500,HPG
2023-09-12,28000,28750,27700,28750,22615400,HPG
2023-09-13,28800,29400,28250,28400,49193400,HPG
2023-09-14,28400,28550,27750,27800,34684000,HPG
