time,open,high,low,close,volume,ticker
2023-01-03,4570,4910,4550,4910,9101800,HPX
2023-01-04,4950,4980,4750,4750,7719200,HPX
2023-01-05,4750,4780,4560,4600,12494600,HPX
2023-01-06,4600,4780,4580,4700,6508000,HPX
2023-01-09,4840,5020,4820,5020,7888700,HPX
2023-01-10,5370,5370,5370,5370,1844700,HPX
2023-01-11,5740,5740,5300,5300,25274700,HPX
2023-01-12,5260,5270,5000,5050,10911800,HPX
2023-01-13,5170,5250,4980,4980,7442700,HPX
2023-01-16,4900,4940,4770,4800,7362000,HPX
2023-01-17,4850,5010,4840,4950,3630000,HPX
2023-01-18,5000,5140,4970,5050,5627600,HPX
2023-01-19,5050,5100,4980,5050,5174700,HPX
2023-01-27,5180,5220,5040,5040,4907500,HPX
2023-01-30,5060,5290,5020,5140,9543300,HPX
2023-01-31,5200,5280,5140,5270,6505100,HPX
2023-02-01,5310,5630,5300,5300,27837300,HPX
2023-02-02,5400,5490,5140,5240,8437900,HPX
2023-02-03,5250,5340,5100,5240,8490700,HPX
2023-02-06,5240,5370,5100,5270,5323900,HPX
2023-02-07,5270,5330,4980,4990,9771400,HPX
2023-02-08,5040,5080,4800,4860,8432800,HPX
2023-02-09,4890,5000,4830,4860,5356800,HPX
2023-02-10,4860,4900,4730,4730,5607000,HPX
2023-02-13,4640,4650,4400,4400,10947000,HPX
2023-02-14,4240,4390,4100,4100,12957400,HPX
2023-02-15,4019,4290,3970,4220,5942700,HPX
2023-02-16,4290,4340,4260,4320,4369800,HPX
2023-02-17,4350,4560,4310,4330,4433200,HPX
2023-02-20,4400,4630,4400,4630,8168200,HPX
2023-02-21,4750,4890,4680,4700,8636800,HPX
2023-02-22,4550,4640,4400,4400,7248700,HPX
2023-02-23,4400,4430,4180,4420,4789000,HPX
2023-02-24,4490,4490,4310,4370,2414400,HPX
2023-02-27,4230,4290,4180,4190,3162900,HPX
2023-02-28,4280,4310,4190,4190,1973100,HPX
2023-03-01,4150,4230,4059,4170,3067200,HPX
2023-03-02,4200,4280,4170,4220,1375300,HPX
2023-03-03,4270,4270,4130,4130,1662400,HPX
2023-03-06,4300,4410,4300,4410,5472100,HPX
2023-03-07,4400,4450,4250,4250,2204400,HPX
2023-03-08,4160,4290,4150,4220,3244800,HPX
2023-03-09,4250,4300,4230,4280,2668600,HPX
2023-03-10,4220,4260,4190,4190,2281200,HPX
2023-03-13,4120,4240,4120,4160,2609700,HPX
2023-03-14,4170,4220,4059,4100,3814700,HPX
2023-03-15,4240,4280,4160,4220,3327900,HPX
2023-03-16,4180,4200,4110,4140,2826700,HPX
2023-03-17,4170,4200,4120,4160,2235200,HPX
2023-03-20,4150,4150,4059,4070,2875700,HPX
2023-03-21,4090,4110,4010,4059,2574600,HPX
2023-03-22,4110,4110,4059,4059,1709600,HPX
2023-03-23,4030,4070,3800,4019,3025000,HPX
2023-03-24,4019,4150,3990,4080,4428500,HPX
2023-03-27,4140,4160,4090,4130,3299100,HPX
2023-03-28,4150,4270,4150,4170,5332500,HPX
2023-03-29,4190,4190,4070,4100,2437900,HPX
2023-03-30,4160,4160,4080,4100,2436800,HPX
2023-03-31,4100,4140,4059,4090,2780400,HPX
2023-04-03,4130,4250,4120,4220,5938500,HPX
2023-04-04,4280,4290,4200,4230,4958700,HPX
2023-04-05,4230,4520,4220,4520,14445600,HPX
2023-04-06,4700,4780,4520,4600,10440900,HPX
2023-04-07,4550,4600,4380,4520,7477000,HPX
2023-04-10,4530,4660,4440,4470,6636900,HPX
2023-04-11,4430,4580,4250,4550,6252100,HPX
2023-04-12,4550,4640,4410,4530,7324300,HPX
2023-04-13,4550,4590,4400,4400,4709000,HPX
2023-04-14,4440,4450,4260,4280,4847100,HPX
2023-04-17,4150,4230,4120,4180,4194200,HPX
2023-04-18,4150,4180,4090,4150,5245900,HPX
2023-04-19,4140,4210,4100,4120,3526600,HPX
2023-04-20,4090,4120,4059,4100,3503000,HPX
2023-04-21,4120,4120,4050,4070,2669100,HPX
2023-04-24,4050,4090,4010,4070,2616900,HPX
2023-04-25,4100,4180,4059,4080,2368200,HPX
2023-04-26,4050,4090,4040,4080,1430700,HPX
2023-04-27,4110,4160,4090,4110,2948900,HPX
2023-04-28,4160,4190,4100,4190,3923100,HPX
2023-05-04,4160,4160,4080,4090,2317900,HPX
2023-05-05,4100,4110,4050,4059,2451400,HPX
2023-05-08,4059,4080,4000,4010,7247200,HPX
2023-05-09,4000,4080,3980,4019,3651200,HPX
2023-05-10,4030,4150,4019,4110,6639700,HPX
2023-05-11,4160,4200,4120,4140,5063100,HPX
2023-05-12,4100,4390,4080,4330,9882400,HPX
2023-05-15,4370,4430,4200,4210,6981600,HPX
2023-05-16,4190,4220,4130,4130,5402600,HPX
2023-05-17,4100,4330,4100,4170,12876800,HPX
2023-05-18,4150,4160,4080,4080,7442700,HPX
2023-05-19,4080,4140,4019,4050,6724100,HPX
2023-05-22,4030,4090,4030,4070,4482900,HPX
