time,open,high,low,close,volume,ticker
2023-01-03,5000,5000,5000,5000,100,HRT
2023-01-04,4900,4900,4800,4800,300,HRT
2023-01-06,4700,4700,4700,4700,1000,HRT
2023-01-09,4700,4800,4500,4700,13300,HRT
2023-01-10,4400,4700,4400,4700,1900,HRT
2023-01-11,4500,4700,4500,4600,3200,HRT
2023-01-12,4600,4700,4600,4700,1100,HRT
2023-01-13,4500,4600,4500,4600,600,HRT
2023-01-16,4600,4600,4600,4600,100,HRT
2023-01-17,4400,4900,4400,4600,6200,HRT
2023-01-18,4500,4900,4500,4800,2200,HRT
2023-01-19,4600,4900,4600,4900,1900,HRT
2023-01-27,5000,5100,5000,5000,1300,HRT
2023-01-30,5000,5000,5000,5000,1200,HRT
2023-01-31,5000,5000,4300,4800,8100,HRT
2023-02-01,5000,5100,5000,5100,1300,HRT
2023-02-02,5000,5000,5000,5000,3000,HRT
2023-02-03,4600,4800,4600,4700,10000,HRT
2023-02-06,4600,4900,4500,4900,1300,HRT
2023-02-07,4500,4800,4500,4700,5400,HRT
2023-02-08,4600,4800,4600,4700,1300,HRT
2023-02-09,4700,4700,4600,4700,3900,HRT
2023-02-10,4600,4600,4600,4600,700,HRT
2023-02-13,4700,4700,4400,4600,4800,HRT
2023-02-14,4500,4500,4500,4500,500,HRT
2023-02-15,4600,4600,4500,4500,3900,HRT
2023-02-16,4600,4600,4600,4600,3100,HRT
2023-02-17,4600,4600,4600,4600,2000,HRT
2023-02-20,4600,4600,4600,4600,300,HRT
2023-02-21,4700,4700,4700,4700,600,HRT
2023-02-22,4800,4800,4700,4700,2900,HRT
2023-02-23,4700,4700,4500,4500,1200,HRT
2023-02-24,4500,4500,4500,4500,700,HRT
2023-02-27,4500,4500,4500,4500,200,HRT
2023-03-01,4600,4600,4600,4600,2500,HRT
2023-03-02,4500,4600,4500,4600,500,HRT
2023-03-03,4600,4600,4600,4600,600,HRT
2023-03-06,4600,4600,4600,4600,600,HRT
2023-03-07,4500,4500,4500,4500,2000,HRT
2023-03-08,4400,4400,4400,4400,5700,HRT
2023-03-09,4500,4500,4500,4500,3000,HRT
2023-03-10,4500,4500,4500,4500,500,HRT
2023-03-13,4500,4500,4400,4500,2500,HRT
2023-03-14,5100,5100,4800,5000,19800,HRT
2023-03-15,4900,4900,4500,4500,600,HRT
2023-03-16,4600,4800,4600,4800,49300,HRT
2023-03-17,5100,5100,4600,4800,300,HRT
2023-03-20,4700,4700,4600,4600,1100,HRT
2023-03-21,4700,4700,4700,4700,1200,HRT
2023-03-22,4600,4600,4600,4600,1000,HRT
2023-03-23,5000,5000,5000,5000,100,HRT
2023-03-24,5000,5000,5000,5000,100,HRT
2023-03-27,5300,5300,4600,4600,200,HRT
2023-03-30,4600,4800,4400,4400,500,HRT
2023-03-31,5000,5000,4400,4400,1200,HRT
2023-04-03,5000,5000,5000,5000,100,HRT
2023-04-04,4700,4700,4700,4700,200,HRT
2023-04-05,4700,4700,4700,4700,200,HRT
2023-04-06,4700,4700,4700,4700,100,HRT
2023-04-07,4600,4600,4500,4500,3900,HRT
2023-04-07,4600,4600,4600,4600,1000,HRT
2023-04-10,4600,4600,4600,4600,3600,HRT
2023-04-11,4600,4600,4600,4600,500,HRT
2023-04-12,4500,4500,4500,4500,11400,HRT
2023-04-13,4400,4500,4400,4500,3000,HRT
2023-04-14,4400,4500,4400,4500,7400,HRT
2023-04-17,4600,4600,4600,4600,100,HRT
2023-04-18,4600,4600,4500,4500,1100,HRT
2023-04-19,4500,4500,4400,4500,3400,HRT
2023-04-20,4500,4500,4500,4500,400,HRT
2023-04-21,4500,4500,4500,4500,100,HRT
2023-04-24,4500,4500,4500,4500,900,HRT
2023-04-25,4500,4500,4500,4500,1000,HRT
2023-04-26,4500,4500,4500,4500,1700,HRT
2023-04-27,5000,5100,4900,4900,10500,HRT
2023-04-28,5200,5200,4700,4900,10000,HRT
2023-05-04,5000,5000,5000,5000,1000,HRT
2023-05-05,4700,4700,4600,4600,4000,HRT
2023-05-08,4500,4600,4500,4600,1700,HRT
2023-05-09,4600,4700,4600,4600,3200,HRT
2023-05-10,4500,4600,4500,4600,600,HRT
