time,open,high,low,close,volume,ticker
2023-01-04,15220,15220,15220,15220,200,HTC
2023-01-05,16740,16740,14080,14080,300,HTC
2023-01-18,15410,15410,15410,15410,100,HTC
2023-01-19,16940,16940,14080,14170,400,HTC
2023-02-08,15510,15510,15510,15510,100,HTC
2023-02-17,14080,16360,14080,16079,300,HTC
2023-02-20,16740,17120,15320,15320,300,HTC
2023-02-24,15410,15410,15410,15410,100,HTC
2023-03-03,16840,16940,16840,16940,400,HTC
2023-03-07,16940,16940,16940,16940,700,HTC
2023-03-20,18550,18550,15410,15410,1000,HTC
2023-03-21,15980,15980,15980,15980,300,HTC
2023-03-29,17500,17500,17500,17500,200,HTC
2023-04-03,19030,19030,19030,19030,100,HTC
2023-04-04,17310,17310,17310,17310,100,HTC
2023-04-07,18360,18360,15790,15790,300,HTC
2023-04-07,18360,18360,18360,18360,100,HTC
2023-04-11,15100,15100,15100,15100,300,HTC
2023-04-14,16580,16580,15000,16580,1200,HTC
2023-04-17,18160,18160,18160,18160,100,HTC
2023-04-20,16780,16780,16780,16780,500,HTC
2023-04-21,18460,18460,18460,18460,700,HTC
2023-04-24,20230,20230,17370,20230,1400,HTC
2023-04-25,20730,20730,20730,20730,300,HTC
2023-04-26,20230,20230,20230,20230,500,HTC
2023-04-27,21710,21710,21710,21710,100,HTC
2023-05-04,24380,24380,24380,24380,1100,HTC
2023-05-12,20430,20430,18460,18460,4700,HTC
2023-05-16,20230,20230,20230,20230,100,HTC
2023-05-25,22210,22210,18550,22210,800,HTC
2023-05-29,23690,23690,20430,20430,18800,HTC
2023-06-01,22400,22400,18950,18950,900,HTC
2023-06-02,17670,17670,17670,17670,100,HTC
2023-06-06,19340,19340,19340,19340,100,HTC
2023-06-07,21220,21220,21220,21220,200,HTC
2023-06-12,23290,23290,23290,23290,100,HTC
2023-06-13,21020,21220,21020,21220,300,HTC
2023-06-14,19840,19840,19840,19840,100,HTC
2023-06-15,18850,18850,18850,18850,100,HTC
2023-06-16,19840,19840,19840,19840,100,HTC
2023-06-22,21810,21810,21810,21810,100,HTC
2023-06-26,20040,20040,20040,20040,100,HTC
2023-06-27,22010,22010,22010,22010,200,HTC
2023-07-04,22010,22010,22010,22010,100,HTC
2023-07-26,20430,20430,20430,20430,100,HTC
2023-08-22,22210,22400,19940,19940,500,HTC
2023-08-23,21910,21910,19940,19940,600,HTC
2023-08-31,21910,21910,21910,21910,300,HTC
2023-09-13,20230,20230,20230,20230,100,HTC
2023-09-19,22210,22210,22210,22210,100,HTC
2023-09-27,22700,22700,22700,22700,500,HTC
