time,open,high,low,close,volume,ticker
2023-01-03,36790,36790,36790,36790,200,HUG
2023-01-12,36790,36790,36790,36790,100,HUG
2023-01-31,36790,36790,36790,36790,100,HUG
2023-02-07,31350,31350,31350,31350,200,HUG
2023-02-08,31350,31350,31350,31350,500,HUG
2023-02-09,32270,32270,32270,32270,200,HUG
2023-02-15,31440,31440,31440,31440,100,HUG
2023-02-16,31350,31350,31350,31350,100,HUG
2023-02-21,35960,35960,35960,35960,100,HUG
2023-02-22,36790,36790,35960,35960,200,HUG
2023-02-28,31350,31350,31350,31350,100,HUG
2023-03-01,31440,31440,31350,31350,1000,HUG
2023-03-03,34670,34670,34120,34120,200,HUG
2023-03-06,34120,34120,34120,34120,100,HUG
2023-03-07,34120,34120,34120,34120,100,HUG
2023-03-08,39190,39190,39190,39190,400,HUG
2023-03-13,33380,33380,33380,33380,100,HUG
2023-03-14,34490,34580,34490,34580,200,HUG
2023-03-16,34490,34580,34490,34580,200,HUG
2023-03-17,34580,34580,34580,34580,100,HUG
2023-03-22,36880,36880,36880,36880,100,HUG
2023-03-27,36790,36790,36790,36790,100,HUG
2023-04-05,32360,32360,32360,32360,100,HUG
2023-04-06,37160,37160,37160,37160,100,HUG
2023-04-11,39560,39560,39560,39560,100,HUG
2023-04-18,35040,35040,35040,35040,100,HUG
2023-04-19,33290,33470,33290,33380,500,HUG
2023-04-21,38270,38270,38270,38270,100,HUG
2023-04-25,39650,39650,39650,39650,100,HUG
2023-04-26,39560,39560,39560,39560,300,HUG
2023-04-28,33750,33750,33750,33750,100,HUG
2023-05-08,36330,36330,36330,36330,100,HUG
2023-05-10,39650,39650,34580,34580,300,HUG
2023-05-11,31810,31810,31810,31810,100,HUG
2023-05-16,36510,36510,35040,35500,500,HUG
2023-05-18,36000,36000,36000,36000,100,HUG
2023-05-19,36500,36500,36500,36500,100,HUG
2023-05-22,36500,36500,36500,36500,100,HUG
2023-05-23,36500,36500,36000,36000,500,HUG
2023-05-24,36000,36000,36000,36000,100,HUG
2023-05-30,35000,35000,35000,35000,100,HUG
2023-05-31,33800,37000,33800,37000,200,HUG
2023-06-01,35000,38800,35000,35500,800,HUG
2023-06-02,35500,35500,35500,35500,400,HUG
2023-06-06,33500,33600,33500,33500,300,HUG
2023-06-07,38500,38500,38500,38500,100,HUG
2023-06-08,35500,35500,33100,33100,1100,HUG
2023-06-09,38500,38500,33100,33100,300,HUG
2023-06-12,39400,39400,39400,39400,100,HUG
2023-06-15,33500,33500,33500,33500,100,HUG
2023-06-16,37000,37000,37000,37000,100,HUG
2023-06-19,38900,38900,38900,38900,100,HUG
2023-06-20,38800,38800,33700,33700,300,HUG
2023-06-21,35400,35400,35300,35300,200,HUG
2023-06-22,33700,33700,33700,33700,200,HUG
2023-06-23,35900,35900,35000,35000,300,HUG
2023-06-26,35300,35300,35300,35300,100,HUG
2023-06-27,35300,35300,35300,35300,100,HUG
2023-06-28,37400,37400,37400,37400,100,HUG
2023-06-29,37800,37800,37800,37800,100,HUG
2023-06-30,37500,37700,37500,37700,200,HUG
2023-07-03,37600,37700,37600,37700,300,HUG
2023-07-04,36500,36500,36500,36500,200,HUG
2023-07-05,36500,36500,36500,36500,100,HUG
2023-07-06,36500,36500,36500,36500,100,HUG
2023-07-10,34000,36500,34000,36500,300,HUG
2023-07-14,36000,36000,36000,36000,200,HUG
2023-07-17,34100,34100,34100,34100,500,HUG
2023-07-18,37400,37400,37400,37400,100,HUG
2023-07-24,37300,37300,37300,37300,500,HUG
2023-07-28,35500,35500,35500,35500,200,HUG
2023-07-31,37200,37200,37200,37200,100,HUG
2023-08-01,34600,34800,34600,34800,400,HUG
2023-08-02,37600,37600,37600,37600,100,HUG
2023-08-03,38000,38000,36500,36500,400,HUG
2023-08-04,38400,38400,38400,38400,100,HUG
2023-08-07,39000,39000,39000,39000,300,HUG
2023-08-10,34600,34600,34600,34600,400,HUG
2023-08-11,35000,38500,35000,38500,200,HUG
2023-08-14,37500,37500,37500,37500,100,HUG
2023-08-15,39100,39100,39100,39100,200,HUG
2023-08-16,39100,39100,38400,38400,300,HUG
2023-08-21,38700,38700,38700,38700,100,HUG
2023-08-25,39100,39100,39100,39100,100,HUG
2023-08-29,39500,39500,39500,39500,100,HUG
2023-09-07,42200,42200,42200,42200,100,HUG
2023-09-08,39500,39500,36000,36000,600,HUG
2023-09-11,43400,43400,43400,43400,100,HUG
2023-09-15,36900,36900,36900,36900,100,HUG
2023-09-18,42300,42300,42300,42300,100,HUG
2023-09-20,36100,36100,36100,36100,200,HUG
2023-09-21,36100,41500,31000,31000,900,HUG
2023-09-22,40300,40300,40300,40300,100,HUG
2023-09-25,44900,44900,44900,44900,100,HUG
2023-09-26,38200,39800,38200,39800,400,HUG
2023-09-28,39400,39500,39400,39500,600,HUG
2023-09-29,44000,44000,44000,44000,100,HUG
2023-10-02,37400,37400,37400,37400,100,HUG
2023-10-03,43000,43000,37400,37400,400,HUG
2023-10-04,39400,39400,39400,39400,100,HUG
2023-10-05,34000,34100,34000,34100,200,HUG
2023-10-06,39200,39200,39200,39200,100,HUG
2023-10-09,39200,39200,39200,39200,100,HUG
2023-10-10,34500,34500,34500,34500,200,HUG
2023-10-11,39200,39200,39200,39200,100,HUG
2023-10-13,39400,39400,39400,39400,200,HUG
