time,open,high,low,close,volume,ticker
2023-01-03,14200,15500,14000,15500,1985300,HUT
2023-01-04,15500,15900,15100,15100,1674100,HUT
2023-01-05,15500,15500,14700,15100,1314100,HUT
2023-01-06,15100,15300,14500,14500,1341500,HUT
2023-01-09,15000,15000,14300,14300,728200,HUT
2023-01-10,14300,15100,14100,14700,1064500,HUT
2023-01-11,15000,15100,14600,14600,756400,HUT
2023-01-12,14500,14800,14500,14500,462700,HUT
2023-01-13,15000,15300,14500,14700,1167000,HUT
2023-01-16,14700,14900,14500,14800,617800,HUT
2023-01-17,14800,15800,14800,15600,2109300,HUT
2023-01-18,15800,16200,15600,15900,1608500,HUT
2023-01-19,16000,16200,15600,15900,1175200,HUT
2023-01-27,15900,16400,15800,16000,2868600,HUT
2023-01-30,15700,17200,15700,16600,4859300,HUT
2023-01-31,16900,17000,16500,16800,2498000,HUT
2023-02-01,16900,17300,15400,15400,4702900,HUT
2023-02-02,15200,15900,14600,14800,2663900,HUT
2023-02-03,14900,15700,14800,15200,2156700,HUT
2023-02-06,15500,15500,14900,15100,981600,HUT
2023-02-07,15400,15400,14100,14200,1974500,HUT
2023-02-08,14200,14700,13700,14100,1552400,HUT
2023-02-09,14100,14600,14100,14300,920200,HUT
2023-02-10,14400,14400,14000,14100,727500,HUT
2023-02-13,14100,14100,12800,13400,2605700,HUT
2023-02-14,13400,13800,13400,13400,718000,HUT
2023-02-15,13400,14200,13400,13900,1198400,HUT
2023-02-16,14500,14500,13900,14100,672600,HUT
2023-02-17,14300,14400,14000,14100,1141700,HUT
2023-02-20,14600,15100,14200,15100,1483300,HUT
2023-02-21,15100,15400,14700,14800,1819600,HUT
2023-02-22,14700,15200,14400,14700,1953400,HUT
2023-02-23,14200,14800,14200,14800,1668900,HUT
2023-02-24,14800,15000,14500,14800,900700,HUT
2023-02-27,14800,14800,14200,14300,1185300,HUT
2023-02-28,14300,14700,14300,14400,776300,HUT
2023-03-01,14400,14800,14200,14800,1066000,HUT
2023-03-02,15000,15800,15000,15600,3271800,HUT
2023-03-03,15700,16200,15500,15500,1832000,HUT
