time,open,high,low,close,volume,ticker
2023-01-03,41640,41640,41640,41640,100,HVT
2023-01-04,41990,41990,41990,41990,300,HVT
2023-01-06,41990,41990,40750,40750,500,HVT
2023-01-09,41640,41810,41640,41810,2500,HVT
2023-01-10,41900,42790,41900,42790,1200,HVT
2023-01-12,42960,42960,42960,42960,500,HVT
2023-01-13,42960,43850,42520,43760,2400,HVT
2023-01-16,43580,44470,42960,44200,2000,HVT
2023-01-17,45570,45570,44380,45210,3200,HVT
2023-01-18,44380,45210,44380,45210,2000,HVT
2023-01-19,44750,49040,44750,47950,2500,HVT
2023-01-27,49320,50590,47950,47950,8300,HVT
2023-01-30,46580,50140,46580,50140,11700,HVT
2023-01-31,50050,50230,48490,48680,7300,HVT
2023-02-01,49680,49680,48490,48490,18500,HVT
2023-02-02,48400,49040,48040,49040,4700,HVT
2023-02-03,49040,49130,48860,48860,2800,HVT
2023-02-06,49220,49220,49220,49220,800,HVT
2023-02-07,49220,49220,48400,48400,6600,HVT
2023-02-09,48400,48400,48400,48400,3500,HVT
2023-02-10,48490,48490,47950,47950,4200,HVT
2023-02-13,47490,47490,46300,46300,8700,HVT
2023-02-14,46580,46580,46390,46580,8700,HVT
2023-02-15,46670,47400,46670,47400,1200,HVT
2023-02-16,47490,47490,47490,47490,200,HVT
2023-02-17,47030,47490,46580,47490,6800,HVT
2023-02-20,47490,48220,47490,48220,3800,HVT
2023-02-21,47490,47490,47120,47120,4400,HVT
2023-02-22,46580,47120,46120,47120,7300,HVT
2023-02-23,45850,47120,45850,47120,1200,HVT
2023-02-24,47120,47120,47120,47120,100,HVT
2023-02-27,46580,46580,46580,46580,3000,HVT
2023-03-01,46580,46580,45660,45660,200,HVT
2023-03-02,43930,46670,43930,46670,1500,HVT
2023-03-03,46760,46760,46760,46760,1700,HVT
2023-03-06,45110,45110,45110,45110,100,HVT
2023-03-07,44110,44750,44110,44750,1100,HVT
2023-03-08,46120,46120,46120,46120,500,HVT
2023-03-09,46030,46030,46030,46030,100,HVT
2023-03-13,46030,46030,46030,46030,1200,HVT
2023-03-14,46120,46120,46120,46120,100,HVT
2023-03-15,46120,46850,45940,46390,19700,HVT
2023-03-16,46580,46580,46580,46580,200,HVT
2023-03-17,46120,46120,46120,46120,1000,HVT
2023-03-20,45660,45660,44750,44750,5200,HVT
2023-03-21,45210,45210,45210,45210,2700,HVT
2023-03-22,46120,46120,46120,46120,100,HVT
2023-03-23,45020,45020,45020,45020,100,HVT
2023-03-24,44110,44110,44020,44020,400,HVT
2023-03-27,46030,46030,46030,46030,3600,HVT
2023-03-28,45210,45210,45210,45210,100,HVT
2023-03-29,44750,44750,44750,44750,200,HVT
2023-03-30,45390,45390,45390,45390,800,HVT
2023-04-03,45480,45480,45480,45480,300,HVT
2023-04-04,45480,45480,44380,44380,1000,HVT
2023-04-05,45210,45210,45210,45210,300,HVT
2023-04-06,44750,44750,44750,44750,300,HVT
2023-04-07,44290,44660,44290,44290,1500,HVT
2023-04-07,44290,44290,44290,44290,400,HVT
2023-04-10,45570,45570,45570,45570,100,HVT
2023-04-11,44570,44570,44570,44570,500,HVT
2023-04-13,44840,45850,44840,45850,1700,HVT
2023-04-14,49770,49770,45750,45750,2000,HVT
2023-04-17,47490,47490,47490,47490,400,HVT
2023-04-18,46120,47490,46120,47490,1000,HVT
2023-04-19,47490,47490,47490,47490,100,HVT
2023-04-20,47120,47120,46300,47120,300,HVT
2023-04-21,47580,49130,47210,47580,7400,HVT
2023-04-24,47400,48400,47400,48400,7200,HVT
2023-04-25,46120,48400,46120,48400,800,HVT
2023-04-26,47850,48490,47850,47950,2900,HVT
2023-04-27,48310,49950,48310,48580,8200,HVT
2023-04-28,51050,51050,51050,51050,100,HVT
2023-05-04,50960,50960,50960,50960,1900,HVT
2023-05-05,56350,56350,53790,54520,14500,HVT
2023-05-08,52970,52970,52970,52970,1300,HVT
2023-05-09,52060,52060,52060,52060,1900,HVT
2023-05-10,52060,57080,52060,57080,25700,HVT
2023-05-11,53880,53880,50590,51140,3600,HVT
2023-05-12,51320,51870,51320,51870,300,HVT
2023-05-15,53060,53060,51600,51600,1500,HVT
2023-05-16,52690,52690,52690,52690,100,HVT
2023-05-17,52690,52690,51140,52690,2700,HVT
2023-05-18,52150,52150,52150,52150,100,HVT
2023-05-19,52150,52880,52150,52880,200,HVT
2023-05-22,52690,54160,52690,54160,5600,HVT
2023-05-23,52510,53880,52510,53790,3300,HVT
2023-05-25,51600,54340,51600,54340,6900,HVT
2023-05-29,54790,54790,53060,54340,4800,HVT
2023-05-30,52600,52690,52600,52690,600,HVT
2023-05-31,52690,54700,52690,52970,30100,HVT
2023-06-02,54520,54520,54520,54520,100,HVT
2023-06-05,54060,54250,53240,53240,4900,HVT
2023-06-06,53240,54060,53240,54060,200,HVT
2023-06-07,52060,53880,52060,53880,1800,HVT
2023-06-12,54700,54700,53880,53880,4700,HVT
2023-06-13,52970,52970,52970,52970,400,HVT
2023-06-14,53880,53880,53790,53790,1000,HVT
2023-06-16,52970,52970,52790,52790,4400,HVT
2023-06-19,52880,52880,52880,52880,1100,HVT
2023-06-20,52330,53430,52330,53430,2400,HVT
2023-06-21,52970,52970,52420,52420,2100,HVT
2023-06-22,52790,53610,52420,53610,4100,HVT
2023-06-23,52510,53700,52510,52970,2100,HVT
2023-06-26,52970,52970,52240,52600,4600,HVT
2023-06-27,52970,52970,52600,52880,10900,HVT
2023-06-28,52880,52880,52790,52790,1000,HVT
2023-06-29,52790,52790,52790,52790,1100,HVT
2023-07-03,52970,52970,52790,52790,7600,HVT
2023-07-04,52240,52790,52240,52790,500,HVT
2023-07-05,52790,52970,52240,52790,25500,HVT
2023-07-06,52790,52790,52510,52600,9600,HVT
2023-07-07,52510,52510,52420,52420,3700,HVT
2023-07-10,52420,52420,52330,52330,1500,HVT
2023-07-11,52790,52790,52600,52600,400,HVT
2023-07-12,52240,52420,52240,52420,1500,HVT
2023-07-13,52600,54250,52600,53700,13600,HVT
2023-07-14,53330,54340,53240,53520,6200,HVT
2023-07-17,53060,53520,53060,53520,8400,HVT
2023-07-18,53520,56620,53520,55340,20100,HVT
2023-07-19,55340,55340,54520,54610,1600,HVT
2023-07-20,54160,54610,53700,54610,6500,HVT
2023-07-21,53880,53880,52420,52600,19200,HVT
2023-07-24,52510,52510,49320,52060,8500,HVT
2023-07-25,49590,53700,49590,53700,28300,HVT
2023-07-26,53700,54060,52970,53880,9700,HVT
2023-07-27,53060,53060,52240,52240,31500,HVT
2023-07-28,53790,56160,53700,56160,115800,HVT
2023-07-31,56620,57990,56350,56350,59100,HVT
2023-08-01,57900,57900,54790,56260,45400,HVT
2023-08-02,56260,56260,55250,56160,26300,HVT
2023-08-03,56160,56620,55890,55890,40100,HVT
2023-08-04,55890,56160,55710,56070,29700,HVT
2023-08-07,56160,57990,56160,57630,85200,HVT
2023-08-08,57720,57990,57170,57900,62300,HVT
2023-08-09,63000,63000,55100,56100,17100,HVT
2023-08-10,56100,56100,53000,54800,29300,HVT
2023-08-11,53500,55000,52300,53000,11800,HVT
2023-08-14,53000,53000,51500,52000,26800,HVT
2023-08-15,52000,53000,51800,53000,18300,HVT
2023-08-16,53600,53600,52400,52500,8300,HVT
2023-08-18,50900,51100,50300,51000,16000,HVT
2023-08-21,49100,50500,48800,50500,25100,HVT
2023-08-22,50500,50500,49300,50000,4400,HVT
2023-08-23,50000,50000,49400,49900,3300,HVT
2023-08-24,49900,50000,49300,50000,8900,HVT
2023-08-25,50000,50000,49500,50000,2400,HVT
2023-08-28,50000,51000,50000,50800,14300,HVT
2023-08-29,51500,51500,50300,51000,12200,HVT
2023-08-30,52700,52700,50500,51100,5000,HVT
2023-08-31,50600,51500,50600,51500,7200,HVT
2023-09-05,51500,51900,51000,51900,7900,HVT
2023-09-06,51900,52000,51300,51900,10600,HVT
2023-09-07,52500,52500,51000,51100,3600,HVT
2023-09-08,51500,52800,51500,52500,7400,HVT
2023-09-11,52500,52700,50600,52300,11800,HVT
2023-09-12,51200,51400,51200,51300,2400,HVT
2023-09-13,51300,52500,51300,52300,14600,HVT
2023-09-14,51500,51500,51300,51500,2400,HVT
2023-09-15,51300,52100,51300,52100,4400,HVT
2023-09-18,52100,52100,51300,51900,3300,HVT
2023-09-19,52400,52400,51500,52000,8900,HVT
2023-09-20,51000,52400,46800,51600,8900,HVT
2023-09-21,51600,52200,51000,51200,4200,HVT
2023-09-22,51300,54000,51200,54000,24800,HVT
2023-09-25,54000,56800,54000,55600,22100,HVT
2023-09-26,55600,55600,54000,54000,400,HVT
2023-09-27,53800,53800,51300,52800,3500,HVT
2023-09-28,55000,55000,51900,52000,10000,HVT
2023-09-29,54000,54000,52000,52000,1000,HVT
2023-10-02,52500,52900,52500,52900,3200,HVT
2023-10-04,51300,52600,51000,52600,2700,HVT
2023-10-05,51700,52500,51600,52200,13000,HVT
2023-10-06,52000,52600,52000,52300,3200,HVT
