time,open,high,low,close,volume,ticker
2023-01-03,2950,2950,2950,2950,4885300,IBC
2023-01-04,3150,3150,3000,3150,6685900,IBC
2023-01-05,3360,3370,3350,3370,4504700,IBC
2023-01-06,3600,3600,3600,3600,934700,IBC
2023-01-09,3850,3850,3850,3850,638900,IBC
2023-01-10,4110,4110,4110,4110,758500,IBC
2023-01-11,4390,4390,3830,3830,7174700,IBC
2023-01-12,3570,3570,3570,3570,421300,IBC
2023-01-13,3330,3330,3330,3330,610300,IBC
2023-01-16,3100,3560,3100,3400,10099800,IBC
2023-01-17,3430,3600,3170,3170,3290300,IBC
2023-01-18,3130,3170,2950,3040,6019200,IBC
2023-01-19,3000,3190,2920,3120,1658700,IBC
2023-01-27,3150,3210,3110,3120,2057400,IBC
2023-01-30,3100,3140,3020,3070,2326500,IBC
2023-01-31,3070,3180,3040,3180,1318600,IBC
2023-02-01,3180,3400,3100,3270,4606100,IBC
2023-02-02,3280,3390,3110,3140,1306900,IBC
2023-02-03,3110,3190,3040,3060,1525300,IBC
2023-02-06,3020,3070,2900,3060,1773000,IBC
2023-02-07,3080,3080,2920,2950,1322600,IBC
2023-02-08,2990,3000,2900,2930,1137300,IBC
2023-02-09,2850,2930,2840,2870,1047500,IBC
2023-02-10,2870,2880,2690,2710,1705200,IBC
2023-02-13,2680,2680,2530,2530,2304200,IBC
2023-02-14,2400,2530,2360,2360,1586100,IBC
2023-02-15,2280,2520,2260,2520,1481400,IBC
2023-02-16,2690,2690,2660,2690,649500,IBC
2023-02-17,2870,2870,2870,2870,1000800,IBC
2023-02-20,3070,3070,3070,3070,637100,IBC
2023-02-21,3280,3280,2900,3110,5565200,IBC
2023-02-22,3000,3090,2950,2950,1840700,IBC
2023-02-23,2950,3040,2750,2850,2664000,IBC
2023-02-24,2890,2900,2750,2800,1080300,IBC
2023-02-27,2800,2800,2670,2670,1784900,IBC
2023-02-28,2670,2760,2640,2670,964500,IBC
2023-03-01,2490,2650,2490,2530,2939400,IBC
2023-03-02,2520,2700,2520,2700,858500,IBC
2023-03-03,2880,2880,2880,2880,741400,IBC
2023-03-06,3080,3080,2750,2780,3378800,IBC
2023-03-07,2790,2840,2690,2700,1018300,IBC
2023-03-08,2700,2780,2690,2760,871700,IBC
2023-03-09,2820,2840,2740,2810,924300,IBC
2023-03-10,2750,2800,2700,2740,681200,IBC
2023-03-13,2650,2700,2650,2660,868700,IBC
2023-03-14,2700,2700,2560,2630,754400,IBC
2023-03-15,2810,2810,2700,2760,701400,IBC
2023-03-16,2740,2750,2670,2680,803000,IBC
2023-03-17,2730,2730,2660,2670,550900,IBC
2023-03-20,2620,2650,2540,2560,1392800,IBC
2023-03-21,2590,2660,2560,2620,575400,IBC
2023-03-22,2670,2710,2630,2670,1093100,IBC
2023-03-23,2710,2820,2650,2820,2346400,IBC
2023-03-24,3010,3010,2810,2810,5559300,IBC
2023-03-27,2810,2850,2710,2720,1854100,IBC
2023-03-28,2740,2790,2730,2760,1010800,IBC
2023-03-29,2890,2960,2780,2820,2208800,IBC
2023-03-30,2800,2890,2800,2800,1721900,IBC
2023-03-31,2840,2860,2780,2830,1455600,IBC
2023-04-03,2870,2970,2840,2850,2367900,IBC
2023-04-04,2860,2910,2820,2870,1749700,IBC
2023-04-05,2900,2940,2850,2900,3061600,IBC
2023-04-06,2980,3100,2920,3100,5554300,IBC
2023-04-07,3100,3200,3040,3090,2218500,IBC
2023-04-10,3000,3140,2900,2930,3509800,IBC
2023-04-11,2970,2970,2810,2940,1494500,IBC
2023-04-12,2980,2990,2870,2910,2087300,IBC
2023-04-13,2910,2910,2810,2820,1473200,IBC
2023-04-14,2750,2800,2680,2690,3367200,IBC
2023-04-17,2600,2680,2600,2650,1919600,IBC
2023-04-18,2680,2770,2680,2730,1046300,IBC
2023-04-19,2780,2780,2640,2640,1566700,IBC
2023-04-20,2690,2690,2630,2660,941300,IBC
2023-04-21,2640,2690,2640,2660,694200,IBC
2023-04-24,2660,2690,2620,2640,885700,IBC
2023-04-25,2650,2830,2650,2720,1637800,IBC
2023-04-26,2710,2740,2670,2710,795300,IBC
2023-04-27,2680,2700,2590,2620,1347100,IBC
2023-04-28,2640,2670,2610,2630,807000,IBC
2023-05-04,2630,2660,2600,2610,753300,IBC
2023-05-05,2630,2630,2570,2600,797000,IBC
2023-05-08,2580,2580,2500,2530,2429300,IBC
2023-05-09,2540,2540,2490,2500,1033200,IBC
2023-05-10,2500,2640,2500,2610,1636800,IBC
2023-05-11,2650,2650,2590,2590,820100,IBC
2023-05-12,2570,2600,2560,2600,1265800,IBC
2023-05-15,2670,2690,2600,2600,1507400,IBC
2023-05-16,2620,2620,2580,2590,855000,IBC
2023-05-17,2620,2620,2530,2540,2460800,IBC
2023-05-18,2510,2510,2440,2490,2366800,IBC
2023-05-19,2440,2460,2370,2400,2128300,IBC
2023-05-22,2430,2530,2400,2490,1170500,IBC
2023-05-23,2440,2450,2320,2360,1758900,IBC
2023-05-24,2370,2400,2260,2290,1914200,IBC
2023-05-25,2290,2440,2200,2320,973600,IBC
2023-05-26,2320,2370,2290,2300,776400,IBC
2023-05-29,2290,2460,2290,2460,2602200,IBC
2023-05-30,2460,2600,2420,2420,1438600,IBC
2023-05-31,2410,2500,2380,2420,974600,IBC
2023-06-01,2430,2530,2400,2460,1299200,IBC
2023-06-02,2550,2550,2430,2440,1897500,IBC
2023-06-05,2450,2490,2420,2440,691800,IBC
2023-06-06,2440,2470,2430,2440,730000,IBC
2023-06-07,2440,2550,2440,2540,1891600,IBC
2023-06-08,2540,2710,2540,2710,3461800,IBC
2023-06-09,2710,2790,2600,2620,1103100,IBC
2023-06-12,2620,2620,2440,2550,1062900,IBC
2023-06-13,2720,2720,2610,2710,2719200,IBC
2023-06-14,2710,2720,2530,2650,1112000,IBC
2023-06-15,2500,2700,2500,2610,480400,IBC
2023-06-16,2610,2670,2450,2550,1019300,IBC
2023-06-19,2550,2550,2400,2480,473300,IBC
2023-06-20,2440,2550,2440,2510,267300,IBC
2023-06-21,2510,2630,2510,2580,739800,IBC
2023-06-22,2490,2510,2400,2450,2130300,IBC
2023-06-23,2500,2550,2280,2420,1400900,IBC
2023-06-26,2400,2400,2260,2340,1754600,IBC
2023-06-27,2340,2400,2180,2380,1666400,IBC
2023-06-28,2400,2400,2230,2320,1810500,IBC
2023-06-29,2310,2310,2180,2270,2388500,IBC
2023-06-30,2270,2270,2150,2220,2076600,IBC
2023-07-03,2230,2230,2100,2110,2860800,IBC
2023-07-04,2120,2180,2000,2160,2192900,IBC
2023-07-05,2160,2170,2040,2060,2313200,IBC
2023-07-06,2060,2060,1940,1980,2536200,IBC
2023-07-07,1980,1980,1850,1890,3694400,IBC
2023-07-10,1910,2009,1780,1830,2263100,IBC
2023-07-11,1830,1950,1740,1950,2979500,IBC
2023-07-12,2050,2080,1860,2080,2850500,IBC
2023-07-13,2090,2210,2080,2100,2392900,IBC
2023-07-14,2110,2110,2020,2040,1682600,IBC
2023-07-17,2060,2150,2050,2070,865500,IBC
2023-07-18,2009,2100,2009,2040,950100,IBC
2023-07-19,2040,2070,2020,2029,764900,IBC
2023-07-20,2029,2050,1970,1970,1431000,IBC
2023-07-21,1970,2029,1970,1970,968800,IBC
2023-07-24,2100,2100,1990,2029,1597300,IBC
2023-07-25,2029,2050,2000,2009,1139400,IBC
2023-07-26,2009,2029,2000,2020,790300,IBC
2023-07-27,2020,2140,1960,2070,1933300,IBC
2023-07-28,2070,2210,2040,2210,2515800,IBC
2023-07-31,2210,2350,2210,2260,1731600,IBC
2023-08-01,2260,2300,2120,2140,2095900,IBC
2023-08-02,2160,2190,2050,2160,899800,IBC
2023-08-03,2160,2190,2100,2120,1002600,IBC
2023-08-04,2120,2140,1980,2100,2394200,IBC
2023-08-07,2120,2240,2120,2240,3060600,IBC
2023-08-08,2370,2390,2340,2390,2851500,IBC
2023-08-09,2520,2550,2480,2550,1542100,IBC
2023-08-10,2720,2720,2500,2550,8608800,IBC
2023-08-11,2570,2570,2380,2480,3258300,IBC
2023-08-14,2480,2650,2480,2650,2897100,IBC
2023-08-15,2760,2800,2640,2690,3296000,IBC
2023-08-16,2690,2720,2510,2560,3049400,IBC
2023-08-17,2560,2630,2450,2500,1502200,IBC
2023-08-18,2500,2500,2330,2330,3338400,IBC
2023-08-21,2210,2400,2170,2340,1797600,IBC
2023-08-22,2340,2420,2200,2380,1428600,IBC
2023-08-23,2380,2400,2300,2340,697300,IBC
2023-08-24,2300,2400,2300,2350,1071700,IBC
2023-08-25,2350,2360,2250,2290,1312500,IBC
2023-08-28,2210,2390,2210,2330,1049700,IBC
2023-08-29,2250,2350,2250,2330,658200,IBC
2023-08-30,2330,2330,2270,2300,1454400,IBC
2023-08-31,2310,2390,2300,2360,1549000,IBC
2023-09-05,2370,2520,2370,2520,2117300,IBC
2023-09-06,2520,2680,2520,2590,2631400,IBC
2023-09-07,2650,2650,2460,2470,2215100,IBC
2023-09-08,2460,2550,2460,2520,1864900,IBC
2023-09-11,2350,2380,2350,2350,305800,IBC
2023-09-12,2190,2190,2190,2190,323100,IBC
2023-09-13,2040,2040,2040,2040,161900,IBC
2023-09-14,1900,1900,1900,1900,283600,IBC
2023-09-15,1770,1770,1770,1770,1889700,IBC
