time,open,high,low,close,volume,ticker
2023-01-04,13980,15650,13980,15650,2700,IFS
2023-01-09,15840,15840,15840,15840,100,IFS
2023-01-10,15840,15840,15840,15840,4700,IFS
2023-01-11,15930,15930,15930,15930,100,IFS
2023-01-18,18260,18260,18260,18260,1200,IFS
2023-01-19,20030,20030,20030,20030,100,IFS
2023-01-30,17700,17700,17700,17700,100,IFS
2023-01-31,18920,19010,18170,18170,500,IFS
2023-02-01,18640,18640,18640,18640,200,IFS
2023-02-06,18640,18640,18640,18640,100,IFS
2023-02-07,17240,17700,17240,17700,300,IFS
2023-02-08,17240,18640,17240,18640,200,IFS
2023-02-15,19010,19010,19010,19010,100,IFS
2023-02-22,18640,18640,18640,18640,200,IFS
2023-02-23,17700,17700,17700,17700,100,IFS
2023-02-27,17700,17700,17700,17700,200,IFS
2023-03-02,17800,17800,17800,17800,1900,IFS
2023-03-06,19010,19010,19010,19010,500,IFS
2023-03-07,19010,19010,19010,19010,200,IFS
2023-03-23,19940,19940,19940,19940,3400,IFS
2023-03-24,21060,21060,21060,21060,500,IFS
2023-03-27,18640,18640,18640,18640,100,IFS
2023-03-28,21340,21340,21340,21340,1000,IFS
2023-04-04,21150,21150,21150,21150,100,IFS
2023-04-05,21150,21150,21150,21150,100,IFS
2023-04-06,20500,20500,20500,20500,4000,IFS
2023-04-10,20500,20500,20500,20500,100,IFS
2023-04-11,21990,21990,21990,21990,400,IFS
2023-04-12,24230,24230,24230,24230,400,IFS
2023-04-13,27860,27860,27490,27490,200,IFS
2023-04-17,23570,23570,23570,23570,300,IFS
2023-04-18,23670,23670,20130,20130,700,IFS
2023-04-19,21430,21430,20500,20500,300,IFS
2023-04-25,20690,20690,20690,20690,200,IFS
2023-04-26,23670,23670,23670,23670,100,IFS
2023-04-28,25530,25530,25530,25530,100,IFS
2023-05-18,25530,25530,24230,24230,1100,IFS
2023-05-19,24690,24690,24690,24690,200,IFS
2023-05-24,25160,25160,25160,25160,200,IFS
2023-05-25,26560,26560,26560,26560,100,IFS
2023-06-16,30470,30470,30470,30470,100,IFS
2023-06-21,28890,28980,25900,25900,4100,IFS
2023-06-22,23670,23670,23670,23670,1000,IFS
2023-06-23,27020,27020,27020,27020,100,IFS
2023-06-26,26840,26840,23020,23020,2000,IFS
2023-06-28,19940,21430,19940,21430,10000,IFS
2023-06-29,20220,20220,20220,20220,200,IFS
2023-06-30,22740,22740,22740,22740,900,IFS
2023-07-03,22740,22740,22740,22740,100,IFS
2023-07-07,24790,24790,24790,24790,100,IFS
2023-07-18,21340,24130,21340,22550,14300,IFS
2023-07-19,24230,24230,23850,23850,400,IFS
2023-07-20,24690,24790,24040,24230,6000,IFS
2023-07-21,24690,24690,24130,24130,1700,IFS
2023-07-24,24320,24320,24230,24230,1300,IFS
2023-07-25,24320,24320,24320,24320,500,IFS
2023-07-27,23850,23850,23760,23760,2200,IFS
2023-07-28,24320,24320,24320,24320,1900,IFS
2023-08-01,25500,25500,25500,25500,2000,IFS
2023-08-02,25500,25500,25500,25500,1000,IFS
2023-08-03,26000,26000,26000,26000,200,IFS
2023-08-04,26000,26400,26000,26000,1800,IFS
2023-08-07,26000,26000,26000,26000,200,IFS
2023-08-09,26000,26000,26000,26000,400,IFS
2023-08-10,26000,27500,26000,26000,41200,IFS
2023-08-11,26000,26000,26000,26000,1900,IFS
2023-08-14,27900,27900,24000,24000,11200,IFS
2023-08-15,24100,24100,24100,24100,100,IFS
2023-08-16,24100,24500,24100,24500,2000,IFS
2023-08-17,24500,25000,24500,24700,1400,IFS
2023-08-18,24700,24700,23500,23600,18000,IFS
2023-08-21,23700,25000,23500,25000,4200,IFS
2023-08-22,25000,25000,24500,25000,2400,IFS
2023-08-29,24400,25000,24200,25000,7200,IFS
2023-08-30,25900,25900,25900,25900,100,IFS
2023-08-31,26000,26000,26000,26000,2600,IFS
2023-09-05,24500,25500,24500,25500,600,IFS
2023-09-06,25400,25400,24500,25300,52300,IFS
2023-09-07,24200,24200,24200,24200,100,IFS
2023-09-08,24500,26000,24500,25200,3200,IFS
2023-09-11,24300,25100,24300,25100,9900,IFS
2023-09-12,25200,25200,25200,25200,4700,IFS
2023-09-13,25200,25300,25000,25300,3900,IFS
2023-09-14,25400,25400,25400,25400,4800,IFS
2023-09-15,25000,25400,25000,25000,3000,IFS
2023-09-20,24500,24500,24500,24500,100,IFS
2023-09-21,25500,25500,25500,25500,100,IFS
2023-09-22,25300,25300,25100,25200,1900,IFS
2023-09-25,25200,25200,24800,24800,400,IFS
2023-09-26,25400,25400,24000,24000,1000,IFS
2023-10-02,25000,27000,25000,27000,1900,IFS
2023-10-09,25700,25700,25000,25700,400,IFS
2023-10-10,25400,29000,25400,25600,4000,IFS
2023-10-11,26000,26000,26000,26000,1000,IFS
2023-10-12,26000,26000,26000,26000,2300,IFS
2023-10-13,25000,25000,25000,25000,6000,IFS
