time,open,high,low,close,volume,ticker
2023-01-03,23440,23440,23010,23440,6000,ILB
2023-01-04,23440,23950,23440,23950,28900,ILB
2023-01-05,23950,23950,23480,23950,3700,ILB
2023-01-06,24050,24420,23480,23480,6200,ILB
2023-01-09,23480,23480,23480,23480,1000,ILB
2023-01-10,23480,23480,23480,23480,2300,ILB
2023-01-11,23480,24420,23480,24420,24300,ILB
2023-01-12,24420,26110,24420,26110,23600,ILB
2023-01-13,27900,27900,27850,27900,11700,ILB
2023-01-16,29820,29820,29680,29820,16100,ILB
2023-01-17,31840,31890,31190,31890,40600,ILB
2023-01-18,32880,32880,30530,31610,31400,ILB
2023-01-19,31610,32030,29400,31980,35700,ILB
2023-01-27,33820,33820,31940,31980,25700,ILB
2023-01-30,32880,33350,32409,32880,154600,ILB
2023-01-31,33350,33350,31000,31000,61700,ILB
2023-02-01,31000,31000,29730,30900,38900,ILB
2023-02-02,29120,29120,29120,29120,1500,ILB
2023-02-03,29120,30430,29120,30150,48200,ILB
2023-02-06,30060,31000,30060,31000,21100,ILB
2023-02-07,31000,31000,30530,31000,38400,ILB
2023-02-08,29590,31280,29590,31230,10700,ILB
2023-02-09,31230,31230,30060,31000,24000,ILB
2023-02-10,31000,31000,31000,31000,66600,ILB
2023-02-13,30530,31000,30530,31000,8300,ILB
2023-02-14,29640,29730,29120,29120,10600,ILB
2023-02-15,30060,30060,27620,30060,26700,ILB
2023-02-17,30010,30110,30010,30110,6200,ILB
2023-02-20,30110,30110,30060,30060,6200,ILB
2023-02-21,30060,30060,29960,30060,4600,ILB
2023-02-22,29210,29210,29120,29210,2900,ILB
2023-02-23,28410,28740,27710,28270,23900,ILB
2023-02-24,29070,29070,29070,29070,100,ILB
2023-02-27,28650,29820,27660,29820,700,ILB
2023-03-01,28230,29590,28230,29590,500,ILB
2023-03-02,28180,29400,28180,29400,2000,ILB
2023-03-03,28460,28740,28460,28740,300,ILB
2023-03-06,28740,28740,28740,28740,600,ILB
2023-03-07,29070,29070,28180,28740,3500,ILB
2023-03-08,28090,28090,28090,28090,800,ILB
2023-03-13,28090,29030,28090,28930,15400,ILB
2023-03-14,28930,28930,28930,28930,5100,ILB
2023-03-15,28180,28840,28180,28270,8600,ILB
2023-03-16,29120,29120,28040,28270,23700,ILB
2023-03-17,28180,28180,28180,28180,3300,ILB
2023-03-20,27240,29030,27240,29030,9200,ILB
2023-03-21,28180,28180,28180,28180,500,ILB
2023-03-22,28180,28180,28180,28180,700,ILB
2023-03-23,28180,28180,28180,28180,200,ILB
2023-03-24,28180,28180,28180,28180,400,ILB
2023-03-31,29120,29120,29120,29120,100,ILB
2023-04-03,28460,29120,28460,29120,7300,ILB
2023-04-04,29590,29590,29030,29030,300,ILB
2023-04-05,28180,28180,28180,28180,12400,ILB
2023-04-06,28180,28180,28180,28180,5800,ILB
2023-04-07,28180,28180,28180,28180,12700,ILB
2023-04-07,28180,28180,28180,28180,9600,ILB
2023-04-10,29120,31000,29120,30900,2300,ILB
2023-04-11,28840,28880,28840,28880,1800,ILB
2023-04-12,30060,30060,30060,30060,2300,ILB
2023-04-14,28460,30010,28460,30010,200,ILB
2023-04-17,31420,31420,28180,28180,9200,ILB
2023-04-18,28560,30900,28560,29590,6300,ILB
2023-04-19,30900,30900,30860,30860,200,ILB
2023-04-20,29960,32080,29960,30900,700,ILB
2023-04-21,30950,30950,29870,29870,500,ILB
2023-04-24,29590,30950,29540,30950,500,ILB
2023-04-25,29210,30340,29210,30340,1800,ILB
2023-04-26,29590,29590,29490,29490,400,ILB
2023-04-27,30530,30530,30430,30430,700,ILB
2023-04-28,30060,30060,30060,30060,1000,ILB
2023-05-04,32740,32740,30670,31940,900,ILB
2023-05-05,31940,33820,31940,31940,1200,ILB
2023-05-09,29920,31470,29920,31000,300,ILB
2023-05-10,29680,30810,29210,30810,400,ILB
2023-05-11,29310,31000,29310,30720,8600,ILB
2023-05-15,30250,30250,29870,29870,4200,ILB
2023-05-16,30720,30720,30720,30720,100,ILB
2023-05-17,29870,29870,29590,29590,300,ILB
2023-05-18,29590,29590,29120,29260,5400,ILB
2023-05-19,29680,29680,29590,29590,500,ILB
2023-05-22,29590,29780,29590,29780,300,ILB
2023-05-23,29960,30060,29960,30060,1400,ILB
2023-05-25,30060,30060,29960,30060,4000,ILB
2023-05-26,29310,30060,29310,30060,200,ILB
2023-05-29,30430,30430,30340,30340,1700,ILB
2023-06-01,30340,30340,30250,30340,13100,ILB
2023-06-02,29120,30290,29120,30290,1000,ILB
2023-06-05,30810,30810,30760,30760,2600,ILB
2023-06-06,32170,32170,32130,32130,300,ILB
2023-06-07,30150,30200,30150,30150,9800,ILB
2023-06-08,30060,30060,30060,30060,500,ILB
