time,open,high,low,close,volume,ticker
2023-01-03,8600,8600,8600,8600,200,ILC
2023-01-04,9800,9800,8500,9800,2600,ILC
2023-01-05,10000,10000,9300,9300,1600,ILC
2023-01-06,8600,10300,8600,8700,2100,ILC
2023-01-09,8700,10200,8700,10200,800,ILC
2023-01-10,8900,8900,8900,8900,100,ILC
2023-01-11,8600,8600,8600,8600,100,ILC
2023-01-13,7600,8100,7600,8100,4700,ILC
2023-01-16,7800,7800,7800,7800,19200,ILC
2023-01-17,6800,6800,6800,6800,200,ILC
2023-02-10,7800,7800,7800,7800,100,ILC
2023-02-15,8900,8900,8900,8900,1400,ILC
2023-02-16,10000,10200,8300,8500,1700,ILC
2023-02-20,8800,10900,8800,10500,5700,ILC
2023-02-22,9200,10700,9200,9300,8500,ILC
2023-02-23,8300,10800,8300,10800,14500,ILC
2023-02-24,10500,10500,10500,10500,1000,ILC
2023-02-27,10100,10100,10100,10100,100,ILC
2023-02-28,10100,10100,10100,10100,1700,ILC
2023-03-01,11000,11000,9100,10300,17400,ILC
2023-03-02,10300,10300,10200,10200,5200,ILC
2023-03-03,10300,10300,10300,10300,3000,ILC
2023-03-06,8900,8900,8900,8900,100,ILC
2023-03-07,10200,10200,8200,8200,3300,ILC
2023-03-08,8600,8600,8600,8600,100,ILC
2023-03-09,9800,9800,9000,9000,1200,ILC
2023-03-10,10400,10400,8600,8700,6500,ILC
2023-03-13,8500,10500,8500,9000,3500,ILC
2023-03-15,8600,10600,8600,9000,9100,ILC
2023-03-16,10500,10500,10400,10400,3700,ILC
2023-03-17,10500,10500,10500,10500,1200,ILC
2023-03-20,9100,9100,9100,9100,200,ILC
2023-03-21,8800,8800,8800,8800,100,ILC
2023-03-22,10100,10100,10100,10100,700,ILC
2023-03-23,9000,9000,9000,9000,100,ILC
2023-03-24,10300,10300,10300,10300,3000,ILC
2023-03-27,9300,9300,9300,9300,100,ILC
2023-03-31,8900,8900,8900,8900,2000,ILC
2023-04-04,8700,9900,8700,9300,3400,ILC
2023-04-05,9900,9900,9900,9900,100,ILC
2023-04-07,9300,9700,9300,9700,1300,ILC
