time,open,high,low,close,volume,ticker
2023-01-03,10410,10910,10410,10730,25300,ITD
2023-01-04,10910,11050,10820,10910,38100,ITD
2023-01-05,10910,10910,10770,10860,9300,ITD
2023-01-06,10860,10910,10640,10640,27600,ITD
2023-01-09,10450,10730,10450,10640,27900,ITD
2023-01-10,10550,11000,10550,10730,40100,ITD
2023-01-11,10910,11140,10730,10820,87700,ITD
2023-01-12,10910,11000,10820,10820,27400,ITD
2023-01-13,10820,10820,10640,10820,11500,ITD
2023-01-16,10820,11000,10450,10820,5600,ITD
2023-01-17,10820,11180,10820,11000,79200,ITD
2023-01-18,10910,11180,10820,11050,29300,ITD
2023-01-19,11000,11410,11000,11090,53900,ITD
2023-01-27,11820,11820,11140,11730,48200,ITD
2023-01-30,11820,12140,11730,11950,122900,ITD
2023-01-31,12000,12270,11860,12270,102300,ITD
2023-02-01,12730,12730,12270,12550,105800,ITD
2023-02-02,12550,12550,11910,12000,48000,ITD
2023-02-03,12000,12270,12000,12270,42100,ITD
2023-02-06,12450,12550,12000,12000,66000,ITD
2023-02-07,12000,12590,12000,12180,67900,ITD
2023-02-08,12180,12640,12140,12590,95700,ITD
2023-02-09,12590,12820,12450,12730,144100,ITD
2023-02-10,13050,13050,12500,12640,69700,ITD
2023-02-13,12700,12850,12100,12450,22400,ITD
2023-02-14,12100,12450,12100,12450,6500,ITD
2023-02-15,12000,12500,12000,12200,8800,ITD
2023-02-16,12750,12750,12200,12200,8800,ITD
2023-02-17,12600,12600,12200,12300,9400,ITD
2023-02-20,12100,12450,12000,12300,26200,ITD
2023-02-21,12300,12500,12150,12150,23500,ITD
2023-02-22,12200,12450,12150,12200,27800,ITD
2023-02-23,12200,12250,12000,12050,16800,ITD
2023-02-24,11800,12250,11800,12250,11300,ITD
2023-02-27,12250,12250,11500,12200,8800,ITD
2023-02-28,12200,12200,11800,11800,2000,ITD
2023-03-01,11900,12000,11800,11900,4700,ITD
2023-03-02,12150,12150,11800,11850,1600,ITD
2023-03-03,11750,11950,11600,11600,8800,ITD
2023-03-06,11950,11950,11600,11900,3100,ITD
2023-03-07,11500,12000,11500,11950,3900,ITD
2023-03-08,11850,11950,11800,11950,8500,ITD
2023-03-09,12200,12200,11650,11950,10900,ITD
2023-03-10,11800,11800,11600,11700,9500,ITD
2023-03-13,11700,11900,11600,11900,1600,ITD
2023-03-14,11750,11750,11350,11350,14100,ITD
2023-03-15,11250,12000,11250,11400,25400,ITD
2023-03-16,11050,11350,11050,11200,7600,ITD
2023-03-17,11700,11700,11250,11300,3000,ITD
2023-03-20,11300,11450,11050,11450,11500,ITD
2023-03-21,11200,11300,11000,11300,9200,ITD
2023-03-22,11450,11450,11450,11450,100,ITD
2023-03-23,11500,11500,11500,11500,100,ITD
2023-03-24,11550,11550,11450,11450,200,ITD
2023-03-27,11250,11250,11150,11200,2300,ITD
2023-03-28,11250,11250,11250,11250,1900,ITD
2023-03-29,11250,11250,11250,11250,300,ITD
2023-03-30,11050,11050,11050,11050,1100,ITD
2023-03-31,10950,10950,10650,10650,1600,ITD
2023-04-03,11000,11100,10950,10950,6200,ITD
2023-04-04,11100,11100,11100,11100,1100,ITD
2023-04-05,11100,11100,11100,11100,1100,ITD
2023-04-06,11200,11800,11200,11550,22400,ITD
2023-04-07,11650,11650,11300,11600,2800,ITD
2023-04-07,11650,11650,11650,11650,500,ITD
2023-04-10,11300,11300,11300,11300,200,ITD
2023-04-11,11300,11800,11250,11800,8200,ITD
2023-04-12,11700,11750,11350,11450,3600,ITD
2023-04-13,11650,11650,11350,11500,1200,ITD
2023-04-14,11350,11750,11350,11400,4100,ITD
2023-04-17,11550,11650,11350,11650,21400,ITD
2023-04-18,11350,11700,11350,11600,14800,ITD
2023-04-19,11400,11400,11350,11350,2000,ITD
2023-04-20,11500,11750,11500,11700,12400,ITD
2023-04-21,11750,12350,11700,11950,13300,ITD
2023-04-24,11300,11800,11300,11700,11200,ITD
2023-04-25,11700,11750,11700,11700,4900,ITD
2023-04-26,11700,11750,11700,11700,57500,ITD
2023-04-27,11750,11800,11700,11800,84700,ITD
2023-04-28,11800,11800,11500,11700,32100,ITD
2023-05-04,12300,12300,11450,11600,35400,ITD
2023-05-05,11600,12250,11600,12150,122600,ITD
2023-05-08,11500,12100,11500,11800,17800,ITD
2023-05-09,12100,12100,11700,11700,3300,ITD
2023-05-10,11700,11700,11700,11700,3500,ITD
2023-05-11,11650,11700,11650,11700,1200,ITD
2023-05-12,11800,11850,11800,11850,10300,ITD
2023-05-15,12050,12500,12050,12250,37900,ITD
2023-05-16,12500,12500,12250,12250,4200,ITD
2023-05-17,12200,12400,12200,12400,1800,ITD
2023-05-18,12000,12850,12000,12850,96200,ITD
2023-05-19,12750,12750,12100,12100,16200,ITD
2023-05-22,12300,13000,12300,12550,15700,ITD
2023-05-23,12900,12900,12000,12050,31800,ITD
2023-05-24,12100,12300,12100,12100,5000,ITD
2023-05-25,12000,12100,12000,12000,45300,ITD
2023-05-26,11750,12150,11750,12050,12500,ITD
2023-05-29,11850,12150,11800,12150,15100,ITD
2023-05-30,12150,12150,11950,12000,5500,ITD
2023-05-31,12000,12050,11950,12000,14700,ITD
2023-06-01,11950,12050,11900,11900,11200,ITD
2023-06-02,11950,12100,11900,12100,18700,ITD
2023-06-05,12100,12100,11900,12000,29600,ITD
2023-06-06,12000,12000,11850,11850,13200,ITD
2023-06-07,11950,11950,11900,11950,19900,ITD
2023-06-08,11950,12000,11750,12000,49800,ITD
2023-06-09,12000,12000,11800,11850,5600,ITD
2023-06-12,11850,11850,11700,11700,12700,ITD
2023-06-13,11700,11800,11700,11800,4000,ITD
2023-06-14,11800,11800,11550,11600,22900,ITD
2023-06-15,11600,11800,11600,11600,7000,ITD
2023-06-16,11600,11850,11600,11650,19000,ITD
2023-06-19,11500,11750,11500,11650,2600,ITD
2023-06-20,11650,11700,11600,11600,11500,ITD
2023-06-21,11600,11950,11600,11900,15600,ITD
2023-06-22,11650,11850,11650,11650,5100,ITD
2023-06-23,11800,11800,11600,11700,11700,ITD
2023-06-26,11700,11700,11650,11650,4600,ITD
2023-06-27,11600,11900,11500,11750,28400,ITD
2023-06-28,11850,12000,11700,11950,26500,ITD
2023-06-29,11950,11950,11650,11700,8900,ITD
2023-06-30,11600,11800,11600,11800,5100,ITD
2023-07-03,11900,12450,11850,11950,74200,ITD
2023-07-04,11800,11950,11700,11950,15800,ITD
2023-07-05,11950,12450,11800,12250,180100,ITD
2023-07-06,12100,12200,11800,12200,23300,ITD
2023-07-07,11800,11950,11600,11950,13500,ITD
2023-07-10,11950,12200,11700,11900,211000,ITD
2023-07-11,11900,11950,11750,11750,99400,ITD
2023-07-12,11800,11800,11700,11700,67900,ITD
2023-07-13,11700,11700,11600,11600,8200,ITD
2023-07-14,11600,11900,11500,11600,33700,ITD
2023-07-17,11600,11800,11600,11600,19200,ITD
2023-07-18,11600,11700,11500,11600,10600,ITD
2023-07-19,11650,11800,11600,11700,10300,ITD
2023-07-20,11800,12000,11550,11600,303100,ITD
2023-07-21,11550,11800,11550,11650,17200,ITD
2023-07-24,11550,11600,11550,11600,26500,ITD
2023-07-25,11600,11600,11500,11500,29800,ITD
2023-07-26,11500,11600,11450,11500,69900,ITD
2023-07-27,11500,11600,11500,11500,11100,ITD
2023-07-28,11500,11600,11300,11600,64700,ITD
2023-07-31,11450,11600,11300,11400,90300,ITD
2023-08-01,11500,11600,11400,11500,150500,ITD
2023-08-02,11400,11600,11350,11500,31200,ITD
2023-08-03,11300,11450,11250,11300,32500,ITD
2023-08-04,11300,11450,11250,11450,46800,ITD
2023-08-07,11350,11400,11250,11400,27700,ITD
2023-08-08,11250,11400,11250,11300,39700,ITD
2023-08-09,11300,11500,11250,11350,57900,ITD
2023-08-10,11400,11450,11250,11250,28500,ITD
2023-08-11,11250,11400,11000,11200,85600,ITD
