time,open,high,low,close,volume,ticker
2023-01-03,2600,2700,2500,2700,259800,ITQ
2023-01-04,2700,2700,2600,2700,122300,ITQ
2023-01-05,2700,2700,2600,2700,64800,ITQ
2023-01-06,2700,2700,2600,2700,74100,ITQ
2023-01-09,2700,2700,2600,2700,65000,ITQ
2023-01-10,2700,2700,2600,2600,151500,ITQ
2023-01-11,2800,2800,2600,2600,22600,ITQ
2023-01-12,2700,2700,2600,2600,30200,ITQ
2023-01-13,2500,2600,2500,2600,83200,ITQ
2023-01-16,2400,2500,2400,2500,204800,ITQ
2023-01-17,2500,2600,2400,2600,179000,ITQ
2023-01-18,2700,2700,2500,2600,390400,ITQ
2023-01-19,2600,2700,2500,2600,247600,ITQ
2023-01-27,2700,2700,2600,2600,272700,ITQ
2023-01-30,2600,2800,2600,2800,326400,ITQ
2023-01-31,2800,2800,2700,2800,393900,ITQ
2023-02-01,2800,2900,2700,2700,265800,ITQ
2023-02-02,2700,2800,2600,2600,109300,ITQ
2023-02-03,2700,2700,2600,2600,56800,ITQ
2023-02-06,2600,2700,2600,2700,102600,ITQ
2023-02-07,2700,2700,2600,2700,104200,ITQ
2023-02-08,2600,2700,2500,2600,72400,ITQ
2023-02-09,2600,2700,2600,2600,100600,ITQ
2023-02-10,2600,2600,2600,2600,41700,ITQ
2023-02-13,2500,2500,2400,2500,203900,ITQ
2023-02-14,2500,2500,2400,2500,36900,ITQ
2023-02-15,2500,2600,2400,2600,51800,ITQ
2023-02-16,2600,2600,2500,2500,36500,ITQ
2023-02-17,2500,2600,2400,2400,56600,ITQ
2023-02-20,2500,2600,2400,2600,139800,ITQ
2023-02-21,2700,2800,2600,2600,153600,ITQ
2023-02-22,2600,2700,2500,2700,74300,ITQ
2023-02-23,2600,2700,2500,2600,69100,ITQ
2023-02-24,2600,2700,2500,2600,110500,ITQ
2023-02-27,2600,2600,2500,2600,82400,ITQ
2023-02-28,2600,2600,2400,2500,47300,ITQ
2023-03-01,2400,2500,2400,2500,75700,ITQ
2023-03-02,2500,2600,2500,2500,68600,ITQ
2023-03-03,2500,2600,2400,2500,30500,ITQ
2023-03-06,2500,2500,2400,2500,88500,ITQ
2023-03-07,2500,2600,2400,2500,27900,ITQ
2023-03-08,2400,2500,2400,2500,15500,ITQ
2023-03-09,2500,2600,2400,2600,64000,ITQ
