time,open,high,low,close,volume,ticker
2023-01-03,3110,3250,3100,3200,351700,JVC
2023-01-04,3200,3250,3200,3200,270500,JVC
2023-01-05,3200,3200,3110,3180,274300,JVC
2023-01-06,3170,3200,3110,3120,246300,JVC
2023-01-09,3130,3170,3030,3030,496500,JVC
2023-01-10,3010,3070,3000,3020,316400,JVC
2023-01-11,3020,3070,3020,3020,398900,JVC
2023-01-12,3020,3080,3020,3050,170000,JVC
2023-01-13,3100,3100,3020,3020,231900,JVC
2023-01-16,3020,3050,2980,3000,346300,JVC
2023-01-17,3000,3100,3000,3050,276500,JVC
2023-01-18,3060,3090,3050,3080,246700,JVC
2023-01-19,3080,3180,3080,3160,386700,JVC
2023-01-27,3250,3250,3160,3200,354900,JVC
2023-01-30,3290,3420,3280,3420,1982100,JVC
2023-01-31,3420,3510,3320,3440,886900,JVC
2023-02-01,3500,3500,3200,3220,1034900,JVC
2023-02-02,3220,3250,3140,3220,491700,JVC
2023-02-03,3220,3250,3170,3220,311800,JVC
2023-02-06,3110,3220,3110,3200,311500,JVC
2023-02-07,3190,3230,3130,3150,611100,JVC
2023-02-08,3150,3180,3090,3120,394900,JVC
2023-02-09,3120,3150,3090,3090,463300,JVC
2023-02-10,3120,3180,3080,3080,359700,JVC
2023-02-13,3100,3100,2870,2870,809600,JVC
2023-02-14,2980,3000,2900,2930,269800,JVC
2023-02-15,3000,3030,2910,2990,232300,JVC
2023-02-16,3070,3070,2990,3040,159600,JVC
2023-02-17,3060,3060,3000,3010,233400,JVC
2023-02-20,3000,3150,3000,3130,651300,JVC
2023-02-21,3130,3190,3130,3150,782900,JVC
2023-02-22,3120,3330,3060,3200,1438600,JVC
2023-02-23,3200,3250,3050,3150,704300,JVC
2023-02-24,3300,3370,3250,3370,3899000,JVC
2023-02-27,3600,3600,3600,3600,1305200,JVC
2023-02-28,3850,3850,3350,3350,6042200,JVC
2023-03-01,3350,3450,3270,3390,606000,JVC
2023-03-02,3500,3550,3300,3300,1479600,JVC
2023-03-03,3350,3480,3230,3400,1452500,JVC
