time,open,high,low,close,volume,ticker
2023-01-04,5000,5500,5000,5500,1200,KCB
2023-01-05,5500,5500,5500,5500,1000,KCB
2023-01-06,5800,5800,5800,5800,5100,KCB
2023-01-10,5800,5800,5800,5800,900,KCB
2023-01-12,5500,5500,5500,5500,100,KCB
2023-01-16,5000,6100,5000,6100,500,KCB
2023-01-17,6100,6100,6100,6100,1700,KCB
2023-01-18,5300,5300,5300,5300,500,KCB
2023-01-19,6000,6000,6000,6000,1500,KCB
2023-01-27,6200,6200,6200,6200,7000,KCB
2023-01-30,7000,7000,7000,7000,100,KCB
2023-01-31,7700,7700,7700,7700,500,KCB
2023-02-01,7600,7600,7500,7500,900,KCB
2023-02-02,6400,7400,6400,7400,600,KCB
2023-02-03,6200,7000,6200,7000,300,KCB
2023-02-06,7500,7500,7500,7500,500,KCB
2023-02-10,7000,7000,6800,6800,900,KCB
2023-02-14,7000,7000,6000,6000,2700,KCB
2023-02-15,6200,6200,6100,6200,1200,KCB
2023-02-17,6600,6600,6200,6200,1100,KCB
2023-02-20,7100,7100,6400,6400,1300,KCB
2023-02-21,6800,6800,6600,6800,2800,KCB
2023-02-22,6100,6100,5800,5800,2700,KCB
2023-02-23,5200,5500,5200,5500,400,KCB
2023-02-24,4800,4800,4800,4800,300,KCB
2023-02-27,5400,5400,5400,5400,100,KCB
2023-02-28,6200,6200,5300,5300,2000,KCB
2023-03-01,5800,6700,5800,5900,400,KCB
2023-03-06,6500,6500,6500,6500,100,KCB
2023-03-07,5600,5600,5600,5600,2700,KCB
2023-03-08,6400,6400,6100,6100,200,KCB
2023-03-09,7200,7200,6000,6000,1000,KCB
2023-03-14,5200,5200,5200,5200,10500,KCB
2023-03-15,5100,5900,5100,5200,9500,KCB
2023-03-20,5000,5100,5000,5100,2500,KCB
2023-03-21,5100,5200,5100,5200,800,KCB
2023-03-22,5200,5200,5200,5200,700,KCB
2023-03-24,6100,6100,6100,6100,100,KCB
2023-03-27,6600,6600,5400,5400,200,KCB
2023-03-28,5500,5500,5500,5500,300,KCB
2023-03-29,5000,5000,4800,4800,11200,KCB
2023-03-30,5200,5200,5200,5200,3200,KCB
2023-03-31,5300,5300,5300,5300,300,KCB
2023-04-03,6200,6200,6200,6200,200,KCB
2023-04-04,5600,5700,5600,5700,2900,KCB
2023-04-05,5000,5000,5000,5000,9700,KCB
2023-04-06,5200,5200,5200,5200,2000,KCB
2023-04-07,5000,5200,5000,5200,8000,KCB
2023-04-07,5000,5000,5000,5000,1500,KCB
2023-04-10,5400,5600,5400,5600,9500,KCB
2023-04-11,5200,5200,5200,5200,200,KCB
2023-04-12,5500,5500,5500,5500,1000,KCB
2023-04-13,5400,5400,5200,5200,9700,KCB
2023-04-14,5600,5600,5600,5600,3500,KCB
2023-04-17,5300,5300,5300,5300,100,KCB
2023-04-18,5200,5200,5200,5200,2200,KCB
2023-04-19,5200,5800,5200,5800,4200,KCB
2023-04-20,5000,5200,5000,5200,28700,KCB
2023-04-21,5200,5200,5200,5200,200,KCB
2023-04-24,5500,5500,5200,5200,4200,KCB
2023-04-25,5400,5500,5400,5500,5100,KCB
2023-04-26,5500,5500,5500,5500,500,KCB
2023-04-27,5100,5200,5100,5200,3400,KCB
2023-04-28,5000,5100,5000,5100,16400,KCB
2023-05-08,5200,5200,5200,5200,3000,KCB
2023-05-09,5200,5200,5200,5200,5100,KCB
2023-05-11,5400,5400,5400,5400,1400,KCB
2023-05-12,5100,5100,5000,5000,65900,KCB
2023-05-15,5400,5400,5400,5400,100,KCB
2023-05-16,5300,5300,5200,5200,1300,KCB
2023-05-18,5200,5300,5200,5300,2300,KCB
2023-05-19,5300,5300,5300,5300,300,KCB
2023-05-23,5200,5200,5200,5200,5300,KCB
2023-05-24,5200,5200,5200,5200,1300,KCB
2023-05-26,5400,5400,5400,5400,100,KCB
2023-05-29,5300,5300,5200,5300,2500,KCB
2023-05-30,5300,5300,5200,5200,700,KCB
2023-05-31,5200,5300,5200,5300,4700,KCB
2023-06-01,5500,5500,5300,5400,3800,KCB
2023-06-02,5700,5700,5500,5500,6100,KCB
2023-06-05,5500,5500,5500,5500,200,KCB
2023-06-06,5300,5300,5300,5300,5100,KCB
2023-06-07,5500,5500,5500,5500,400,KCB
2023-06-08,5500,5500,5300,5300,1000,KCB
2023-06-09,5400,5400,5400,5400,1200,KCB
2023-06-12,5400,5400,5300,5400,17100,KCB
2023-06-13,5400,5600,5400,5600,14200,KCB
2023-06-14,5500,6300,5500,6300,54700,KCB
2023-06-15,6300,6500,6100,6100,9700,KCB
2023-06-16,5900,5900,5700,5800,19600,KCB
2023-06-19,5700,5800,5400,5500,19800,KCB
2023-06-20,6100,6100,5700,5900,5700,KCB
2023-06-21,5700,5800,5700,5800,3300,KCB
2023-06-22,5900,6200,5900,6100,14700,KCB
2023-06-23,6200,6200,6000,6000,20300,KCB
2023-06-26,6200,6200,5800,6000,30000,KCB
2023-06-27,5900,5900,5700,5800,5700,KCB
2023-06-28,5700,5800,5700,5800,1300,KCB
2023-06-29,5700,5700,5600,5600,1100,KCB
2023-06-30,5700,5700,5600,5600,1400,KCB
2023-07-03,5600,5600,5600,5600,200,KCB
2023-07-04,5600,5600,5500,5500,1400,KCB
2023-07-06,5500,5500,5400,5500,2700,KCB
2023-07-07,5500,5500,5500,5500,700,KCB
2023-07-10,5600,5600,5500,5600,3900,KCB
2023-07-11,5600,5700,5600,5700,6000,KCB
2023-07-13,5700,5700,5700,5700,3000,KCB
2023-07-14,5600,5700,5600,5700,1400,KCB
2023-07-17,5700,5700,5600,5700,3800,KCB
2023-07-18,5600,5700,5600,5700,3500,KCB
2023-07-20,5600,5700,5500,5600,11100,KCB
2023-07-21,5600,5600,5600,5600,4000,KCB
2023-07-24,5600,6000,5600,6000,8600,KCB
2023-07-25,6000,6000,5700,5700,600,KCB
2023-07-26,6000,6000,6000,6000,1600,KCB
2023-07-27,6000,6000,5900,5900,5800,KCB
2023-07-28,6000,6000,6000,6000,3800,KCB
2023-07-31,6000,6100,6000,6100,1100,KCB
2023-08-01,6200,6200,5900,6000,17600,KCB
2023-08-02,6100,6400,6100,6200,29300,KCB
2023-08-03,6400,6600,6400,6600,26800,KCB
2023-08-04,6700,6700,6500,6700,9700,KCB
2023-08-07,6700,6700,6400,6700,29200,KCB
2023-08-08,6800,6800,6700,6800,7700,KCB
2023-08-09,6800,6800,6800,6800,4100,KCB
2023-08-10,6900,7000,6900,7000,5200,KCB
2023-08-11,7000,7100,7000,7000,5200,KCB
2023-08-14,7000,7000,6900,6900,11700,KCB
2023-08-15,6900,6900,6900,6900,10200,KCB
2023-08-16,6800,6900,6800,6900,8100,KCB
2023-08-17,6900,6900,6500,6900,4200,KCB
2023-08-18,6700,6900,6700,6700,500,KCB
2023-08-21,6200,6700,6200,6700,2100,KCB
2023-08-22,6200,6600,6200,6600,900,KCB
2023-08-23,6700,6700,6700,6700,100,KCB
2023-08-24,6700,6800,6600,6800,4600,KCB
2023-08-25,6900,6900,6800,6800,200,KCB
