time,open,high,low,close,volume,ticker
2023-01-03,12900,12900,12200,12500,31000,KLB
2023-01-04,12400,12600,12000,12400,46200,KLB
2023-01-05,12100,12300,12000,12300,63500,KLB
2023-01-06,12400,12900,12300,12400,67100,KLB
2023-01-09,12500,12700,12400,12400,28100,KLB
2023-01-10,12500,12600,12100,12200,23300,KLB
2023-01-11,12000,12500,12000,12400,22000,KLB
2023-01-12,12300,12400,12000,12100,25800,KLB
2023-01-13,12800,12800,12100,12200,8800,KLB
2023-01-16,12300,12400,11600,12000,90400,KLB
2023-01-17,11800,12300,11800,11900,95200,KLB
2023-01-18,11900,12200,11900,11900,34200,KLB
2023-01-19,11900,12300,11900,12300,64600,KLB
2023-01-27,12300,12300,12000,12200,42900,KLB
2023-01-30,12300,12300,12000,12200,80600,KLB
2023-01-31,12200,12200,11900,12200,53100,KLB
2023-02-01,12200,12300,11500,12200,76200,KLB
2023-02-02,12100,12200,11800,12000,27300,KLB
2023-02-03,12100,12200,11900,12000,37000,KLB
2023-02-06,12000,12000,11800,11800,27700,KLB
2023-02-07,11800,12000,11800,11800,29100,KLB
2023-02-08,11900,11900,11600,11900,21800,KLB
2023-02-09,11700,11900,11700,11700,6200,KLB
2023-02-10,11700,11700,11500,11600,24000,KLB
2023-02-13,11500,11500,10600,10900,62700,KLB
2023-02-14,10500,11000,10200,10900,47400,KLB
2023-02-15,10900,11100,10500,11100,96200,KLB
2023-02-16,10800,11000,10800,10900,5300,KLB
2023-02-17,11000,11000,10500,11000,92500,KLB
2023-02-20,10900,11200,10400,11100,34400,KLB
2023-02-21,11200,11200,10900,11100,67800,KLB
2023-02-22,11000,11000,10700,10800,23100,KLB
2023-02-23,10700,10900,10700,10700,11100,KLB
2023-02-24,10900,10900,10700,10700,20000,KLB
2023-02-27,10500,10700,10300,10500,52400,KLB
2023-02-28,10700,10800,10700,10800,4400,KLB
2023-03-01,10800,11000,10700,11000,13200,KLB
2023-03-02,10900,10900,10600,10800,6700,KLB
2023-03-03,10600,11000,10600,10600,19300,KLB
2023-03-06,11000,11000,10700,10900,5000,KLB
2023-03-07,10900,11000,10700,10900,9700,KLB
2023-03-08,11000,11000,10700,10800,33600,KLB
2023-03-09,10900,11000,10800,10900,70500,KLB
2023-03-10,10900,11000,10700,10700,18600,KLB
2023-03-13,10700,11000,10700,11000,14000,KLB
2023-03-14,11000,11000,10500,10800,21000,KLB
2023-03-15,10700,11000,10700,10900,26300,KLB
2023-03-16,10800,11000,10800,10800,6400,KLB
2023-03-17,10800,10900,10800,10800,15100,KLB
2023-03-20,10700,11000,10700,10700,8300,KLB
2023-03-21,10700,10900,10700,10900,11500,KLB
2023-03-22,10900,10900,10700,10700,2100,KLB
2023-03-23,10900,10900,10800,10800,300,KLB
2023-03-24,10800,10800,10700,10700,8700,KLB
2023-03-27,10900,10900,10700,10700,800,KLB
2023-03-28,10800,10800,10800,10800,200,KLB
2023-03-29,10800,10800,10800,10800,2000,KLB
2023-03-30,10800,10800,10600,10600,7400,KLB
2023-03-31,10700,10700,10600,10600,3500,KLB
2023-04-03,10800,10800,10700,10800,21100,KLB
2023-04-04,10900,10900,10900,10900,100,KLB
2023-04-05,10800,10800,10800,10800,4900,KLB
2023-04-06,10800,10900,10800,10900,2200,KLB
2023-04-07,10800,10800,10700,10800,11300,KLB
2023-04-07,10800,10800,10800,10800,2400,KLB
2023-04-10,10900,11300,10800,11100,99400,KLB
2023-04-11,11000,11900,11000,11700,160900,KLB
2023-04-12,12000,12300,11800,12000,122100,KLB
2023-04-13,12100,12100,11500,11500,77600,KLB
2023-04-14,11900,11900,11400,11600,16200,KLB
2023-04-17,11400,11400,11400,11400,900,KLB
2023-04-18,11500,11500,11400,11400,4000,KLB
2023-04-19,11300,11400,11200,11300,5100,KLB
2023-04-20,11200,11200,11200,11200,15800,KLB
2023-04-21,11200,11300,11200,11300,13000,KLB
2023-04-24,11200,11200,11200,11200,100,KLB
2023-04-25,11200,11300,11000,11000,49300,KLB
2023-04-26,11000,11000,10900,10900,1300,KLB
2023-04-27,11000,11300,11000,11000,27100,KLB
2023-04-28,11100,11100,11100,11100,1000,KLB
2023-05-04,11200,11200,11200,11200,1000,KLB
2023-05-05,11100,11100,10900,11000,11400,KLB
2023-05-08,11000,11300,11000,11100,30300,KLB
2023-05-09,11100,11100,11100,11100,300,KLB
2023-05-10,11100,11100,11100,11100,400,KLB
2023-05-11,11100,11600,11100,11500,70300,KLB
2023-05-12,11500,11700,11300,11500,29500,KLB
2023-05-15,11600,11800,11600,11800,30000,KLB
2023-05-16,11600,11600,11300,11500,65300,KLB
2023-05-17,11400,11700,11400,11600,10400,KLB
2023-05-18,11500,11500,11500,11500,100,KLB
2023-05-19,11400,11500,11400,11500,28700,KLB
2023-05-22,11600,11600,11600,11600,33600,KLB
2023-05-23,11700,11700,11700,11700,9000,KLB
2023-05-24,11800,11900,11500,11500,29000,KLB
2023-05-25,11600,11600,11200,11300,36200,KLB
2023-05-26,11400,11400,11200,11300,21900,KLB
2023-05-29,11300,11400,11300,11400,43000,KLB
2023-05-30,11400,11500,11300,11400,39200,KLB
2023-05-31,11400,11400,11300,11400,32300,KLB
2023-06-01,11400,13000,11400,12900,285300,KLB
2023-06-02,12900,13800,12900,13800,224900,KLB
2023-06-05,14800,15700,14000,14500,359000,KLB
2023-06-06,14700,14800,13800,14700,145400,KLB
2023-06-07,14700,15000,13800,14600,112900,KLB
2023-06-08,14300,14900,14100,14100,131500,KLB
2023-06-09,14100,14400,13900,14300,103300,KLB
2023-06-12,14300,14600,13900,14600,110800,KLB
2023-06-13,14400,14800,14400,14800,79200,KLB
2023-06-14,14700,15100,14300,14400,83400,KLB
2023-06-15,14500,14500,14100,14300,59600,KLB
2023-06-16,14400,14500,13800,14300,123100,KLB
2023-06-19,14300,14300,13700,14000,81000,KLB
2023-06-20,13800,14000,13800,14000,33200,KLB
2023-06-21,14000,14000,13000,13900,53400,KLB
2023-06-22,13700,14400,13700,14400,121600,KLB
2023-06-23,14400,14400,14100,14100,59500,KLB
2023-06-26,14100,14200,13700,13900,66100,KLB
2023-06-27,13800,13900,13700,13800,87400,KLB
2023-06-28,13800,14000,13800,14000,84000,KLB
2023-06-29,13900,13900,13700,13700,29100,KLB
2023-06-30,13600,13800,13400,13600,34500,KLB
2023-07-03,13800,13800,13400,13800,12700,KLB
2023-07-04,13600,13800,13600,13800,21100,KLB
2023-07-05,13800,13800,13600,13700,13200,KLB
2023-07-06,13800,13800,13400,13500,47700,KLB
2023-07-07,13500,13500,13100,13300,32600,KLB
2023-07-10,13300,13600,13200,13300,43300,KLB
2023-07-11,13300,13700,13300,13600,36200,KLB
2023-07-12,13900,13900,13400,13500,16300,KLB
2023-07-13,13200,13600,13200,13500,28600,KLB
2023-07-14,13400,13600,13400,13600,37000,KLB
2023-07-17,13400,13600,13300,13600,52300,KLB
2023-07-18,13700,14300,13600,14000,75500,KLB
2023-07-19,14000,14300,13900,14000,83700,KLB
2023-07-20,14000,14100,13800,14100,70300,KLB
2023-07-21,14100,14200,13900,14000,28200,KLB
2023-07-24,13900,14200,13900,14200,51200,KLB
2023-07-25,14200,14400,14100,14100,51000,KLB
2023-07-26,13900,13900,13700,13800,47500,KLB
2023-07-27,13800,13900,13300,13700,67700,KLB
2023-07-28,13500,13700,13400,13500,44300,KLB
2023-07-31,14000,14000,13600,13700,45700,KLB
2023-08-01,13700,15000,13700,14300,191700,KLB
2023-08-02,14000,15500,14000,15200,212200,KLB
2023-08-03,15200,15300,14500,14900,96100,KLB
2023-08-04,14800,14900,14200,14800,126000,KLB
2023-08-07,14900,15100,14600,14600,107100,KLB
2023-08-08,15000,15200,14700,14800,99100,KLB
2023-08-09,14800,14900,14500,14700,41400,KLB
2023-08-10,14600,15200,14600,14900,116400,KLB
2023-08-11,15000,15000,14500,14900,78200,KLB
2023-08-14,14800,14800,14600,14600,40800,KLB
2023-08-15,14600,14700,14500,14600,46700,KLB
2023-08-16,14600,15200,14500,15200,123900,KLB
2023-08-17,15200,15400,14700,15000,84300,KLB
2023-08-18,15000,15000,13700,14000,71200,KLB
2023-08-21,13700,13900,12900,13600,90500,KLB
2023-08-22,13200,13400,12800,13400,42300,KLB
2023-08-23,13400,13700,13300,13300,8800,KLB
2023-08-24,13200,13400,13000,13400,53200,KLB
2023-08-25,13300,13500,13200,13300,35000,KLB
2023-08-28,13500,13500,13200,13400,22800,KLB
2023-08-29,13500,13700,13300,13500,32400,KLB
2023-08-30,13500,13600,13400,13600,24600,KLB
2023-08-31,13500,13600,13500,13600,30300,KLB
2023-09-05,13600,14000,13600,13900,56300,KLB
2023-09-06,13800,14200,13700,13900,48000,KLB
2023-09-07,13900,14100,13900,13900,51400,KLB
