time,open,high,low,close,volume,ticker
2023-01-03,38100,38600,38100,38600,497000,KOS
2023-01-04,38800,39100,38650,38650,481900,KOS
2023-01-05,38600,38600,38300,38300,442900,KOS
2023-01-06,38400,38600,38100,38200,306500,KOS
2023-01-09,38200,38300,37600,37600,386900,KOS
2023-01-10,37200,37200,35700,35750,486700,KOS
2023-01-11,35800,35950,35700,35850,374700,KOS
2023-01-12,35850,36000,35800,35900,382900,KOS
2023-01-13,35900,35900,35700,35900,374600,KOS
2023-01-16,35900,36050,35700,36000,455700,KOS
2023-01-17,36100,36200,36000,36050,356200,KOS
2023-01-19,36250,36300,36200,36250,293700,KOS
2023-01-27,36300,36350,36250,36350,238500,KOS
2023-01-31,36250,36250,36000,36200,429600,KOS
2023-02-01,36300,36300,36150,36150,379800,KOS
2023-02-03,36050,36300,35900,36300,558700,KOS
2023-02-06,36800,36800,36350,36400,426600,KOS
2023-02-07,36300,36350,36200,36300,437500,KOS
2023-02-08,36750,36750,36300,36400,491400,KOS
2023-02-09,36400,36400,36300,36350,360100,KOS
2023-02-10,36350,36650,36200,36650,355200,KOS
2023-02-13,37000,37000,36400,36550,465300,KOS
2023-02-14,36550,36900,36550,36600,413400,KOS
2023-02-15,36600,37000,36400,36950,438300,KOS
2023-02-16,36900,37250,36700,37150,426100,KOS
2023-02-17,37000,37350,37000,37300,321900,KOS
2023-02-20,37300,38000,37300,37600,719700,KOS
2023-02-21,37700,37850,37600,37650,466100,KOS
2023-02-22,37650,37800,37500,37500,472600,KOS
2023-02-23,37700,37700,37500,37550,316900,KOS
2023-02-24,37300,37700,37300,37600,343200,KOS
2023-02-27,37500,37650,37400,37600,369100,KOS
2023-02-28,37400,37800,37300,37800,365500,KOS
2023-03-01,37800,38100,37600,37800,427600,KOS
2023-03-02,37600,37900,37600,37800,397700,KOS
2023-03-03,37800,37900,37650,37700,370900,KOS
2023-03-06,37500,38100,37500,37950,460400,KOS
2023-03-07,38200,38200,38000,38000,435700,KOS
2023-03-08,38300,38300,37900,38050,354800,KOS
2023-03-09,38000,38300,37900,38100,421900,KOS
2023-03-10,38100,38300,38000,38300,361200,KOS
2023-03-13,38400,38600,38200,38350,474900,KOS
2023-03-14,38300,38500,37900,37900,375300,KOS
2023-03-15,37900,38400,37900,38100,389500,KOS
2023-03-16,38000,38300,38000,38150,351400,KOS
2023-03-17,38200,38250,37800,37800,491600,KOS
2023-03-20,37800,38000,37500,37500,378300,KOS
2023-03-21,37500,37800,37500,37700,416500,KOS
2023-03-22,37700,38150,37700,38000,301200,KOS
2023-03-23,38000,38150,38000,38100,338500,KOS
2023-03-24,38100,38300,38000,38150,320100,KOS
2023-03-27,38000,38400,38000,38250,341300,KOS
2023-03-28,38150,38250,38000,38150,300800,KOS
2023-03-29,38200,38400,38050,38100,307800,KOS
2023-03-30,38100,38400,38100,38150,273700,KOS
2023-03-31,38400,38400,38150,38250,301700,KOS
2023-04-03,38200,38450,38200,38250,311800,KOS
2023-04-04,38200,38200,38100,38150,319400,KOS
2023-04-05,38300,38350,38000,38350,599000,KOS
2023-04-06,38200,38300,38100,38300,432700,KOS
2023-04-07,38100,38200,38000,38000,170500,KOS
2023-04-10,37700,37800,37700,37750,473100,KOS
2023-04-11,37700,37700,37500,37550,298600,KOS
2023-04-12,37900,37900,37800,37900,351100,KOS
2023-04-13,37800,38000,37700,37900,304600,KOS
2023-04-14,37900,38200,37900,37950,289200,KOS
2023-04-17,37950,38050,37800,38050,294100,KOS
2023-04-18,38000,38050,37850,37850,309200,KOS
2023-04-19,37850,38000,37850,38000,302500,KOS
2023-04-20,38000,38050,37800,37950,293600,KOS
2023-04-21,38000,38000,37800,37800,292700,KOS
2023-04-24,37800,37900,37750,37750,300700,KOS
2023-04-25,37800,37800,37500,37500,303100,KOS
2023-04-26,37800,37850,37750,37850,342000,KOS
2023-04-27,37850,38150,37850,37900,268500,KOS
2023-04-28,37900,38100,37850,37900,320100,KOS
2023-05-04,37900,37900,37750,37750,289600,KOS
2023-05-05,37800,37850,37750,37750,293200,KOS
2023-05-08,37750,37850,37750,37800,206800,KOS
2023-05-09,37900,38000,37900,37950,361200,KOS
2023-05-10,37900,38000,37700,37950,284800,KOS
2023-05-11,37950,38400,37800,38000,381400,KOS
2023-05-12,38000,38050,37900,38050,400000,KOS
2023-05-15,38100,38200,38050,38150,308500,KOS
2023-05-16,38150,38400,38150,38300,380400,KOS
2023-05-17,38300,38350,38300,38350,510200,KOS
2023-05-18,38350,38400,38200,38400,285000,KOS
2023-05-19,38400,38500,38300,38500,303400,KOS
2023-05-22,38200,38350,38000,38250,395900,KOS
2023-05-23,38300,38400,38300,38350,318500,KOS
2023-05-24,38350,38400,38350,38400,309400,KOS
2023-05-25,38400,38450,38200,38450,314600,KOS
2023-05-26,38700,38700,38450,38500,309400,KOS
2023-05-29,38550,38600,38500,38500,322100,KOS
2023-05-30,38550,38550,38400,38400,348500,KOS
2023-05-31,38450,38650,38350,38350,428700,KOS
2023-06-01,38350,38450,38300,38400,355900,KOS
2023-06-02,38400,38450,38400,38450,303900,KOS
2023-06-05,38450,38550,38450,38500,621000,KOS
2023-06-06,38500,38800,38500,38550,403700,KOS
2023-06-07,38600,38600,38550,38550,288700,KOS
2023-06-08,38550,38600,38550,38600,340000,KOS
2023-06-09,38600,38850,38600,38650,324700,KOS
2023-06-12,38700,38700,38500,38550,319300,KOS
2023-06-13,38550,38750,38450,38450,389100,KOS
2023-06-14,38500,38550,38450,38500,404900,KOS
2023-06-15,38500,38750,38450,38450,375600,KOS
2023-06-16,38500,38550,38400,38500,357600,KOS
2023-06-19,38500,38600,38200,38200,281100,KOS
2023-06-20,38200,38300,38100,38100,315400,KOS
2023-06-21,38200,38200,37700,38000,330100,KOS
2023-06-22,38050,38150,38050,38100,372500,KOS
2023-06-23,38100,38200,38100,38200,298800,KOS
2023-06-26,38200,38300,38200,38250,306200,KOS
2023-06-27,38300,38300,38100,38200,291200,KOS
2023-06-28,38200,38200,38100,38150,306500,KOS
2023-06-29,38150,38400,38100,38100,296100,KOS
2023-06-30,38100,38350,38050,38100,323400,KOS
2023-07-03,38100,38200,37950,38000,383800,KOS
2023-07-04,38050,38050,38000,38000,284800,KOS
2023-07-05,38000,38100,38000,38050,283400,KOS
2023-07-06,38050,38100,37700,37700,301100,KOS
2023-07-07,37700,37950,37500,37800,294800,KOS
2023-07-10,37800,38000,37800,38000,416800,KOS
2023-07-11,38000,38250,38000,38050,310800,KOS
2023-07-12,38050,38150,38050,38050,301100,KOS
2023-07-13,38050,38150,38050,38100,444400,KOS
2023-07-14,38100,38400,38000,38150,342100,KOS
2023-07-17,38150,38250,38150,38200,318400,KOS
2023-07-18,38250,38500,38200,38300,308900,KOS
2023-07-19,38300,38550,38200,38350,304300,KOS
2023-07-20,38350,38500,38300,38400,305600,KOS
2023-07-21,38400,38700,38400,38450,326100,KOS
2023-07-24,38450,38550,38450,38500,353600,KOS
2023-07-25,38500,38700,38500,38550,318700,KOS
2023-07-26,38900,38900,38600,38650,384700,KOS
2023-07-27,38900,38900,38650,38750,294100,KOS
2023-07-28,38900,38900,38750,38800,320000,KOS
2023-07-31,38800,39000,38800,38850,433300,KOS
2023-08-01,38850,39250,38850,38950,291100,KOS
2023-08-02,38950,39000,38750,39000,316800,KOS
2023-08-03,39000,39400,39000,39050,298100,KOS
2023-08-04,39050,39050,38900,38950,306000,KOS
2023-08-07,39000,39000,38950,39000,371800,KOS
2023-08-08,39000,39050,38800,38850,297800,KOS
2023-08-09,38900,38950,38900,38950,307000,KOS
2023-08-10,38950,39050,38950,38950,256200,KOS
2023-08-11,38950,39350,38950,38950,308800,KOS
2023-08-14,38950,39050,38950,39000,303700,KOS
2023-08-15,39000,39050,39000,39050,309300,KOS
2023-08-16,39050,39500,39050,39200,312900,KOS
2023-08-17,39200,39300,39200,39300,300000,KOS
2023-08-18,39300,39600,39250,39300,316100,KOS
2023-08-21,39300,39600,39300,39350,314700,KOS
2023-08-22,39600,39700,39300,39400,317200,KOS
2023-08-23,39400,39500,39400,39500,247000,KOS
2023-08-24,39750,39750,39500,39500,318500,KOS
2023-08-25,39600,39600,39400,39500,298900,KOS
2023-08-28,39500,39600,39500,39550,311500,KOS
2023-08-29,39550,39600,39500,39500,320900,KOS
2023-08-30,39500,39550,39500,39550,290400,KOS
2023-08-31,39550,39650,39550,39550,285700,KOS
2023-09-05,39550,39600,39550,39550,229900,KOS
2023-09-06,39550,39550,39400,39400,277200,KOS
2023-09-07,39400,39500,39350,39500,312500,KOS
2023-09-08,39500,39600,39350,39500,305600,KOS
2023-09-11,39500,39500,39200,39200,320400,KOS
2023-09-12,39300,39600,39200,39200,311300,KOS
2023-09-13,39200,39300,39100,39100,305700,KOS
2023-09-14,39100,39550,39100,39150,286100,KOS
2023-09-15,39150,39650,39150,39200,308300,KOS
2023-09-18,39200,39300,39200,39300,310400,KOS
2023-09-19,39300,39750,39300,39350,330200,KOS
2023-09-20,39350,39750,39350,39350,263300,KOS
2023-09-21,39350,39450,39350,39350,344400,KOS
2023-09-22,39350,39800,39350,39350,307100,KOS
2023-09-25,39350,39750,39200,39300,303100,KOS
2023-09-26,39300,39750,39300,39350,390000,KOS
2023-09-27,39350,39750,39350,39400,318500,KOS
2023-09-28,39400,39850,39300,39300,301400,KOS
2023-09-29,39300,39800,39300,39300,418700,KOS
2023-10-02,39300,39400,39300,39350,303800,KOS
2023-10-03,39800,39800,39250,39350,308700,KOS
2023-10-04,39450,39750,39350,39350,319400,KOS
2023-10-05,39350,39750,39350,39400,313100,KOS
2023-10-06,39400,39900,39400,39450,434000,KOS
2023-10-09,39450,39500,39250,39250,586600,KOS
2023-10-10,39250,39700,39250,39300,545500,KOS
2023-10-11,39300,39800,39300,39350,571400,KOS
2023-10-12,39350,39800,39350,39400,595100,KOS
2023-10-13,39500,39800,39350,39400,368800,KOS
