time,open,high,low,close,volume,ticker
2023-01-03,5600,6000,5300,6000,30300,KSD
2023-01-05,5500,5600,5400,5600,8900,KSD
2023-01-06,5600,5700,5600,5700,3900,KSD
2023-01-09,6000,6000,5900,5900,300,KSD
2023-01-10,5400,5500,5400,5500,1500,KSD
2023-01-11,5700,5700,5600,5600,3700,KSD
2023-01-12,5800,5800,5600,5600,3100,KSD
2023-01-13,5800,5800,5600,5700,2900,KSD
2023-01-16,5700,5700,5700,5700,7100,KSD
2023-01-17,5800,5800,5800,5800,12700,KSD
2023-01-18,5600,5600,5600,5600,1200,KSD
2023-01-19,5500,6100,5500,6100,13500,KSD
2023-01-27,5700,6200,5700,6200,4000,KSD
2023-01-30,5900,6200,5900,6100,16400,KSD
2023-01-31,5700,6200,5700,6200,200,KSD
2023-02-01,6000,6000,6000,6000,16500,KSD
2023-02-02,5600,6200,5600,6200,1900,KSD
2023-02-03,6200,6300,6100,6300,7400,KSD
2023-02-06,6300,6500,6300,6500,7500,KSD
2023-02-08,6100,6900,6100,6800,4300,KSD
2023-02-09,6300,6700,6200,6700,6300,KSD
2023-02-10,6900,6900,6200,6300,4000,KSD
2023-02-13,6400,6400,5800,5800,400,KSD
2023-02-14,6300,6300,5500,6300,27000,KSD
2023-02-15,6400,6400,6400,6400,100,KSD
2023-02-16,6600,6600,6300,6300,500,KSD
2023-02-17,6300,6500,6300,6500,200,KSD
2023-02-20,6500,6600,6500,6600,300,KSD
2023-02-21,6700,6700,6300,6600,2200,KSD
2023-02-23,6400,6400,6400,6400,100,KSD
2023-02-24,6500,6600,6500,6600,1000,KSD
2023-02-27,6200,6200,6000,6000,19300,KSD
2023-02-28,5900,5900,5600,5600,33000,KSD
2023-03-01,6100,6100,6100,6100,200,KSD
2023-03-02,6100,6100,6100,6100,200,KSD
2023-03-03,6300,6300,6300,6300,100,KSD
2023-03-06,6400,6400,6400,6400,100,KSD
2023-03-07,6400,6400,6400,6400,900,KSD
2023-03-08,6500,6500,6500,6500,200,KSD
2023-03-09,6300,6600,6300,6400,34700,KSD
2023-03-10,6400,6500,6200,6300,21200,KSD
2023-03-13,6300,6300,6000,6200,15700,KSD
2023-03-14,6200,6200,6000,6000,16800,KSD
2023-03-15,6000,6100,6000,6100,20700,KSD
2023-03-16,6100,6200,6100,6200,12000,KSD
2023-03-17,6200,6200,6200,6200,15000,KSD
2023-03-20,6100,6100,6100,6100,16500,KSD
2023-03-21,6100,6100,6000,6100,15200,KSD
2023-03-22,6000,6000,6000,6000,3000,KSD
2023-03-23,6100,6100,6100,6100,4000,KSD
2023-03-24,6100,6100,6100,6100,2500,KSD
2023-03-27,6100,6100,6100,6100,4500,KSD
2023-03-28,6000,6100,6000,6100,13000,KSD
2023-03-29,6100,6100,6100,6100,1800,KSD
2023-03-30,6000,6000,6000,6000,2500,KSD
2023-03-31,6100,6100,6100,6100,9500,KSD
2023-04-03,6000,6000,6000,6000,7900,KSD
2023-04-04,6000,6100,6000,6100,5400,KSD
2023-04-05,6200,6200,6200,6200,3000,KSD
2023-04-06,6200,6200,6200,6200,6000,KSD
2023-04-07,6300,6400,6200,6400,10900,KSD
2023-04-07,6300,6300,6300,6300,5000,KSD
2023-04-10,6400,6400,6200,6200,36400,KSD
2023-04-11,6200,6300,6200,6300,18000,KSD
2023-04-12,6100,6100,6100,6100,2600,KSD
2023-04-13,6100,6200,6100,6200,15200,KSD
2023-04-14,6100,6100,6100,6100,13400,KSD
2023-04-17,6100,6100,6100,6100,5500,KSD
2023-04-18,6000,6000,6000,6000,5000,KSD
2023-04-19,6000,6000,6000,6000,10000,KSD
2023-04-20,6000,6000,6000,6000,2500,KSD
2023-04-21,6000,6000,6000,6000,25000,KSD
2023-04-24,5900,5900,5900,5900,39100,KSD
2023-04-25,5900,5900,5900,5900,10700,KSD
2023-04-26,5800,5800,5800,5800,7000,KSD
2023-04-27,5800,5900,5700,5700,17800,KSD
2023-04-28,5800,5900,5800,5900,18800,KSD
2023-05-04,5800,5900,5700,5700,24700,KSD
2023-05-05,5900,6000,5900,6000,10100,KSD
2023-05-08,6100,6500,6100,6200,40400,KSD
2023-05-09,6200,6200,6000,6000,12900,KSD
2023-05-10,6000,6000,5900,5900,31900,KSD
2023-05-11,5900,6000,5900,5900,23600,KSD
2023-05-12,6100,6100,6000,6000,17500,KSD
2023-05-15,6000,6000,6000,6000,100,KSD
2023-05-16,6000,6000,6000,6000,21600,KSD
2023-05-17,6000,6000,6000,6000,4400,KSD
2023-05-18,6400,6400,6300,6300,26700,KSD
2023-05-19,6100,6100,6000,6000,12600,KSD
2023-05-22,6100,6100,6000,6100,11700,KSD
2023-05-23,6000,6000,6000,6000,5000,KSD
2023-05-24,6000,6200,6000,6200,26800,KSD
2023-05-25,6100,6200,6100,6200,30700,KSD
2023-05-26,6100,6100,6100,6100,16600,KSD
2023-05-29,6100,6200,6100,6100,40600,KSD
2023-05-30,6100,6700,6100,6300,114700,KSD
2023-05-31,6300,6500,6300,6400,54200,KSD
2023-06-01,6400,6600,6300,6400,65500,KSD
2023-06-02,6400,6600,6400,6600,106100,KSD
2023-06-05,6600,6700,6600,6600,51500,KSD
2023-06-06,6600,6600,6400,6500,56600,KSD
2023-06-07,6500,6600,6500,6500,41900,KSD
2023-06-08,6500,6600,6500,6500,40700,KSD
2023-06-09,6500,6600,6500,6500,41100,KSD
2023-06-12,6500,6800,6500,6800,123000,KSD
2023-06-13,6800,6800,6700,6800,69100,KSD
2023-06-14,6700,6900,6600,6600,84200,KSD
2023-06-15,6600,6700,6600,6600,62100,KSD
2023-06-16,6600,6800,6600,6700,73600,KSD
2023-06-19,6700,6700,6400,6500,52900,KSD
2023-06-20,6500,6600,6500,6600,41100,KSD
2023-06-21,6600,6700,6600,6700,50600,KSD
2023-06-22,6700,6700,6600,6700,55500,KSD
2023-06-23,6600,6700,6600,6700,46500,KSD
2023-06-26,6700,6700,6400,6600,60800,KSD
2023-06-27,6600,6700,6600,6700,50900,KSD
2023-06-28,6700,6700,6500,6500,45800,KSD
2023-06-29,6500,6500,6400,6400,43000,KSD
2023-06-30,6400,6500,6300,6300,47300,KSD
2023-07-03,6300,6400,6200,6300,42400,KSD
2023-07-04,6300,6300,6200,6300,46600,KSD
2023-07-05,6300,6300,6300,6300,42800,KSD
2023-07-06,6300,6300,6100,6300,83300,KSD
2023-07-07,6300,6500,6300,6500,48500,KSD
2023-07-10,6500,6500,6400,6500,47100,KSD
2023-07-11,6400,6500,6400,6500,42300,KSD
2023-07-12,6400,6400,6300,6400,40700,KSD
2023-07-13,6400,6400,6200,6400,40900,KSD
2023-07-14,6300,6400,6300,6300,21400,KSD
2023-07-17,6300,6300,6200,6300,42400,KSD
2023-07-18,6300,6300,6200,6300,39800,KSD
2023-07-19,6200,6300,6100,6200,40600,KSD
2023-07-20,6100,6100,6100,6100,39000,KSD
2023-07-21,6100,6200,6000,6100,30300,KSD
2023-07-24,6100,6100,6100,6100,13500,KSD
2023-07-25,6100,6100,6100,6100,51500,KSD
2023-07-26,6000,6100,6000,6100,41000,KSD
2023-07-27,6100,6100,6000,6100,21500,KSD
2023-07-28,6100,6300,6100,6300,47000,KSD
2023-07-31,6300,6300,6300,6300,27800,KSD
2023-08-01,6300,6600,6300,6400,62000,KSD
2023-08-02,6400,6600,6400,6400,48000,KSD
2023-08-03,6300,6300,6200,6200,25700,KSD
2023-08-04,6200,6200,6000,6100,63200,KSD
2023-08-07,6100,6100,6100,6100,32300,KSD
2023-08-08,6100,6100,6000,6100,41000,KSD
2023-08-09,6100,6100,6000,6100,27800,KSD
2023-08-10,6100,6100,6000,6000,33800,KSD
2023-08-11,6000,6000,5800,6000,83300,KSD
2023-08-14,6000,6000,5900,6000,46500,KSD
2023-08-15,6000,6000,5900,6000,30300,KSD
2023-08-16,6000,6000,5900,5900,31300,KSD
2023-08-17,5900,5900,5800,5800,39300,KSD
2023-08-18,5800,5800,5600,5700,69200,KSD
2023-08-21,5700,6000,5700,5900,50300,KSD
2023-08-22,5900,6100,5800,5800,41800,KSD
2023-08-23,5900,6000,5800,5900,34200,KSD
2023-08-24,6000,6000,5900,5900,25200,KSD
2023-08-25,5900,6000,5900,5900,22600,KSD
2023-08-28,5900,6000,5900,6000,28700,KSD
2023-08-29,5900,5900,5800,5900,27400,KSD
2023-08-30,5900,5900,5800,5900,28300,KSD
2023-08-31,5900,5900,5800,5900,27400,KSD
2023-09-05,5900,5900,5800,5900,21500,KSD
2023-09-06,5900,6000,5800,5900,27700,KSD
2023-09-07,5800,5800,5800,5800,12200,KSD
2023-09-08,5800,5900,5800,5900,15100,KSD
2023-09-11,5800,5800,5800,5800,12300,KSD
2023-09-12,5800,5800,5700,5700,18000,KSD
2023-09-13,5700,5700,5700,5700,11200,KSD
2023-09-14,5700,5700,5400,5400,33400,KSD
2023-09-15,5400,5400,5000,5200,70200,KSD
2023-09-18,5100,5200,5100,5200,15400,KSD
2023-09-19,5200,5200,5100,5200,14400,KSD
2023-09-20,5100,5200,5100,5200,11200,KSD
2023-09-21,5200,5200,5200,5200,10100,KSD
2023-09-22,5100,5200,5000,5100,19700,KSD
2023-09-25,5000,5100,5000,5100,13500,KSD
2023-09-26,5100,5100,5000,5100,11900,KSD
2023-09-27,5000,5000,5000,5000,12300,KSD
2023-09-28,5000,5100,4900,5100,14100,KSD
2023-09-29,5000,5100,5000,5000,15500,KSD
2023-10-02,5000,5100,5000,5000,14800,KSD
2023-10-03,5000,5000,4900,5000,24500,KSD
2023-10-04,4900,5000,4900,5000,15200,KSD
2023-10-05,4900,5000,4900,5000,11300,KSD
2023-10-06,5000,5000,4900,5000,11600,KSD
2023-10-09,4900,5100,4900,5100,11800,KSD
2023-10-10,5000,5100,5000,5100,11200,KSD
2023-10-11,5100,5200,5000,5200,20700,KSD
2023-10-12,5200,5500,5200,5300,78200,KSD
2023-10-13,5300,5300,5200,5200,13300,KSD
