time,open,high,low,close,volume,ticker
2023-01-03,3000,3000,3000,3000,300,L45
2023-01-04,3100,3100,3100,3100,100,L45
2023-01-12,3200,3200,3200,3200,100,L45
2023-01-30,2800,2900,2800,2800,2200,L45
2023-01-31,3200,3200,2400,2400,17500,L45
2023-02-01,2700,2700,2700,2700,1100,L45
2023-02-03,2900,2900,2700,2700,200,L45
2023-02-06,2800,2800,2800,2800,1000,L45
2023-02-17,2400,2400,2400,2400,6500,L45
2023-02-20,2700,2700,2700,2700,100,L45
2023-02-21,2500,2500,2400,2400,1200,L45
2023-02-24,2400,2400,2400,2400,2100,L45
2023-02-28,2500,2500,2400,2400,5300,L45
2023-03-01,2400,2400,2400,2400,100,L45
2023-03-02,2400,2400,2400,2400,3300,L45
2023-03-10,2100,2100,2100,2100,11100,L45
2023-03-13,2400,2400,2300,2300,18100,L45
2023-03-14,2600,2700,2400,2600,12800,L45
2023-03-15,2200,2800,2200,2700,3300,L45
2023-03-16,2500,2500,2100,2400,10400,L45
2023-03-17,2500,2600,2400,2400,14700,L45
2023-03-20,2600,2600,2600,2600,7600,L45
2023-03-21,2600,2600,2600,2600,400,L45
2023-03-22,2400,2400,2400,2400,1100,L45
2023-03-23,2600,2600,2600,2600,700,L45
2023-03-24,2300,2300,2300,2300,1200,L45
2023-03-27,2600,2600,2300,2300,200,L45
2023-03-28,2600,2600,2600,2600,300,L45
2023-03-29,2600,2600,2600,2600,100,L45
2023-03-30,2900,2900,2900,2900,2000,L45
2023-03-31,3300,3300,3300,3300,2000,L45
2023-04-03,3700,3700,3700,3700,13000,L45
2023-04-04,3100,3100,3100,3100,500,L45
2023-04-05,2700,2700,2700,2700,4800,L45
2023-04-06,2900,2900,2900,2900,100,L45
2023-04-07,2600,2600,2600,2600,2100,L45
2023-04-10,2600,2600,2600,2600,1500,L45
2023-04-11,2700,2800,2700,2800,200,L45
2023-04-13,2600,2600,2600,2600,100,L45
2023-04-14,2600,2600,2600,2600,2900,L45
2023-04-17,2600,2600,2600,2600,100,L45
2023-04-18,2700,2700,2600,2600,1600,L45
2023-04-19,2500,2500,2500,2500,100,L45
2023-04-20,2400,2600,2400,2600,700,L45
2023-04-24,2600,2600,2600,2600,3000,L45
2023-04-25,2400,2400,2400,2400,500,L45
2023-04-26,2400,2600,2400,2600,600,L45
2023-04-27,2900,2900,2900,2900,100,L45
2023-04-28,2600,2600,2600,2600,1200,L45
2023-05-04,2400,2400,2400,2400,2600,L45
2023-05-05,2700,2700,2700,2700,4000,L45
2023-05-08,2500,2500,2500,2500,1200,L45
2023-05-09,2800,2800,2800,2800,3500,L45
2023-05-10,2400,3000,2400,2900,5400,L45
2023-05-11,2600,2600,2600,2600,10000,L45
2023-05-12,2700,3000,2700,2900,3700,L45
2023-05-15,2800,3300,2800,3300,17200,L45
