time,open,high,low,close,volume,ticker
2023-02-14,46200,46200,46200,46200,100,LAI
2023-02-15,39300,39300,39300,39300,100,LAI
2023-02-16,33500,33500,33500,33500,100,LAI
2023-02-20,31500,31500,31500,31500,400,LAI
2023-02-21,31700,31700,31500,31500,7600,LAI
2023-03-07,31500,31500,31500,31500,500,LAI
2023-03-08,31500,31500,30000,30000,1500,LAI
2023-03-10,27100,30500,27100,30500,200,LAI
2023-03-13,31000,31200,28000,28000,4000,LAI
2023-03-14,35400,35400,28200,28200,1800,LAI
2023-03-16,30000,30000,28000,28000,2200,LAI
2023-03-17,28500,28500,28500,28500,800,LAI
2023-03-20,29000,29000,28000,28000,1000,LAI
2023-03-21,28400,28400,28000,28000,900,LAI
2023-03-22,28500,28500,28000,28000,2500,LAI
2023-03-27,30300,30300,30300,30300,300,LAI
2023-03-28,33000,33000,33000,33000,300,LAI
2023-03-29,36600,37000,30600,30600,1600,LAI
2023-03-30,34500,34500,34500,34500,200,LAI
2023-03-31,36000,36000,36000,36000,900,LAI
2023-04-05,37400,37400,37400,37400,100,LAI
2023-04-10,37900,37900,37900,37900,200,LAI
2023-04-11,37500,37500,37500,37500,500,LAI
2023-04-12,37800,37900,37800,37900,1600,LAI
2023-04-14,36000,36000,36000,36000,2000,LAI
2023-04-17,35000,35000,35000,35000,1100,LAI
2023-04-19,34600,34600,34600,34600,600,LAI
2023-04-24,35000,35000,35000,35000,500,LAI
2023-04-26,34500,34500,34500,34500,1400,LAI
2023-04-27,34500,34500,34500,34500,200,LAI
2023-05-08,36500,36500,35000,35000,800,LAI
2023-05-11,35500,35500,35500,35500,1500,LAI
2023-05-15,36000,36000,36000,36000,1000,LAI
2023-05-16,35700,35700,35700,35700,200,LAI
2023-05-25,32100,32100,32100,32100,100,LAI
2023-05-29,35700,35700,32200,32200,1700,LAI
2023-06-13,36000,37000,36000,37000,1200,LAI
2023-06-20,41500,41500,41500,41500,100,LAI
2023-06-22,36000,36000,36000,36000,1100,LAI
2023-06-23,36000,36000,36000,36000,2100,LAI
2023-06-26,37000,37500,37000,37500,2000,LAI
2023-06-27,36000,36000,36000,36000,4000,LAI
2023-06-28,36000,36000,36000,36000,1000,LAI
2023-06-29,36000,36000,36000,36000,3800,LAI
2023-06-30,36000,36000,36000,36000,200,LAI
2023-07-04,36000,36000,36000,36000,200,LAI
2023-07-07,36000,36000,36000,36000,700,LAI
2023-07-20,41300,41300,41300,41300,100,LAI
2023-07-31,41300,41300,41300,41300,300,LAI
2023-08-04,41300,41300,38000,38000,8000,LAI
2023-08-09,38000,38600,38000,38600,400,LAI
2023-08-10,44000,44000,32600,32600,400,LAI
2023-08-11,44000,44000,44000,44000,100,LAI
2023-08-14,50500,50600,38700,38700,2100,LAI
2023-08-15,38900,38900,38900,38900,700,LAI
2023-08-17,44700,44700,44700,44700,100,LAI
2023-08-18,38000,38000,38000,38000,200,LAI
2023-08-22,38100,38100,38100,38100,200,LAI
2023-08-23,38500,40000,38500,40000,2600,LAI
2023-08-24,35000,44000,35000,44000,5400,LAI
2023-08-25,36000,43500,36000,43500,1600,LAI
2023-08-28,43100,43500,43100,43500,2000,LAI
2023-08-30,43500,43500,43500,43500,1000,LAI
2023-09-06,38000,43500,38000,43500,1100,LAI
2023-09-07,43800,44200,43800,44200,600,LAI
2023-09-08,43800,43800,43800,43800,100,LAI
2023-09-11,41500,41500,41500,41500,100,LAI
2023-09-13,43500,44000,41300,41300,700,LAI
2023-09-14,43500,43500,43500,43500,100,LAI
2023-09-15,42600,42600,42600,42600,500,LAI
2023-09-18,43500,43500,43500,43500,1100,LAI
2023-09-20,44000,44000,44000,44000,200,LAI
2023-09-21,44200,45000,44200,45000,1000,LAI
2023-09-22,40100,40300,40100,40300,500,LAI
2023-09-25,43000,43000,43000,43000,3900,LAI
2023-09-28,40800,43000,40800,43000,9700,LAI
2023-09-29,39000,43500,39000,43500,3500,LAI
2023-10-02,43000,43000,43000,43000,6300,LAI
2023-10-03,42000,42100,42000,42000,900,LAI
2023-10-04,42500,42500,41800,41800,1100,LAI
2023-10-10,41000,41000,41000,41000,200,LAI
