time,open,high,low,close,volume,ticker
2023-01-03,7170,7530,7170,7530,4937700,LCG
2023-01-04,8050,8050,7810,8010,17692800,LCG
2023-01-05,7930,8310,7830,8210,6749300,LCG
2023-01-06,8210,8260,7870,7930,5300500,LCG
2023-01-09,8020,8029,7600,7600,5757100,LCG
2023-01-10,7610,8130,7610,8130,6933900,LCG
2023-01-11,8320,8440,8150,8189,5637500,LCG
2023-01-12,8270,8500,8100,8400,5956200,LCG
2023-01-13,8500,8570,8280,8350,4936900,LCG
2023-01-16,8410,8780,8390,8680,5812500,LCG
2023-01-17,8760,9250,8740,9160,6310100,LCG
2023-01-18,9250,9330,9070,9160,5439800,LCG
2023-01-19,9110,9230,9030,9160,4823100,LCG
2023-01-27,9530,9770,9380,9770,8393000,LCG
2023-01-30,9910,10430,9770,9820,9982700,LCG
2023-01-31,9770,10380,9720,10380,7518000,LCG
2023-02-01,10570,10620,9680,9680,10180700,LCG
2023-02-02,9440,9770,9160,9250,12980600,LCG
2023-02-03,9430,9860,9330,9860,10791700,LCG
2023-02-06,9910,10240,9860,10150,8835500,LCG
2023-02-07,10150,10200,9440,9630,10984800,LCG
2023-02-08,9720,10290,9260,10150,12738400,LCG
2023-02-09,10150,10200,9910,9910,5314000,LCG
2023-02-10,9910,9910,9490,9580,6527800,LCG
2023-02-13,9490,9910,9300,9820,12263600,LCG
2023-02-14,9960,10200,9820,9960,6476700,LCG
2023-02-15,10010,10620,9910,10620,15401600,LCG
2023-02-16,10950,11190,10670,10950,11921000,LCG
2023-02-17,10860,11520,10760,11280,14336200,LCG
2023-02-20,11330,11610,11230,11610,9787200,LCG
2023-02-21,11800,12410,11560,11940,21151100,LCG
2023-02-22,11710,12740,11660,11940,15995800,LCG
2023-02-23,12080,12080,11230,11990,14844600,LCG
2023-02-24,11990,12180,11330,11330,7291700,LCG
2023-02-27,10950,11710,10950,11280,11399600,LCG
2023-02-28,11610,11610,10760,10810,9762600,LCG
2023-03-01,10810,11560,10620,11560,10831000,LCG
2023-03-02,11560,11800,11190,11190,9581200,LCG
2023-03-03,11280,11750,11190,11470,11665100,LCG
2023-03-06,11850,11990,11330,11330,8016900,LCG
2023-03-07,11520,11660,11190,11520,8252700,LCG
2023-03-08,11380,12320,11380,12320,19936900,LCG
2023-03-09,12320,12510,12130,12130,8266200,LCG
2023-03-10,12080,12220,11800,11890,9976500,LCG
2023-03-13,11710,11890,11470,11470,12049000,LCG
2023-03-14,11610,11750,11380,11710,11605900,LCG
2023-03-15,12130,12320,11890,12130,9329700,LCG
2023-03-16,11890,12040,11660,11710,8134600,LCG
2023-03-17,11890,11940,11470,11520,7070000,LCG
2023-03-20,11520,11940,11380,11520,9849100,LCG
2023-03-21,11710,11990,11470,11940,8672900,LCG
2023-03-22,12180,12410,11750,11750,13070500,LCG
2023-03-23,11660,11940,11660,11750,6788800,LCG
2023-03-24,11940,12180,11750,11850,6940700,LCG
2023-03-27,11850,12180,11800,11990,7894900,LCG
2023-03-28,12130,12460,12040,12080,11095900,LCG
2023-03-29,12080,12270,11890,12130,7178500,LCG
2023-03-30,12510,12700,12080,12130,9918500,LCG
2023-03-31,12130,12130,11750,11990,9884000,LCG
2023-04-03,12130,12220,11940,12220,9062600,LCG
2023-04-04,12320,12560,12130,12130,11551400,LCG
2023-04-05,12180,12370,12040,12130,9273800,LCG
2023-04-06,12270,12650,12080,12080,18058200,LCG
2023-04-07,12080,12180,11940,12080,5990200,LCG
2023-04-10,12040,12180,11420,11520,19736200,LCG
2023-04-11,11520,11800,11380,11750,6111000,LCG
2023-04-12,11750,11890,11520,11610,6596500,LCG
2023-04-13,11660,11710,11470,11520,5007100,LCG
2023-04-14,11560,11660,11420,11520,5942300,LCG
2023-04-17,11380,11560,11380,11420,2229600,LCG
2023-04-18,11470,11990,11380,11890,13280900,LCG
2023-04-19,12040,12040,11610,11610,3215000,LCG
2023-04-20,11710,11710,11420,11420,3397600,LCG
2023-04-21,11470,11520,10860,11190,8590900,LCG
2023-04-24,11090,11280,10900,11040,5674800,LCG
2023-04-25,11090,11190,10900,11000,3881900,LCG
2023-04-26,10950,11140,10900,11090,2414600,LCG
2023-04-27,11230,11280,11040,11090,2632300,LCG
2023-04-28,11190,11230,11040,11140,3166400,LCG
2023-05-04,11040,11560,11040,11470,7127600,LCG
2023-05-05,11520,11610,11280,11330,3202300,LCG
2023-05-08,11380,11470,11230,11330,3918700,LCG
2023-05-09,11420,11660,11380,11520,5358400,LCG
2023-05-10,11610,11800,11470,11710,5105500,LCG
2023-05-11,11890,11890,11610,11710,5245100,LCG
2023-05-12,11800,12180,11710,12080,11613300,LCG
2023-05-15,12270,12270,11800,11850,7093400,LCG
2023-05-16,11800,12270,11800,12040,7733000,LCG
2023-05-17,12040,12080,11800,11850,7606700,LCG
2023-05-18,12000,12150,11900,11950,6496300,LCG
2023-05-19,12050,12050,11850,12000,4685900,LCG
2023-05-22,12250,12850,12200,12850,24642300,LCG
2023-05-23,12900,13250,12850,12950,12007800,LCG
2023-05-24,13100,13600,12900,13350,17120100,LCG
2023-05-25,13200,13700,13200,13250,10967500,LCG
2023-05-26,13400,13600,13200,13350,9195100,LCG
2023-05-29,13500,13850,13350,13450,13071100,LCG
2023-05-30,13450,13750,13400,13750,12000400,LCG
2023-05-31,13850,13900,13400,13600,9197800,LCG
2023-06-01,13500,13600,13300,13500,11065700,LCG
2023-06-02,13600,13750,13400,13650,10542800,LCG
2023-06-05,13700,13850,13400,13400,9454600,LCG
2023-06-06,13400,13600,13250,13550,9835200,LCG
2023-06-07,13750,13900,13550,13750,9948500,LCG
2023-06-08,13850,13850,13150,13150,12524500,LCG
2023-06-09,13300,13300,12800,12900,10963500,LCG
2023-06-12,13000,13200,12900,13050,8862000,LCG
2023-06-13,13200,13350,13050,13200,6510900,LCG
2023-06-14,13250,13400,12900,12900,6566400,LCG
2023-06-15,12950,13050,12850,13000,4299200,LCG
2023-06-16,13250,13400,13000,13000,10061200,LCG
2023-06-19,13050,13600,13050,13450,11569500,LCG
