time,open,high,low,close,volume,ticker
2023-01-03,16500,17300,16300,17200,12500,LIC
2023-01-04,16700,18000,16000,16700,9800,LIC
2023-01-05,15800,16800,15800,16800,3400,LIC
2023-01-06,15900,16100,14800,14800,19300,LIC
2023-01-09,15200,15800,14900,15000,4200,LIC
2023-01-10,15000,15100,15000,15100,5300,LIC
2023-01-11,14700,16000,14700,15000,3800,LIC
2023-01-12,14100,14900,14100,14900,1800,LIC
2023-01-13,14500,15500,14500,15100,1100,LIC
2023-01-16,14500,14700,14100,14700,3500,LIC
2023-01-17,14700,15800,14700,15800,200,LIC
2023-01-18,15800,17000,15600,16700,21800,LIC
2023-01-19,16700,16700,15800,16000,8800,LIC
2023-01-27,16500,17700,16500,17700,1300,LIC
2023-01-30,16400,16700,16200,16200,15000,LIC
2023-01-31,16300,16300,15600,15700,6700,LIC
2023-02-01,16000,16900,15300,15300,1900,LIC
2023-02-02,15600,15600,15000,15100,3800,LIC
2023-02-03,15300,15400,15300,15300,2400,LIC
2023-02-06,15800,15800,14500,15700,1200,LIC
2023-02-07,15400,15900,14500,15600,3400,LIC
2023-02-08,16200,16200,15700,15700,1900,LIC
2023-02-10,14500,16100,14500,15600,2600,LIC
2023-02-13,14500,14600,14000,14000,8500,LIC
2023-02-14,16300,16300,14300,14300,4400,LIC
2023-02-15,14300,16300,14300,15000,10400,LIC
2023-02-16,15000,15500,15000,15400,2700,LIC
2023-02-17,14500,15800,14500,15800,11400,LIC
2023-02-20,15100,16000,14700,16000,14700,LIC
2023-02-21,16900,16900,15700,15800,13400,LIC
2023-02-22,15800,15800,15800,15800,7200,LIC
2023-02-23,15000,15100,14600,15000,6500,LIC
2023-02-24,15000,15800,15000,15000,3500,LIC
2023-02-27,13300,15000,13300,14000,10300,LIC
2023-02-28,12500,15800,12500,14800,5800,LIC
2023-03-01,12600,14000,12600,13800,9100,LIC
2023-03-02,13600,14000,13500,13500,4100,LIC
2023-03-03,13600,13700,13500,13500,8000,LIC
2023-03-06,14900,14900,13600,14500,2800,LIC
2023-03-07,14700,14700,13900,14000,3400,LIC
2023-03-08,14000,14200,14000,14200,600,LIC
2023-03-10,14200,14200,14200,14200,2000,LIC
2023-03-15,13500,14500,13500,14500,10200,LIC
2023-03-16,14700,14700,14700,14700,400,LIC
2023-03-20,14500,14500,13500,13500,2500,LIC
2023-03-21,14900,14900,13300,14200,1400,LIC
2023-03-22,13900,13900,13900,13900,100,LIC
2023-03-23,13600,13600,13600,13600,200,LIC
2023-03-24,13500,13500,13500,13500,700,LIC
2023-03-27,13600,13600,13600,13600,2000,LIC
2023-03-28,13000,13600,13000,13600,400,LIC
2023-03-29,13500,13500,13500,13500,100,LIC
2023-03-30,13600,13600,13400,13500,1300,LIC
2023-03-31,14300,14300,14300,14300,100,LIC
2023-04-03,14000,14000,14000,14000,2000,LIC
2023-04-04,14500,14800,14500,14800,3500,LIC
2023-04-05,14000,14000,14000,14000,300,LIC
2023-04-06,14900,15000,14900,14900,4700,LIC
2023-04-07,15000,15000,13600,14000,2500,LIC
2023-04-07,15000,15000,15000,15000,300,LIC
2023-04-10,14800,15000,13900,14200,14600,LIC
2023-04-11,14200,14200,13600,14200,3100,LIC
2023-04-12,13900,14400,13900,14200,300,LIC
2023-04-13,13600,13600,13500,13500,3200,LIC
2023-04-14,13500,13500,12700,12700,8600,LIC
2023-04-17,13000,13400,12600,13400,900,LIC
2023-04-18,13500,14000,13400,14000,1700,LIC
2023-04-19,14000,15500,14000,14600,7600,LIC
2023-04-20,17700,17700,17700,17700,1500,LIC
2023-04-21,20300,20300,18000,18300,188500,LIC
2023-04-24,20000,20000,18500,19800,29800,LIC
2023-04-25,19000,20000,18000,18000,42300,LIC
2023-04-26,18400,18400,17600,18000,22500,LIC
