time,open,high,low,close,volume,ticker
2023-01-11,5800,5800,5800,5800,200,LMC
2023-01-17,5000,6400,5000,6400,900,LMC
2023-01-18,6500,6500,6500,6500,2000,LMC
2023-01-19,5900,5900,5900,5900,100,LMC
2023-01-27,5300,5300,5300,5300,200,LMC
2023-01-30,6000,6000,5100,6000,16600,LMC
2023-01-31,6400,6400,6400,6400,100,LMC
2023-02-01,5800,5800,5600,5600,600,LMC
2023-02-02,5800,5800,5800,5800,400,LMC
2023-02-22,6600,6600,5100,5100,300,LMC
2023-02-27,6600,6600,6600,6600,300,LMC
2023-03-08,5600,5600,5600,5600,100,LMC
2023-03-09,5600,5600,5600,5600,300,LMC
2023-03-10,6400,6400,6400,6400,1800,LMC
2023-03-15,5600,5600,5600,5600,200,LMC
2023-03-16,6400,6400,6400,6400,200,LMC
2023-03-20,6400,6400,6400,6400,200,LMC
2023-03-30,6500,6500,6500,6500,200,LMC
2023-04-04,6600,6600,6600,6600,100,LMC
2023-04-07,7500,7500,7500,7500,1500,LMC
2023-04-07,7500,7500,7500,7500,1000,LMC
2023-04-17,7600,7600,7600,7600,200,LMC
2023-04-18,7700,7700,7700,7700,200,LMC
2023-05-05,7700,7700,7500,7500,400,LMC
2023-05-16,6800,6800,6800,6800,15800,LMC
2023-06-02,8000,8000,8000,8000,1500,LMC
2023-06-07,9100,9200,9100,9200,1500,LMC
2023-06-08,10500,10500,10500,10500,100,LMC
2023-06-15,12000,12000,12000,12000,500,LMC
2023-06-19,13300,13400,13300,13400,300,LMC
2023-06-20,13400,13400,13000,13200,800,LMC
2023-06-21,13400,13400,13400,13400,400,LMC
2023-06-22,13500,13500,13500,13500,200,LMC
2023-06-23,13500,13500,13500,13500,500,LMC
2023-06-26,13500,15500,13500,15500,4100,LMC
2023-06-27,17700,17700,17700,17700,2900,LMC
2023-06-28,20300,20300,15100,16000,1400,LMC
2023-06-29,15700,15700,15700,15700,1100,LMC
2023-06-30,13500,15500,13400,15500,1000,LMC
2023-07-03,15600,15600,11700,11800,600,LMC
2023-07-04,11200,11200,11200,11200,800,LMC
2023-07-06,10000,10000,10000,10000,100,LMC
2023-07-07,11400,11400,11400,11400,400,LMC
2023-07-11,11000,11000,11000,11000,200,LMC
2023-07-19,10000,10000,10000,10000,100,LMC
2023-07-20,10000,10000,10000,10000,200,LMC
2023-07-21,11400,11400,11400,11400,600,LMC
2023-07-24,13100,13100,13100,13100,100,LMC
2023-07-25,14900,14900,14900,14900,100,LMC
2023-07-28,13000,13000,13000,13000,100,LMC
2023-07-31,13000,13000,13000,13000,400,LMC
2023-08-18,10700,14300,10700,14300,200,LMC
2023-08-22,10700,10700,10700,10700,200,LMC
2023-08-23,9200,12300,9200,12300,600,LMC
2023-09-08,9600,9600,9600,9600,200,LMC
2023-09-11,11000,11000,11000,11000,100,LMC
2023-09-29,12600,12600,12600,12600,100,LMC
2023-10-04,10800,10800,10800,10800,200,LMC
2023-10-05,12400,12400,12400,12400,100,LMC
2023-10-12,14200,14200,14200,14200,100,LMC
