time,open,high,low,close,volume,ticker
2023-01-04,8200,8200,8200,8200,100,LMI
2023-02-02,7500,7500,7000,7000,2100,LMI
2023-02-03,7900,7900,6200,6200,1200,LMI
2023-02-06,7000,7000,7000,7000,500,LMI
2023-02-07,7000,7000,7000,7000,300,LMI
2023-02-08,7700,7700,7700,7700,100,LMI
2023-02-10,7000,7300,7000,7300,2100,LMI
2023-02-14,7200,7200,7200,7200,100,LMI
2023-02-16,7500,7900,7500,7900,1300,LMI
2023-02-17,8000,8000,8000,8000,6600,LMI
2023-02-20,8000,8000,8000,8000,32400,LMI
2023-02-22,7000,7000,7000,7000,10000,LMI
2023-02-23,7100,8000,7100,8000,16100,LMI
2023-02-24,7000,7100,7000,7100,8000,LMI
2023-02-27,8100,8100,8100,8100,7200,LMI
2023-02-28,7200,7300,7200,7300,5000,LMI
2023-03-01,8300,8300,8300,8300,1600,LMI
2023-03-02,8300,8300,8300,8300,1400,LMI
2023-03-03,9500,9500,7200,7200,200,LMI
2023-03-06,9600,9600,7400,7400,2100,LMI
2023-03-07,8600,8600,8600,8600,2200,LMI
2023-03-08,7400,7400,7400,7400,1000,LMI
2023-03-13,8000,8000,8000,8000,100,LMI
2023-03-16,7000,7500,7000,7200,4000,LMI
2023-03-21,8000,8300,8000,8300,155500,LMI
2023-03-23,8000,8000,8000,8000,40000,LMI
2023-03-31,9000,9000,9000,9000,2400,LMI
2023-04-06,9000,9000,9000,9000,30000,LMI
2023-04-13,9000,9000,9000,9000,30000,LMI
2023-04-19,10300,10300,10300,10300,100,LMI
2023-04-20,11800,11800,11800,11800,100,LMI
2023-04-21,9100,9100,9000,9000,1100,LMI
2023-04-24,10300,10300,10300,10300,100,LMI
2023-04-26,8100,8300,8100,8300,4000,LMI
2023-04-27,9400,9400,9400,9400,100,LMI
2023-05-04,8100,8100,8100,8100,100,LMI
2023-05-05,10000,10000,10000,10000,100,LMI
2023-05-09,10400,10400,10400,10400,100,LMI
2023-05-11,8600,8600,8600,8600,100,LMI
2023-05-12,9800,9800,9800,9800,100,LMI
2023-05-15,10100,10100,10100,10100,100,LMI
2023-05-16,8100,8500,8100,8500,2000,LMI
2023-05-17,9400,9400,7900,8000,83600,LMI
2023-05-18,7200,7200,7200,7200,5000,LMI
2023-05-22,8000,8000,8000,8000,10000,LMI
2023-05-24,8000,8000,8000,8000,3000,LMI
2023-05-25,8000,8000,8000,8000,20000,LMI
2023-05-31,8000,8000,8000,8000,3000,LMI
2023-06-06,8000,8000,8000,8000,2000,LMI
2023-06-08,9000,9000,9000,9000,11300,LMI
2023-06-09,8500,8700,8500,8700,20500,LMI
2023-06-12,8500,8700,8500,8700,6000,LMI
2023-06-19,7300,9500,7300,9500,200,LMI
2023-06-22,7200,7200,7200,7200,100,LMI
2023-06-26,8100,8100,8100,8100,100,LMI
2023-07-04,9300,9300,9300,9300,500,LMI
2023-07-26,8000,8000,8000,8000,22000,LMI
2023-07-31,8900,8900,8900,8900,1000,LMI
2023-08-01,8500,8500,8500,8500,22500,LMI
2023-08-04,9000,9000,9000,9000,100,LMI
2023-08-09,10200,10200,10200,10200,100,LMI
2023-08-31,9000,9000,9000,9000,6000,LMI
2023-09-05,9000,9000,9000,9000,8000,LMI
2023-09-06,9000,9000,9000,9000,7500,LMI
2023-09-07,9000,9000,9000,9000,4900,LMI
2023-09-18,9000,9000,9000,9000,13000,LMI
