time,open,high,low,close,volume,ticker
2023-01-03,24000,24900,23700,24900,88300,LTG
2023-01-04,25000,25000,24700,24900,69700,LTG
2023-01-05,25000,25200,24200,24800,51100,LTG
2023-01-06,24800,25000,24200,24200,56900,LTG
2023-01-09,24500,25300,24500,25000,103000,LTG
2023-01-10,25000,25000,24500,24700,15300,LTG
2023-01-11,24800,25100,24600,24800,62100,LTG
2023-01-12,24800,24800,24400,24700,33800,LTG
2023-01-13,24800,25100,24600,24800,159400,LTG
2023-01-16,24800,25100,24800,25000,52600,LTG
2023-01-17,24900,25400,24900,25300,157400,LTG
2023-01-18,25200,26100,25000,25800,123200,LTG
2023-01-19,25800,26000,25500,25900,122300,LTG
2023-01-27,25600,26600,25600,25800,122400,LTG
2023-01-30,26000,28400,25800,27600,319400,LTG
2023-01-31,27600,28200,27500,28200,318300,LTG
2023-02-01,28300,29300,27400,27500,286700,LTG
2023-02-02,28400,28400,27300,27700,138000,LTG
2023-02-03,27600,28100,27500,27700,99800,LTG
2023-02-06,27800,28200,27600,28000,197500,LTG
2023-02-07,27900,28100,26800,27000,348100,LTG
2023-02-08,27500,27500,26200,26700,187800,LTG
2023-02-09,26500,27800,26500,27000,214900,LTG
2023-02-10,26700,27300,26500,26700,101200,LTG
2023-02-13,26900,26900,25800,26200,137800,LTG
2023-02-14,26200,26400,25700,25800,142300,LTG
2023-02-15,26200,26700,25800,26000,117700,LTG
2023-02-16,26100,26600,26100,26300,196500,LTG
2023-02-17,26500,27800,26500,27500,535100,LTG
2023-02-20,27700,28500,27600,28300,414900,LTG
2023-02-21,28300,28500,27600,27800,304300,LTG
2023-02-22,28000,28000,26600,26900,490200,LTG
2023-02-23,26900,27200,26100,26800,316600,LTG
2023-02-24,26800,27000,26200,27000,132400,LTG
2023-02-27,26700,26700,25800,25900,169900,LTG
2023-02-28,25200,27500,25200,26300,113400,LTG
2023-03-01,26500,26900,26000,26900,84800,LTG
2023-03-02,26800,26900,26400,26800,138600,LTG
2023-03-03,26800,27200,26400,26500,79900,LTG
2023-03-06,26700,27300,26100,26600,50500,LTG
2023-03-07,26800,27000,26500,26700,40800,LTG
2023-03-08,26000,27900,26000,27400,201700,LTG
2023-03-09,27400,27500,27000,27200,152700,LTG
