time,open,high,low,close,volume,ticker
2023-01-03,9100,9100,8400,8400,36200,MAC
2023-01-04,8900,8900,8700,8700,200,MAC
2023-01-05,8700,8700,8100,8500,4600,MAC
2023-01-06,8800,8800,8300,8500,700,MAC
2023-01-09,8300,8300,8000,8000,600,MAC
2023-01-10,8700,8700,8700,8700,300,MAC
2023-01-11,9000,9000,8600,8600,600,MAC
2023-01-12,8200,8500,8200,8500,400,MAC
2023-01-13,8100,8400,8100,8400,10500,MAC
2023-01-16,8000,8400,7900,8400,700,MAC
2023-01-17,7900,8400,7900,8400,2600,MAC
2023-01-18,7800,8700,7800,8700,4000,MAC
2023-01-19,8600,9500,8600,9400,211500,MAC
2023-01-27,8500,10300,8500,9600,308300,MAC
2023-01-30,9700,10000,9700,10000,2500,MAC
2023-01-31,9700,9900,9100,9900,26800,MAC
2023-02-01,9500,9500,9000,9000,25000,MAC
2023-02-02,9800,9800,8800,9300,4600,MAC
2023-02-03,9300,9300,9100,9300,400,MAC
2023-02-06,9200,9200,9000,9100,700,MAC
2023-02-07,9400,9900,8200,8500,26800,MAC
2023-02-08,8800,9000,8400,8700,8600,MAC
2023-02-09,8500,8800,8500,8700,22500,MAC
2023-02-10,8800,9000,8700,9000,255100,MAC
2023-02-13,9000,9000,8400,9000,12500,MAC
2023-02-14,8800,9000,8600,9000,36000,MAC
2023-02-16,8800,9000,8600,8900,700,MAC
2023-02-17,9000,9000,8800,8800,2200,MAC
2023-02-20,8800,8800,8300,8400,21000,MAC
2023-02-21,8600,8800,8500,8700,2600,MAC
2023-02-22,8800,8900,8600,8600,6100,MAC
2023-02-23,8700,8700,8300,8300,1300,MAC
2023-02-24,8500,8700,8100,8600,4600,MAC
2023-02-27,8300,8600,8300,8600,1200,MAC
2023-03-01,8600,8600,8600,8600,100,MAC
2023-03-02,8300,8600,8100,8100,6000,MAC
2023-03-03,8300,8700,8300,8700,1300,MAC
2023-03-06,9000,9000,8600,8600,1800,MAC
2023-03-07,8800,8800,8300,8800,1300,MAC
2023-03-08,8600,8900,8400,8800,4400,MAC
2023-03-09,9000,9100,8700,8700,1200,MAC
2023-03-10,8600,8800,8500,8800,1600,MAC
2023-03-14,8300,8800,8300,8800,1200,MAC
2023-03-16,8900,8900,8700,8700,5500,MAC
2023-03-17,8800,8800,8800,8800,100,MAC
2023-03-20,8600,8700,8400,8500,1500,MAC
