time,open,high,low,close,volume,ticker
2023-01-03,3050,3290,3030,3270,161400,MCG
2023-01-04,3400,3400,3050,3100,122700,MCG
2023-01-05,3020,3240,3020,3060,206000,MCG
2023-01-06,3020,3200,3000,3070,82200,MCG
2023-01-09,3070,3250,3050,3150,118700,MCG
2023-01-10,3200,3200,3050,3140,40700,MCG
2023-01-11,3050,3160,3040,3040,64000,MCG
2023-01-12,3000,3050,2880,3000,31500,MCG
2023-01-13,3140,3140,2980,2980,37900,MCG
2023-01-16,2800,2980,2800,2980,53000,MCG
2023-01-17,2910,3030,2910,3000,47700,MCG
2023-01-18,3000,3090,2910,2980,121300,MCG
2023-01-19,3180,3180,3000,3100,107800,MCG
2023-01-27,3110,3150,3060,3100,55800,MCG
2023-01-30,3100,3300,3080,3240,187700,MCG
2023-01-31,3250,3250,3060,3150,165600,MCG
2023-02-01,3150,3240,3060,3070,145700,MCG
2023-02-02,3080,3080,2910,3000,116100,MCG
2023-02-03,2930,3170,2850,2850,165400,MCG
2023-02-06,2660,2670,2660,2660,532200,MCG
2023-02-07,2480,2480,2480,2480,283800,MCG
2023-02-08,2310,2310,2310,2310,150800,MCG
2023-02-09,2150,2470,2150,2470,863300,MCG
2023-02-10,2640,2640,2570,2640,561700,MCG
2023-02-13,2460,2590,2460,2460,305100,MCG
2023-02-14,2290,2290,2290,2290,212600,MCG
2023-02-15,2130,2450,2130,2220,528000,MCG
2023-02-16,2220,2300,2070,2140,466700,MCG
2023-02-17,2140,2280,2110,2280,126700,MCG
2023-02-20,2430,2430,2140,2350,362400,MCG
2023-02-21,2380,2400,2290,2290,232100,MCG
2023-02-22,2280,2340,2250,2250,245200,MCG
2023-02-23,2260,2290,2200,2250,63900,MCG
2023-02-24,2300,2300,2200,2270,109200,MCG
2023-02-27,2270,2270,2150,2150,149300,MCG
2023-02-28,2120,2300,2100,2170,95800,MCG
2023-03-01,2150,2200,2130,2150,64700,MCG
2023-03-02,2200,2220,2150,2220,92700,MCG
2023-03-03,2250,2290,2170,2230,92300,MCG
2023-03-06,2230,2320,2230,2230,92300,MCG
