time,open,high,low,close,volume,ticker
2023-01-03,6710,6710,6240,6710,5300,MDC
2023-01-04,6430,6620,6430,6620,3100,MDC
2023-01-05,6710,6710,6430,6520,3400,MDC
2023-01-06,6710,6710,6430,6430,2700,MDC
2023-01-09,6430,6710,6430,6620,2900,MDC
2023-01-10,6430,6710,6430,6710,3900,MDC
2023-01-11,6710,6810,6620,6810,12500,MDC
2023-01-12,6620,7000,6620,7000,13800,MDC
2023-01-13,6900,7000,6710,7000,27500,MDC
2023-01-16,6810,7090,6810,7090,1300,MDC
2023-01-17,6810,7180,6810,7180,23100,MDC
2023-01-18,7180,7560,7180,7280,18700,MDC
2023-01-19,7750,7940,7750,7940,16600,MDC
2023-01-27,8700,8700,8700,8700,4900,MDC
2023-01-30,9550,9550,9550,9550,8600,MDC
2023-01-31,10490,10490,10490,10490,17700,MDC
2023-02-01,11530,11530,11440,11530,262800,MDC
2023-02-02,12290,12380,10680,12380,115300,MDC
2023-02-03,13330,13330,11530,11820,75000,MDC
2023-02-06,11820,12010,11340,11530,61300,MDC
2023-02-07,11530,11910,11250,11720,72100,MDC
2023-02-08,11720,12860,11530,12860,205100,MDC
2023-02-09,13230,14090,13230,13710,135800,MDC
2023-02-10,13140,13140,12380,12380,110500,MDC
2023-02-13,12190,12860,11910,12860,51600,MDC
2023-02-14,13330,13610,12480,12950,23100,MDC
2023-02-15,12950,12950,12480,12670,32700,MDC
2023-02-16,12380,13230,12380,12760,53300,MDC
2023-02-17,12670,13140,12480,12760,34300,MDC
2023-02-20,12570,13420,12570,12760,40000,MDC
2023-02-21,12860,13050,12570,12860,35600,MDC
2023-02-22,12670,13520,12670,12950,58900,MDC
2023-02-23,13140,13140,12570,12570,30100,MDC
2023-02-24,12670,12670,12290,12290,30300,MDC
2023-02-27,12190,12480,12100,12480,25200,MDC
2023-02-28,12290,12290,12010,12100,11900,MDC
2023-03-01,12010,12190,11820,12190,19300,MDC
2023-03-02,12190,12290,11910,12290,29300,MDC
2023-03-03,12290,12290,12100,12100,16100,MDC
2023-03-06,12100,12290,12100,12190,24300,MDC
2023-03-07,12100,12290,12100,12190,40800,MDC
2023-03-08,12190,12290,12190,12190,7900,MDC
2023-03-09,12290,12480,12100,12290,18700,MDC
2023-03-10,12190,12190,12100,12100,7300,MDC
2023-03-13,11910,12100,11910,12010,10400,MDC
2023-03-14,12100,12100,11820,11820,7400,MDC
2023-03-15,12010,12100,11820,11910,18200,MDC
