time,open,high,low,close,volume,ticker
2023-01-03,10000,10000,10000,10000,2700,MDF
2023-01-04,11000,11000,11000,11000,1000,MDF
2023-01-09,10000,10000,10000,10000,1000,MDF
2023-01-11,11100,11100,11100,11100,100,MDF
2023-01-13,11200,11200,9500,9500,5900,MDF
2023-01-16,10900,10900,10900,10900,1000,MDF
2023-01-17,10900,10900,10900,10900,1000,MDF
2023-01-27,10800,10900,10800,10900,1100,MDF
2023-01-30,10900,10900,10800,10800,300,MDF
2023-02-01,10800,10800,10800,10800,300,MDF
2023-02-02,10800,10800,10800,10800,1000,MDF
2023-02-03,10500,10500,9200,9200,400,MDF
2023-02-13,9000,9000,9000,9000,500,MDF
2023-02-20,10000,10000,9500,9500,2600,MDF
2023-02-22,10900,10900,10900,10900,100,MDF
2023-03-06,10900,10900,10900,10900,1100,MDF
2023-03-21,10500,10500,10500,10500,500,MDF
2023-03-24,9000,9000,9000,9000,500,MDF
2023-03-27,10000,10000,10000,10000,200,MDF
2023-03-28,8600,8600,8600,8600,100,MDF
2023-03-30,7900,7900,7900,7900,100,MDF
2023-04-03,10500,10500,10500,10500,100,MDF
2023-04-04,10300,10300,10300,10300,900,MDF
2023-04-10,10200,10200,9900,9900,1000,MDF
2023-04-13,11000,11000,10200,10200,400,MDF
2023-04-14,11800,11800,11800,11800,200,MDF
2023-04-17,10900,10900,10600,10600,200,MDF
2023-04-18,12000,12000,12000,12000,100,MDF
2023-04-21,10200,10200,10200,10200,300,MDF
2023-04-25,11500,11500,11500,11500,100,MDF
2023-04-26,9800,9800,9800,9800,700,MDF
2023-04-27,12000,12000,12000,12000,100,MDF
2023-05-17,10300,10300,10300,10300,2100,MDF
2023-05-22,10700,10700,10700,10700,2000,MDF
2023-05-24,10600,10600,10600,10600,200,MDF
2023-05-30,10000,10000,10000,10000,200,MDF
2023-05-31,10000,10000,10000,10000,1000,MDF
2023-06-01,10600,10600,10600,10600,400,MDF
2023-06-06,10600,10600,10600,10600,200,MDF
2023-06-08,10000,10000,10000,10000,600,MDF
2023-06-09,10500,10500,10500,10500,400,MDF
2023-06-13,11000,11000,10700,10700,300,MDF
2023-06-19,10000,10000,10000,10000,400,MDF
2023-06-23,9000,9500,9000,9500,800,MDF
2023-06-26,9500,9500,9500,9500,200,MDF
2023-06-28,10000,10000,10000,10000,200,MDF
2023-06-29,11000,11000,8500,8500,5100,MDF
2023-06-30,7500,9000,7500,9000,8100,MDF
2023-07-03,8600,8800,8600,8800,500,MDF
2023-07-04,8800,8800,8800,8800,500,MDF
2023-07-05,9500,9900,9500,9900,200,MDF
2023-07-06,8300,8300,8300,8300,100,MDF
2023-07-10,9500,9500,9500,9500,100,MDF
2023-07-17,9600,9600,9600,9600,3200,MDF
2023-07-20,8300,10500,8300,10500,1100,MDF
2023-07-21,8500,8500,8500,8500,400,MDF
2023-07-24,9700,9700,9700,9700,200,MDF
2023-07-26,9700,9800,9700,9800,1800,MDF
2023-07-27,9800,9800,9800,9800,1200,MDF
2023-07-28,9800,9800,9800,9800,2000,MDF
2023-07-31,8700,11100,8700,11100,8000,MDF
2023-08-01,11900,11900,11900,11900,100,MDF
2023-08-02,11800,13400,11800,13400,800,MDF
2023-08-03,13500,13500,13500,13500,100,MDF
2023-08-04,13500,13500,13500,13500,100,MDF
2023-08-07,13400,15000,11500,13900,9400,MDF
2023-08-09,10200,10200,10100,10100,400,MDF
2023-08-10,9900,9900,9900,9900,200,MDF
2023-08-11,9100,9300,9100,9100,1400,MDF
2023-08-14,10300,10400,9900,10400,6500,MDF
2023-08-15,11500,11500,11500,11500,100,MDF
2023-08-16,12000,12700,9800,10100,2600,MDF
2023-08-18,11900,11900,9800,9900,1200,MDF
2023-08-21,11500,11500,11500,11500,100,MDF
2023-08-22,11300,11300,11300,11300,100,MDF
2023-08-24,10500,10500,10500,10500,100,MDF
2023-08-28,10900,10900,10600,10600,200,MDF
2023-08-30,10700,10700,10600,10600,6500,MDF
2023-08-31,9500,10600,9200,10600,700,MDF
2023-09-05,8900,10700,8900,10700,700,MDF
2023-09-06,10800,10800,9200,9200,4000,MDF
2023-09-07,10400,10400,10400,10400,100,MDF
2023-09-08,10300,10300,9200,10200,1300,MDF
2023-09-11,10200,10200,9600,10100,700,MDF
2023-09-12,9800,10100,9800,10100,3000,MDF
2023-09-13,9900,10400,9900,9900,1100,MDF
2023-09-14,11300,11300,9900,9900,300,MDF
2023-09-19,9200,10200,9000,10200,4100,MDF
2023-09-20,9900,10100,9800,10100,2500,MDF
2023-09-21,9900,10000,9900,10000,1400,MDF
2023-09-22,9800,11300,9200,9600,6800,MDF
2023-09-25,10000,10000,10000,10000,100,MDF
2023-09-26,11500,11500,11500,11500,100,MDF
2023-09-27,10400,12900,9800,11400,5100,MDF
2023-09-28,11300,11300,9000,9000,3700,MDF
2023-09-29,10200,10200,8000,10100,2000,MDF
2023-10-02,9900,9900,9900,9900,100,MDF
2023-10-03,9900,9900,9900,9900,100,MDF
2023-10-10,8800,9900,8800,9900,900,MDF
2023-10-11,9900,10900,8400,10300,7000,MDF
2023-10-12,10100,10100,9000,9900,3100,MDF
2023-10-13,10100,10100,10100,10100,100,MDF
