time,open,high,low,close,volume,ticker
2023-01-03,27500,27500,27500,27500,200,MFS
2023-01-04,27100,27200,27100,27200,400,MFS
2023-01-05,27400,27400,27400,27400,100,MFS
2023-01-06,27400,27400,27400,27400,100,MFS
2023-01-09,27300,27300,27300,27300,100,MFS
2023-01-10,27100,27100,27000,27000,600,MFS
2023-01-11,27000,27000,27000,27000,500,MFS
2023-01-12,27000,27000,26800,26800,1700,MFS
2023-01-13,27000,27000,26800,26800,900,MFS
2023-01-16,26900,27000,26900,27000,800,MFS
2023-01-17,28000,28000,27900,27900,700,MFS
2023-01-18,27500,27500,27500,27500,1200,MFS
2023-01-27,25100,27000,25100,27000,7200,MFS
2023-01-30,27000,27900,27000,27900,300,MFS
2023-01-31,28000,28000,27000,27000,500,MFS
2023-02-01,27000,27100,27000,27100,6300,MFS
2023-02-02,28500,28500,28500,28500,100,MFS
2023-02-03,28500,28500,28500,28500,1000,MFS
2023-02-06,27000,27000,26800,26800,2100,MFS
2023-02-07,28300,28300,28200,28200,200,MFS
2023-02-08,27800,27800,27800,27800,300,MFS
2023-02-10,27000,27000,26800,26800,3300,MFS
2023-02-13,27000,27000,26800,26800,1100,MFS
2023-02-14,26900,26900,26700,26900,9600,MFS
2023-02-15,29600,29600,29100,29100,400,MFS
2023-02-16,27200,27200,27200,27200,200,MFS
2023-02-17,29500,29500,28600,28600,400,MFS
2023-02-20,28200,28200,27000,28000,1900,MFS
2023-02-21,29200,29200,26900,26900,3500,MFS
2023-02-22,26900,27600,26900,27200,2100,MFS
2023-02-23,26900,26900,26900,26900,6400,MFS
2023-02-24,27200,27300,27000,27000,3500,MFS
2023-02-27,27000,27000,26900,27000,2200,MFS
2023-02-28,27000,27000,26600,27000,1100,MFS
2023-03-01,26900,26900,26900,26900,100,MFS
2023-03-02,27000,27000,27000,27000,200,MFS
2023-03-03,26400,27000,26400,26600,500,MFS
2023-03-06,27000,27000,26800,26800,2500,MFS
2023-03-07,26900,27000,26900,27000,900,MFS
2023-03-08,26100,27000,26100,27000,2300,MFS
2023-03-09,27000,27100,26900,26900,700,MFS
2023-03-10,27000,27200,27000,27200,1800,MFS
2023-03-13,27100,28500,27100,28000,6400,MFS
2023-03-14,28500,30200,28500,29000,16500,MFS
2023-03-15,29300,29300,29000,29200,11000,MFS
2023-03-16,28000,28000,28000,28000,400,MFS
2023-03-17,29000,29500,29000,29500,7100,MFS
2023-03-20,28700,28700,27000,27200,2700,MFS
2023-03-22,27200,27200,27200,27200,100,MFS
2023-03-24,27200,27200,27200,27200,100,MFS
2023-03-29,29000,29000,29000,29000,100,MFS
2023-03-30,29000,29000,29000,29000,300,MFS
2023-03-31,29000,29000,29000,29000,3200,MFS
2023-04-03,29000,29000,29000,29000,800,MFS
2023-04-04,27500,27500,27500,27500,1500,MFS
2023-04-06,27500,27500,27500,27500,100,MFS
2023-04-12,27500,27500,27500,27500,200,MFS
2023-04-14,27500,27500,27500,27500,500,MFS
2023-04-18,27500,27500,27500,27500,300,MFS
2023-04-19,31000,31000,31000,31000,100,MFS
2023-04-20,28900,29000,28400,28900,9500,MFS
