time,open,high,low,close,volume,ticker
2023-01-03,30850,30850,30850,30850,100,MH3
2023-01-10,30850,32259,30850,32259,200,MH3
2023-01-11,33660,33660,33660,33660,100,MH3
2023-01-12,35060,35060,35060,35060,100,MH3
2023-01-13,35060,35060,35060,35060,100,MH3
2023-01-18,37160,37160,37160,37160,100,MH3
2023-01-27,37870,37870,37870,37870,100,MH3
2023-01-31,37870,38560,37870,38560,200,MH3
2023-02-01,38000,39970,38000,39970,300,MH3
2023-02-02,39970,39970,39970,39970,100,MH3
2023-02-06,39970,39970,39970,39970,1500,MH3
2023-02-15,36400,36400,36400,36400,200,MH3
2023-02-16,34510,34510,34450,34450,400,MH3
2023-02-17,29360,29360,29360,29360,100,MH3
2023-02-20,33720,33720,33720,33720,100,MH3
2023-02-21,28840,30520,28840,29060,600,MH3
2023-02-24,27760,28340,27760,28340,200,MH3
2023-02-27,24340,25430,24340,25430,200,MH3
2023-03-01,25800,26160,25800,26160,600,MH3
2023-03-02,29930,29930,29930,29930,200,MH3
2023-03-03,26160,26160,26160,26160,100,MH3
2023-03-06,30090,30090,30090,30090,100,MH3
2023-03-07,25650,25650,25650,25650,100,MH3
2023-03-08,29430,29430,29430,29430,200,MH3
2023-03-09,25510,25510,25510,25510,100,MH3
2023-03-10,26520,26520,26520,26520,100,MH3
2023-03-13,30150,30150,30150,30150,200,MH3
2023-03-14,25720,25720,25720,25720,100,MH3
2023-03-16,29430,29430,29430,29430,100,MH3
2023-03-20,26160,26160,26160,26160,100,MH3
2023-03-24,29060,29060,29060,29060,200,MH3
2023-03-27,25150,25150,25150,25150,100,MH3
2023-03-31,28340,28340,28340,28340,1000,MH3
2023-04-03,25430,25430,25430,25430,100,MH3
2023-04-05,29210,29210,29060,29060,4100,MH3
2023-04-07,25150,25150,25150,25150,100,MH3
2023-04-07,25150,25150,25150,25150,100,MH3
2023-04-10,28840,28840,28840,28840,3600,MH3
2023-04-12,26520,26520,26520,26520,100,MH3
2023-04-19,23620,23620,23620,23620,100,MH3
2023-04-20,27110,27110,27110,27110,100,MH3
2023-04-21,24340,24340,24340,24340,100,MH3
2023-04-24,27970,27970,27970,27970,100,MH3
2023-04-25,24490,24490,24490,24490,100,MH3
2023-04-26,28120,28120,28120,28120,100,MH3
2023-04-27,24780,24780,24780,24780,100,MH3
2023-04-28,28480,28480,28480,28480,500,MH3
2023-05-04,24780,24780,24780,24780,100,MH3
2023-05-05,28480,28480,25580,25580,200,MH3
2023-05-08,26890,26890,26890,26890,200,MH3
2023-05-09,27250,27250,27250,27250,100,MH3
2023-05-10,27250,27250,27250,27250,800,MH3
2023-05-25,31460,31460,31460,31460,4000,MH3
2023-05-29,26890,26890,26890,26890,100,MH3
2023-06-06,30880,30880,29430,29430,1000,MH3
2023-06-13,30370,30370,30370,30370,100,MH3
2023-06-26,31240,31240,31240,31240,100,MH3
2023-06-30,30520,30520,30520,30520,300,MH3
2023-07-03,29790,29790,29790,29790,1900,MH3
2023-07-07,29790,29790,29790,29790,1100,MH3
2023-07-13,29790,29790,29790,29790,300,MH3
